video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,retrieve_size,chunk_size
fpsstream_000496,state_at_event,"When one of the ball enters the red section of the track, where is the other ball?",Nearest to the camera,A,5.0,2.0,query,161.649,324,1200,False,0.0,C,C,A,"['Nearest to the camera', 'Right side of the circular track', 'Left side of the circular track', 'Furthest from the camera', 'None of the above']",2,0.8542,True,fpsbench_000498,early,0.2627,153.649,168.664,161.649,25.0,movie101_65.mp4,308,323,16,-7.015,0,0,True,28,64,16,0.8214,6.7857,64,1
fpsstream_000497,state_at_event,"As one of the ball leaves the red section of the track, where is the other ball?",Top right quadrant of the circular track,A,6.0,2.0,query,351.008,703,1200,False,0.0,D,D,A,"['Top right quadrant of the circular track', 'Bottom left quadrant of the circular track', 'Bottom right quadrant of the circular track', 'Top left quadrant of the circular track', 'None of the above']",2,0.9949,True,fpsbench_000499,middle,0.5846,342.008,357.023,351.008,30.0,order_18.mp4,685,702,18,-6.015,0,0,True,28,64,18,0.9643,7.9643,64,1
fpsstream_000498,causality_detection,What causes the rally to end?,The player in red misses the table entirely with his return shot,A,4.0,2.0,query,535.042,1071,1200,False,100.0,A,A,A,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", ""The player in black is unable to reach the ball after the player in red's return"", ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.7651,True,fpsbench_000500,late,0.8908,530.042,535.042,535.042,30.0,count_151.mp4,1061,1070,10,0.0,0,0,True,28,64,10,0.8929,1.6429,64,1
fpsstream_000499,causality_detection,What causes the rally to end?,The player in black is unable to reach the ball after the player in red's return,C,5.0,2.0,query,76.996,154,1200,False,0.0,A,A,C,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", ""The player in black is unable to reach the ball after the player in red's return"", ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.6556,True,fpsbench_000501,early,0.106,61.996,77.011,76.996,25.0,subPlot_new_all_160.mp4,124,153,30,-0.015,0,0,True,28,64,30,1.0,19.3929,64,1
fpsstream_000500,causality_detection,What causes the rally to end?,The player in red hits the ball into the net,C,5.0,2.0,query,357.946,716,1200,False,0.0,B,B,C,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", 'The player in red hits the ball into the net', ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.5248,True,fpsbench_000502,middle,0.5932,352.946,357.951,357.946,25.0,subPlot_new_all_119.mp4,706,715,10,-0.005,0,0,True,28,64,10,1.0,5.0714,64,1
fpsstream_000501,causality_detection,What causes the rally to end?,The player in red misses the table entirely with his return shot,A,4.0,2.0,query,522.825,1046,1200,False,100.0,A,A,A,"['The player in red misses the table entirely with his return shot', ""The player in red hits the ball onto his side of the table instead of his opponent's side"", 'The player in red hits the ball into the net', ""The player in black fails to react to his opponent's return"", 'None of the above']",2,0.4673,True,fpsbench_000503,late,0.8696,514.825,522.833,522.825,25.0,order_117.mp4,1030,1045,16,-0.008,0,0,True,28,64,16,1.0,6.3571,64,1
fpsstream_000502,causality_detection,What causes the rally to end?,The ball hit by the player facing away from the camera misses the table,A,4.0,2.0,query,153.626,308,1200,False,0.0,B,B,A,"['The ball hit by the player facing away from the camera misses the table', 'The ball hit by the player facing away from the camera lands on the wrong side of the table', 'The player facing the camera misses misses the ball with his paddle', 'The player facing away from the camera misses the ball with his paddle', 'None of the above']",2,0.5673,True,fpsbench_000504,early,0.2494,147.626,155.626,153.626,30.0,order_3.mp4,296,307,12,-2.0,0,0,True,28,64,12,1.0,10.25,64,1
fpsstream_000503,causality_detection,What causes the rally to end?,The ball hit by the player facing away from the camera misses the table,A,4.0,2.0,query,311.527,624,1200,False,0.0,B,B,A,"['The ball hit by the player facing away from the camera misses the table', 'The ball hit by the player facing away from the camera lands on the wrong side of the table', 'The player facing the camera misses misses the ball with his paddle', 'The player facing away from the camera misses the ball with his paddle', 'None of the above']",2,0.7373,True,fpsbench_000505,middle,0.5128,302.527,312.527,311.527,25.0,subPlot_new_all_139.mp4,606,623,18,-1.0,0,0,True,28,64,18,0.9643,5.1786,64,1
fpsstream_000504,causality_detection,What caused the team wearing black to win a point?,The opposite team hit the shuttle below the net,B,6.0,2.0,query,462.058,925,1200,False,0.0,C,C,B,"['The opposite team hit the shuttle to the net', 'The opposite team hit the shuttle below the net', 'The opposite team hit the shuttle out of the court', 'The opposite team missed their shot', 'None of the above']",2,0.4746,True,fpsbench_000506,late,0.7688,452.058,464.07,462.058,25.0,subPlot_new_all_85.mp4,905,924,20,-2.012,0,0,True,28,64,20,0.9643,4.7857,64,1
fpsstream_000505,synchronization_assessment,Were the two swimmers wearing red and green swimsuits synchronous?,No. The initial movement was not synchronous,B,5.0,2.0,query,161.91,324,1200,False,0.0,A,A,B,"['Yes', 'No. The initial movement was not synchronous', 'No. The 180 degree turn was not synchronous', 'No. They did not raise their hands synchronously after the turn', 'None of the above']",2,0.5155,True,fpsbench_000507,early,0.2638,155.91,164.91,161.91,25.0,subPlot_new_all_131.mp4,312,323,12,-3.0,0,0,True,28,64,12,0.9286,9.25,64,1
fpsstream_000506,synchronization_assessment,Were the dancers wearing red dress in the front row synchronized when they point with their left hand?,No. The fourth dancer from the right moved before the rest,D,4.0,2.0,query,277.525,556,1200,False,0.0,A,A,D,"['Yes', 'No. The first dancer from the left moved before the rest', 'No. The first dancer from the right moved before the rest', 'No. The fourth dancer from the right moved before the rest', 'None of the above']",2,0.5019,True,fpsbench_000508,middle,0.4602,271.525,281.525,277.525,30.0,order_65.mp4,544,555,12,-4.0,0,0,True,28,64,12,0.7143,4.5714,64,1
fpsstream_000507,synchronization_assessment,Do the cockatiels peck at the food together in the video?,"Yes, multiple times",B,5.0,2.0,query,460.802,922,1200,False,100.0,B,B,B,"['Yes, only once', 'Yes, multiple times', 'No, the cockatiel on the left always goes first', 'No, the cockatiel on the right always goes first', 'None of the above']",2,0.6144,True,fpsbench_000509,late,0.7633,448.802,460.802,460.802,25.0,subPlot_new_all_197.mp4,898,921,24,0.0,0,0,True,28,64,24,0.6429,4.0357,64,1
fpsstream_000508,synchronization_assessment,Do the dancers clap above their head in sync?,"Yes, they do.",A,5.0,2.0,query,122.52,246,1200,False,100.0,A,A,A,"['Yes, they do.', 'No, some of the dancers on the left are off beat.', 'No, some of the dancers on the right are off beat.', 'They are all off beat from each other.', 'None of the above']",2,0.5421,True,fpsbench_000510,early,0.1958,115.52,125.52,122.52,30.0,count_237.mp4,232,245,14,-3.0,0,0,True,28,64,14,0.9286,5.9643,64,1
fpsstream_000509,causality_detection,What causes the rally to end?,Both players touch the shuttle in a single shot,D,12.0,2.0,query,272.217,545,1200,False,100.0,D,D,D,"['The shuttle hit the ground', 'The shuttle hit the net and fell down', 'The shuttle fell out of the court', 'Both players touch the shuttle in a single shot', 'None of the above']",2,0.5476,True,fpsbench_000511,middle,0.4475,262.217,276.231,272.217,25.0,movie101_76.mp4,525,544,20,-4.014,0,0,True,28,64,20,0.8214,1.9286,64,1
fpsstream_000510,synchronization_assessment,Do all of them raise their hand synchronously?,"No, but the people squatting do it synchronously",C,4.0,2.0,query,457.296,915,1200,False,0.0,D,D,C,"['Yes', 'No, the person not wearing the red and white shirt does it first', 'No, but the people squatting do it synchronously', 'No, but the people standing raise their hands synchronously', 'None of the above']",2,0.4602,True,fpsbench_000512,late,0.7598,451.296,457.302,457.296,25.0,subPlot_new_all_196.mp4,903,914,12,-0.006,0,0,True,28,64,12,0.8214,1.9643,64,1
fpsstream_000511,synchronization_assessment,Which of the following is false about the players in the blue jersey?,"At one point in the video, both players hit the shuttle simultaneosly",B,12.0,2.0,query,135.732,272,1200,False,0.0,A,A,B,"['At one point in the video, one player raises their racket but the other person hits the shuttle', 'At one point in the video, both players hit the shuttle simultaneosly', 'At one point in the video, both players hit the shuttle one after the other in the same shot', 'At one point in the video, one player takes the shot even if the rally has ended', 'None of the above']",2,0.7008,True,fpsbench_000513,early,0.2112,123.732,137.746,135.732,25.0,subPlot_new_all_61.mp4,248,271,24,-2.014,0,0,True,28,64,24,0.9643,4.2143,64,1
fpsstream_000512,synchronization_assessment,Does the soloist place their bow on their violin at the same time as the orchestra?,"No, the soloist does it slightly before them.",B,7.0,2.0,query,315.018,631,1200,False,0.0,C,C,B,"['Yes, they do it at the same time.', 'No, the soloist does it slightly before them.', 'No, the soloist does it slightly after them.', 'They never start playing near each other.', 'None of the above']",2,0.5754,True,fpsbench_000514,middle,0.5221,308.018,318.018,315.018,25.0,subPlot_new_all_22.mp4,617,630,14,-3.0,0,0,True,28,64,14,0.7143,2.6071,64,1
fpsstream_000513,synchronization_assessment,Which of these is true about the Drumss hold their sticks together after finishing Drums?,The Drumss in th first and second rows standing nearer to the camera did it in sync,A,4.0,2.0,query,428.55,858,1200,False,100.0,A,A,A,"['The Drumss in th first and second rows standing nearer to the camera did it in sync', 'The person nearest to the camera did it first', 'At least three people in the group were not in sync', 'The Drumss in th first and second rows standing nearer to the camera did not do it in sync', 'None of the above']",2,0.4737,True,fpsbench_000515,late,0.7138,417.55,432.55,428.55,30.0,order_43.mp4,836,857,22,-4.0,0,0,True,28,64,22,0.8929,4.9643,64,1
fpsstream_000514,synchronization_assessment,Did the singers bow synchronously?,"No, but the two people on the left of the person wearing grey bowed together",D,6.0,2.0,query,87.181,175,1200,False,0.0,A,A,D,"['Yes', 'No, the person wearing the grey shirt bowed first', 'No, the people wearing the black shirt bowed first', 'No, but the two people on the left of the person wearing grey bowed together', 'None of the above']",2,0.6859,True,fpsbench_000516,early,0.1339,78.181,94.181,87.181,25.0,subPlot_new_all_182.mp4,157,174,18,-7.0,0,0,True,28,64,18,0.8929,10.1429,64,1
fpsstream_000515,synchronization_assessment,Were the two swimmers in the middle frame synchronous?,No. Initially they were synchronous but the last leg movement was not in sync,B,4.0,2.0,query,362.91,726,1200,False,100.0,"B. No. Initially they were synchronous but the last leg movement was not in sync  Explanation: The two swimmers in the middle frame were initially in sync, but towards the end of the leg movement, they were not in sync.",B,B,"['Yes', 'No. Initially they were synchronous but the last leg movement was not in sync', 'No. The initial hand movement was not in sync', 'No. The person wearing red swimwear was always lagging', 'None of the above']",49,3.1976,True,fpsbench_000517,middle,0.5975,351.91,362.91,362.91,30.0,surveil_108.mp4,704,725,22,0.0,0,0,True,28,64,22,0.9286,16.3571,64,1
fpsstream_000516,synchronization_assessment,Did the all the singers who showed their palm lower their hand synchronously?,"No, the person adjacent to the person wearing grey shirt did it first",B,6.0,2.0,query,509.327,1019,1200,False,0.0,A,A,B,"['Yes', 'No, the person adjacent to the person wearing grey shirt did it first', 'No, the person on the extreme right did it first', 'No, the person weraring the grey shirt did it first', 'None of the above']",2,0.4964,True,fpsbench_000518,late,0.8516,497.327,513.327,509.327,30.0,order_54.mp4,995,1018,24,-4.0,0,0,True,28,64,24,0.9286,5.2143,64,1
fpsstream_000517,synchronization_assessment,Were the dancers synchronous in their last foot tap?,At least four people were in sync with each other,A,4.0,2.0,query,168.088,337,1200,False,100.0,A,A,A,"['At least four people were in sync with each other', 'Only the two people in the middle we in sync with each other', 'Only the three dancers on the left we in sync with each other', 'Only the three dancers on the right we in sync with each other', 'None of the above']",2,0.6318,True,fpsbench_000519,early,0.2738,162.088,170.088,168.088,30.0,surveil_115.mp4,325,336,12,-2.0,0,0,True,28,64,12,0.9643,11.0357,64,1
fpsstream_000518,synchronization_assessment,Are the swimmers synchronous when lifting up their right leg?,Yes,A,4.0,2.0,query,244.888,490,1200,False,100.0,A,A,A,"['Yes', 'No, the group on the left did it before the other', 'No, the group on the right did it before the other', 'No, the two swimmers closer to the camera lagged', 'None of the above']",2,0.549,True,fpsbench_000520,middle,0.4086,241.888,249.888,244.888,24.0,subPlot_new_all_48.mp4,484,489,6,-5.0,0,0,True,28,64,6,0.7143,2.9286,64,1
fpsstream_000519,blink_and_miss,Which of these is not representative of what the singers did after bowing?,At least two people showed a victory sign,D,4.0,2.0,query,471.456,943,1200,False,0.0,B,B,D,"['At least one person showed their palm', 'At least one person showed a victory sign', 'At least two people showed their palm', 'At least two people showed a victory sign', 'None of the above']",2,0.5625,True,fpsbench_000521,late,0.7867,459.456,475.456,471.456,25.0,order_171.mp4,919,942,24,-4.0,0,0,True,28,64,24,0.6786,1.1429,64,1
fpsstream_000520,synchronization_assessment,Were the dancers in sync after they raised their right hand?,Yes,A,4.0,2.0,query,158.066,317,1200,False,100.0,A,A,A,"['Yes', 'No, the person wearing black was lagging', 'No, the person wearing red was lagging', 'No, they were performing different moves altogether', 'None of the above']",2,1.191,True,fpsbench_000522,early,0.2497,147.066,158.066,158.066,30.0,order_281.mp4,295,316,22,0.0,0,0,True,28,64,22,1.0,12.4643,64,1
fpsstream_000521,blink_and_miss,Which of the following about the person in the middle is true?,He touched his face once with his right hand and twice with his left,B,4.0,2.0,query,303.162,607,1200,False,0.0,C,C,B,"['He touched his face exactly twice', 'He touched his face once with his right hand and twice with his left', 'He touched his face once with his left hand and twice with his right', 'He touched his face only once', 'None of the above']",2,0.5347,True,fpsbench_000523,middle,0.4934,288.162,304.162,303.162,25.0,subPlot_new_all_80.mp4,577,606,30,-1.0,0,0,True,28,64,30,0.7857,6.7857,64,1
fpsstream_000522,synchronization_assessment,Which of the following is true about the swimmers raising from the water and pointing with their right hand?,The person on the extreme left did it first,D,4.0,2.0,query,477.77,956,1200,False,0.0,A,A,D,"['They did it synchronously', 'The person nearest to the camera did it first', 'The person wearing the magenta swimwear did it before the rest', 'The person on the extreme left did it first', 'None of the above']",2,0.4668,True,fpsbench_000524,late,0.7986,472.77,480.77,477.77,29.0,count_20.mp4,946,955,10,-3.0,0,0,True,28,64,10,0.5714,1.0,64,1
fpsstream_000523,synchronization_assessment,Does the second guitarist from the right start turning at the same time as when the background becomes black?,"No, he starts slightly earlier.",B,4.0,2.0,query,165.527,332,1200,False,0.0,C,C,B,"['Yes, they do so at the same time.', 'No, he starts slightly earlier.', 'No, he starts right after.', 'He starts significantly after.', 'None of the above']",2,0.6108,True,fpsbench_000525,early,0.2704,159.527,169.537,165.527,24.0,order_13.mp4,320,331,12,-4.01,0,0,True,28,64,12,0.9286,9.2143,64,1
fpsstream_000524,synchronization_assessment,Does the man in the white shirt on the left or the woman in the red shirt start dancing first?,They begin at the same time.,C,4.0,2.0,query,355.923,712,1200,False,0.0,D,D,C,"['The woman starts dancing slightly earlier.', 'The man starts dancing slightly earlier.', 'They begin at the same time.', 'Neither dances in the clip.', 'None of the above']",2,0.4829,True,fpsbench_000526,middle,0.5948,350.923,360.923,355.923,25.0,subPlot_new_all_31.mp4,702,711,10,-5.0,0,0,True,28,64,10,0.6786,1.9643,64,1
fpsstream_000525,synchronization_assessment,"After the girl lands, which skater begins to raise their arms first?",The man raises them slightly earlier.,B,6.0,2.0,query,451.39,903,1200,False,0.0,C,C,B,"['They raise their arms at the same time.', 'The man raises them slightly earlier.', 'The woman raises them slightly earlier.', 'Neither raise their arms.', 'None of the above']",2,0.4798,True,fpsbench_000527,late,0.7549,445.39,455.39,451.39,30.0,surveil_100.mp4,891,902,12,-4.0,0,0,True,28,64,12,0.8571,8.1429,64,1
fpsstream_000526,synchronization_assessment,"After the inital dance, do the skaters start skating at the same time?","Yes, they begin at exactly the same time.",A,4.0,2.0,query,168.578,338,1200,False,0.0,B,B,A,"['Yes, they begin at exactly the same time.', 'No, the dancer on the left starts slightly early.', 'No, the dancer on the right starts slightly late.', ""They don't start skating."", 'None of the above']",2,0.6441,True,fpsbench_000528,early,0.2722,160.578,170.578,168.578,25.0,subPlot_new_all_56.mp4,322,337,16,-2.0,0,0,True,28,64,16,0.7143,5.5357,64,1
fpsstream_000527,synchronization_assessment,Do the herd of wildebeest in the background start fleeing the scene in sync?,Yes,A,4.0,2.0,query,325.598,652,1200,False,100.0,A,A,A,"['Yes', 'No the left part of the herd start first', 'No, the right part of the herd start first', 'No, the wilderbeast on the right starts first', 'None of the above']",2,0.5578,True,fpsbench_000529,middle,0.5376,315.598,328.598,325.598,25.0,subPlot_new_all_101.mp4,632,651,20,-3.0,0,0,True,28,64,20,0.6071,5.2143,64,1
fpsstream_000528,synchronization_assessment,Are the soldiers behind the flag-carriers marching in sync?,"Yes, they are in sync.",A,7.0,2.0,query,467.913,936,1200,False,100.0,A,A,A,"['Yes, they are in sync.', 'No, some of the soldiers are clearly off beat.', 'No, the left row is slightly ahead.', 'No, the soldier in the front is behind.', 'None of the above']",2,0.5075,True,fpsbench_000530,late,0.7846,462.913,472.913,467.913,25.0,subPlot_new_all_142.mp4,926,935,10,-5.0,0,0,True,28,64,10,0.6071,1.6429,64,1
fpsstream_000529,synchronization_assessment,Which tractor's wheels start turning first?,The front tractor's wheels start turning first.,B,6.0,2.0,query,151.996,304,1200,False,100.0,B,B,B,"['They start turning at the same time.', ""The front tractor's wheels start turning first."", ""The rear tractor's wheels start turning first."", ""Neither's wheels turn in the video."", 'None of the above']",2,0.578,True,fpsbench_000531,early,0.2458,144.996,155.055,151.996,25.0,subPlot_new_all_175.mp4,290,303,14,-3.059,0,0,True,28,64,14,1.0,11.1071,64,1
fpsstream_000530,synchronization_assessment,Which statement is true of the clip?,"The goalkeeper drops their pads early, right before they shoot.",C,5.0,2.0,query,359.522,720,1200,False,0.0,A,A,C,"['The goalkeeper lowers their pads right after the player shoots.', 'The goalkeeper lowers their shin pads at the same time as the player shoots.', 'The goalkeeper drops their pads early, right before they shoot.', 'The goalkeeper dives very late and lets in an easy goal.', 'None of the above']",2,0.4497,True,fpsbench_000532,middle,0.5975,352.522,362.538,359.522,30.0,order_249.mp4,706,719,14,-3.016,0,0,True,28,64,14,0.9286,2.3214,64,1
fpsstream_000531,synchronization_assessment,Are the cheerleaders in the row closest to the camera dancing in sync?,"Yes, they are in sync.",B,4.0,2.0,query,517.85,1036,1200,False,100.0,B,B,B,"['No, the girl on the left is consistently ahead.', 'Yes, they are in sync.', 'No, the girl on the far right is consistently ahead.', 'No, the girls in the middle are consistently behind.', 'None of the above']",2,0.5387,True,fpsbench_000533,late,0.8658,510.85,520.85,517.85,30.0,order_100.mp4,1022,1035,14,-3.0,0,0,True,28,64,14,0.8929,5.5714,64,1
fpsstream_000532,synchronization_assessment,Do the two skaters start their turn at the same time?,"Yes, they do.",A,4.0,2.0,query,122.461,245,1200,False,0.0,C,C,A,"['Yes, they do.', 'No, the girl is slightly ahead.', 'No, the man is very slightly ahead.', ""They don't turn in the video."", 'None of the above']",2,0.5437,True,fpsbench_000534,early,0.2008,118.461,128.461,122.461,25.0,subPlot_new_all_90.mp4,237,244,8,-6.0,0,0,True,28,64,8,1.0,5.8929,64,1
fpsstream_000533,synchronization_assessment,"After the dance starts, are the girls closest to the camera dancing in sync?","Yes, the are in sync.",A,4.0,2.0,query,334.043,669,1200,False,100.0,A,A,A,"['Yes, the are in sync.', 'No, the girl on the left is slightly behind.', 'No, the girl in the middle is slightly ahead.', 'No, the girl on the right is slightly ahead.', 'None of the above']",2,0.6227,True,fpsbench_000535,middle,0.5492,324.043,334.053,334.043,30.0,order_228.mp4,649,668,20,-0.01,0,0,True,28,64,20,0.7143,4.1071,64,1
fpsstream_000534,synchronization_assessment,Do the girls in the row closest to the camera all start the dance at the same time?,"No, the girl in the middle starts early.",C,4.0,2.0,query,464.194,929,1200,False,0.0,A,A,C,"['Yes, they all start in sync.', 'No, the girl on the left starts early.', 'No, the girl in the middle starts early.', 'No, the girl on the right is slightly ahead.', 'None of the above']",2,0.4711,True,fpsbench_000536,late,0.78,460.194,470.204,464.194,30.0,order_95.mp4,921,928,8,-6.01,0,0,True,28,64,8,0.8929,4.9643,64,1
fpsstream_000535,synchronization_assessment,"When the two violinists are shown playing together, are their bows in sync?","No, the girl in blue is bowing faster at the beginning.",A,7.0,2.0,query,154.486,309,1200,False,0.0,C,C,A,"['No, the girl in blue is bowing faster at the beginning.', 'No, the girl in pink is bowing faster at the beginning.', 'Yes, they are in sync.', 'No, the girl in pink is doing totally different motions.', 'None of the above']",2,0.5838,True,fpsbench_000537,early,0.2491,147.486,155.486,154.486,30.0,order_87.mp4,295,308,14,-1.0,0,0,True,28,64,14,0.9286,8.4643,64,1
fpsstream_000536,synchronization_assessment,Which violinist stopped playing first?,The one in the middle.,C,6.0,2.0,query,255.787,512,1200,False,0.0,B,B,C,"['They all stopped at the same time.', 'The one on the left.', 'The one in the middle.', 'The one on the right.2', 'None of the above']",2,0.497,True,fpsbench_000538,middle,0.4234,249.787,259.797,255.787,25.0,order_71.mp4,500,511,12,-4.01,0,0,True,28,64,12,0.9286,4.3571,64,1
fpsstream_000537,synchronization_assessment,Does the first chair or second chair violinist begin bowing first?,The second chair starts before the first.,B,6.0,2.0,query,426.064,853,1200,False,0.0,A,A,B,"['The first chair starts before the second.', 'The second chair starts before the first.', 'They start at the same time.', 'Neither begin bowing.', 'None of the above']",2,0.5062,True,fpsbench_000539,late,0.7103,419.064,429.075,426.064,25.0,subPlot_new_all_169.mp4,839,852,14,-3.011,0,0,True,28,64,14,0.6786,2.4286,64,1
fpsstream_000538,synchronization_assessment,Which shooter hits the POV character first?,The one on the right.,B,6.0,2.0,query,169.031,339,1200,False,100.0,B,B,B,"['The one on the left.', 'The one on the right.', 'They hit at the same time.', 'Neither hit the POV character.', 'None of the above']",2,0.4797,True,fpsbench_000540,early,0.278,164.031,174.041,169.031,24.0,subPlot_new_all_157.mp4,329,338,10,-5.01,0,0,True,28,64,10,0.7143,5.0,64,1
fpsstream_000539,synchronization_assessment,Did the dancers raise their left arm synchronously?,"Yes, both times",A,4.0,2.0,query,256.958,514,1200,False,100.0,A,A,A,"['Yes, both times', 'They did not do it in sync the first time', 'They did not do it in sync the second time', 'They were not in sync both times', 'None of the above']",2,0.5336,True,fpsbench_000541,middle,0.4246,250.958,259.958,256.958,25.0,subPlot_new_all_36.mp4,502,513,12,-3.0,0,0,True,28,64,12,0.8214,5.5,64,1
