video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","It looks like you're standing in front of a refrigerator filled with various beverages. To determine if there's mineral water available, you should look for bottles that are typically labeled as ""mineral water"" or have a label indicating that they contain naturally occurring minerals. These bottles are often clear or have a label that indicates the water is from a natural source. If you see any bottles that match this description, then you have found the mineral water you're looking for. If you don't see any, you might want to check other nearby stores or consider a different type of water or beverage.",20.0,20,179,1.0,False,446,3920,0.1138,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","It looks like you're standing in front of a refrigerator filled with various beverages. To determine if there's mineral water available, you should look for bottles that are typically labeled as ""mineral water"" or have a label indicating that they contain naturally occurring minerals. These bottles are often clear or have a label that indicates the water is from a natural source. If you see any bottles that match this description, then you have found the mineral water you're looking for. If you don't see any, you might want to check other nearby stores or consider a different type of water or beverage.",20.0,20,179,1.0,False,446,3920,0.1138,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,868,9800,0.0886,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,868,9800,0.0886,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, specifically in the beverage section. There are refrigerators stocked with various drinks, and you can see a person in the background, likely a store employee or a customer. The presence of a promotional sign suggests that there might be some special offers or events happening at the store.",74.0,74,179,1.0,False,1074,14504,0.074,1568,8,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are inside a convenience store or a small grocery store, specifically in the beverage section. There are refrigerators stocked with various drinks, and you can see a person in the background, likely a store employee or a customer. The presence of a promotional sign suggests that there might be some special offers or events happening at the store.",74.0,74,179,1.0,False,1074,14504,0.074,1568,8,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,1279,21168,0.0604,1960,10,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,1279,21168,0.0604,1960,10,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby. You can find apples on the shelf.",142.0,142,179,1.0,False,1537,27832,0.0552,2352,12,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby. You can find apples on the shelf.",142.0,142,179,1.0,False,1537,27832,0.0552,2352,12,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator in the image that contains various beverages, including beer and mineral water. You can see bottles and cans on the shelves, which suggests that they are stocked for sale.",179.0,179,179,1.0,False,1728,35084,0.0493,2548,13,15000,0,64,1
