video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,blind,retrieve_size,chunk_size
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q0,Step Localization,How long has the person in the scene been performing the 'make the  detergent'?,"['8-9s', '50-51s', '6-7s', '19-20s']",6-7s,C,C) 6-7s.,C,100.0,85.0,0,0,1.0,False,True,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q1,Step Verification,Is the person in the current frame still performing the 'wet the mop'?,"['Yes', 'No']",Yes,A,B) No,B,0.0,112.0,0,0,1.0,False,True,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q2,Procedure Recall,What goal was achieved in this video?,"['clean wooden floor', 'remove crayon from walls', 'wash dish', 'iron clothes']",clean wooden floor,A,A) clean wooden floor.,A,100.0,136.0,0,0,1.0,False,True,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'take out the label'?,"['Yes', 'No']",Yes,A,B) No,B,0.0,15.0,0,0,1.0,False,True,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q1,Procedure Recall,Did the person follow the correct procedure to achieve the 'refill cartridge'?,"['Yes', 'No']",Yes,A,B) No,B,0.0,48.0,0,0,1.0,False,True,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'cut off and remove the old string'?,"['Yes', 'No']",No,B,B) No,B,100.0,45.0,0,0,1.0,False,True,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q1,Step Localization,How long has the person in the scene been performing the 'fix the new string on the lower part of the guitar'?,"['54-55s', '15-16s', '20-21s', '13-14s']",13-14s,D,A) 54-55s.,A,0.0,80.0,0,0,1.0,False,True,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q2,Procedure Recall,Did the person follow the correct procedure to achieve the 'change guitar strings'?,"['Yes', 'No']",Yes,A,B)Explanation: The correct procedure to achieve the 'change guitar strings' involves,B,0.0,148.0,0,0,1.0,False,True,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q0,Procedure Recall,What actions did the person perform in sequence in the last 30 seconds?,"['heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea', 'prepare and add the tea -> prepare and boil water -> heat the teapot and wash the cup', 'prepare and add the tea -> heat the teapot and wash the cup -> prepare and boil water', 'heat the teapot and wash the cup -> add some ingredients to the tea -> prepare and boil water']",heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea,A,B) prepare and add the tea -> prepare and boil water -> heat the te,B,0.0,101.0,0,0,1.0,False,True,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q1,Step Verification,Is the person in the current frame still performing the 'prepare and add the tea'?,"['Yes', 'No']",No,B,B).,B,100.0,107.0,0,0,1.0,False,True,64,1
COIN__KyloEdIDxAw.mp4,COIN__KyloEdIDxAw.mp4#q0,Step Verification,Is the person in the current frame still performing the 'install fan bracket'?,"['Yes', 'No']",No,B,B) No,B,100.0,17.5,0,0,1.0,False,True,64,1
