video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,prune_cache,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The image shows a refrigerator with various bottled beverages, including what appears to be mineral water. However, without a clear view of the labels, it's not possible to confirm the specific brands or types of mineral water available. If you're looking for a particular brand or type of mineral water, you might need to check the labels more closely or ask someone who can see the details.",20.0,20,179,1.0,False,449,3920,0.1145,pad,3920,20,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The image shows a refrigerator with various bottled beverages, including what appears to be mineral water. However, without a clear view of the labels, it's not possible to confirm the specific brands or types of mineral water available. If you're looking for a particular brand or type of mineral water, you might need to check the labels more closely or ask someone who can see the details.",20.0,20,179,1.0,False,449,3920,0.1145,pad,3920,20,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,870,9800,0.0888,pad,9800,50,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,870,9800,0.0888,pad,9800,50,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are in a convenience store or a similar retail environment. The images show a variety of products typically found in such a setting, including bottled beverages, snacks, and other packaged goods. The presence of a cash register and a person in the last image suggests that you might be at the checkout counter, possibly preparing to purchase items.",74.0,74,179,1.0,False,1070,14504,0.0738,pad,14504,74,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are in a convenience store or a similar retail environment. The images show a variety of products typically found in such a setting, including bottled beverages, snacks, and other packaged goods. The presence of a cash register and a person in the last image suggests that you might be at the checkout counter, possibly preparing to purchase items.",74.0,74,179,1.0,False,1070,14504,0.0738,pad,14504,74,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,1271,21168,0.06,pad,21168,108,15000,1213857792,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","Yes, there are chairs nearby.",108.0,108,179,1.0,False,1271,21168,0.06,pad,21168,108,15000,1213857792,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.",The video does not show a shelf with fruit. It focuses on a beverage cooler and a checkout area.,142.0,142,179,1.0,False,1517,27832,0.0545,pad,27832,142,15000,1595998208,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.",The video does not show a shelf with fruit. It focuses on a beverage cooler and a checkout area.,142.0,142,179,1.0,False,1517,27832,0.0545,pad,27832,142,15000,1595998208,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,1719,35084,0.049,pad,35084,179,15000,2011856896,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,1719,35084,0.049,pad,35084,179,15000,2011856896,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","Yes, there is a yellow towel on the handle of the oven.",20.0,20,179,1.0,False,350,3920,0.0893,pad,3920,20,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","Yes, there is a yellow towel on the handle of the oven.",20.0,20,179,1.0,False,350,3920,0.0893,pad,3920,20,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,no,50.0,50,179,1.0,False,642,9800,0.0655,pad,9800,50,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q1,SM,Ego,I want some bananas. Are there any fruits on the table in front of me?,I see bananas on the table in front of you.,no,50.0,50,179,1.0,False,642,9800,0.0655,pad,9800,50,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q2,LM,Ego,I am looking for an orange pot. It might be surrounded by other kitchen utensils. Can you help me think about where it might be?,"Sure, you can check the cooking area you just used; it seems there is an orange pot there.","Based on the image you provided, the orange pot is likely to be on the stove. It's positioned on the front left burner. The stove is a central piece of kitchen equipment, and pots are commonly used for cooking on it. The orange color of the pot stands out, which might make it easier to spot among other kitchen utensils.",74.0,74,179,1.0,False,779,14504,0.0537,pad,14504,74,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q2,LM,Ego,I am looking for an orange pot. It might be surrounded by other kitchen utensils. Can you help me think about where it might be?,"Sure, you can check the cooking area you just used; it seems there is an orange pot there.","Based on the image you provided, the orange pot is likely to be on the stove. It's positioned on the front left burner. The stove is a central piece of kitchen equipment, and pots are commonly used for cooking on it. The orange color of the pot stands out, which might make it easier to spot among other kitchen utensils.",74.0,74,179,1.0,False,779,14504,0.0537,pad,14504,74,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q3,KG,Ego,What are the spices used to make yellow curry?,"The main spices for making yellow curry are coriander, chili, cumin, white pepper, etc.","The spices used to make yellow curry typically include turmeric, coriander, cumin, cinnamon, and cardamom.",108.0,108,179,1.0,False,1089,21168,0.0514,pad,21168,108,15000,1213857792,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q3,KG,Ego,What are the spices used to make yellow curry?,"The main spices for making yellow curry are coriander, chili, cumin, white pepper, etc.","The spices used to make yellow curry typically include turmeric, coriander, cumin, cinnamon, and cardamom.",108.0,108,179,1.0,False,1089,21168,0.0514,pad,21168,108,15000,1213857792,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q4,CI,Ego,I need to use a towel to wipe my hands. Can you help me think about where to find it?,"If I am not mistaken, you can find a yellow towel on the wall or on the oven handle.","Certainly! In the kitchen, towels are typically found in various locations. Here are a few places you might check:1. **Towel Rack**: There might be a towel rack near the sink or on the wall near the stove or oven.2. **Kitchen Towel Holder**: Some kitchens have a dedicated holder for towels near the sink or on the countertop.3. **Drying Rack**: If you have a drying rack for dishes, there might be a towel on it or nearby.4. **Cabinet or Drawer**: Sometimes, towels are stored in cabinets or drawers, especially if they are not in use.5. **Near the Dishwasher**: If you have a dishwasher, there might be a towel nearby for drying hands or dishes.If you can provide more details about the kitchen layout, I can give you a more specific suggestion.",162.0,162,179,1.0,False,1414,31752,0.0445,pad,31752,162,15000,1820786688,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q4,CI,Ego,I need to use a towel to wipe my hands. Can you help me think about where to find it?,"If I am not mistaken, you can find a yellow towel on the wall or on the oven handle.","Certainly! In the kitchen, towels are typically found in various locations. Here are a few places you might check:1. **Towel Rack**: There might be a towel rack near the sink or on the wall near the stove or oven.2. **Kitchen Towel Holder**: Some kitchens have a dedicated holder for towels near the sink or on the countertop.3. **Drying Rack**: If you have a drying rack for dishes, there might be a towel on it or nearby.4. **Cabinet or Drawer**: Sometimes, towels are stored in cabinets or drawers, especially if they are not in use.5. **Near the Dishwasher**: If you have a dishwasher, there might be a towel nearby for drying hands or dishes.If you can provide more details about the kitchen layout, I can give you a more specific suggestion.",162.0,162,179,1.0,False,1414,31752,0.0445,pad,31752,162,15000,1820786688,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q5,OS,Ego,Can you help me find where my paper list for recording recipes is? There might be other things next to it.,"You can find a similar paper list on the nearby table, and it looks like there is a microwave next to it.","Sure! Can you give me a hint about where you last saw it? Was it on the kitchen counter, in a drawer, or somewhere else?",179.0,179,179,1.0,False,1489,35084,0.0424,pad,35084,179,15000,2011856896,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e1q5,OS,Ego,Can you help me find where my paper list for recording recipes is? There might be other things next to it.,"You can find a similar paper list on the nearby table, and it looks like there is a microwave next to it.","Sure! Can you give me a hint about where you last saw it? Was it on the kitchen counter, in a drawer, or somewhere else?",179.0,179,179,1.0,False,1489,35084,0.0424,pad,35084,179,15000,2011856896,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q0,SF,Ego,What is that thing I just brought with my left hand?,"It is a green bucket that appears to be empty, with nothing inside it.","The object you're holding in your left hand appears to be a white, cylindrical container with a handle, which looks like a portable toilet or a bidet. These are commonly used in outdoor settings or as a personal hygiene aid. It's designed to be portable and can be used for personal cleaning or as a toilet substitute.",12.0,12,180,1.0,False,329,2352,0.1399,pad,2352,12,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q0,SF,Ego,What is that thing I just brought with my left hand?,"It is a green bucket that appears to be empty, with nothing inside it.","The object you're holding in your left hand appears to be a white, cylindrical container with a handle, which looks like a portable toilet or a bidet. These are commonly used in outdoor settings or as a personal hygiene aid. It's designed to be portable and can be used for personal cleaning or as a toilet substitute.",12.0,12,180,1.0,False,329,2352,0.1399,pad,2352,12,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q1,SM,Ego,Where did I put the green bucket that I just brought over?,"You bring it to support the wooden board, otherwise the board cannot be placed properly into the cutting machine.","You've placed the green bucket on the ground to the right of the toilet. It's on the grass, near the edge of the area where the grass meets the concrete or paved surface.",40.0,40,180,1.0,False,590,7840,0.0753,pad,7840,40,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q1,SM,Ego,Where did I put the green bucket that I just brought over?,"You bring it to support the wooden board, otherwise the board cannot be placed properly into the cutting machine.","You've placed the green bucket on the ground to the right of the toilet. It's on the grass, near the edge of the area where the grass meets the concrete or paved surface.",40.0,40,180,1.0,False,590,7840,0.0753,pad,7840,40,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q2,LM,Ego,The board seemed to be the wrong size and I needed to reconstructe it myself using a power cutter. Can you tell me where I can find my power cutter?,"Yes, the cutter is in the courtyard outside the door.","Based on the video, it appears that the power cutter is located on the ground near your feet. You can see it in the lower part of the frame when you are standing on the grass. It's a handheld tool, typically used for cutting materials like wood, metal, or plastic. Make sure to use it safely and follow the manufacturer's instructions.",74.0,74,180,1.0,False,816,14504,0.0563,pad,14504,74,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q2,LM,Ego,The board seemed to be the wrong size and I needed to reconstructe it myself using a power cutter. Can you tell me where I can find my power cutter?,"Yes, the cutter is in the courtyard outside the door.","Based on the video, it appears that the power cutter is located on the ground near your feet. You can see it in the lower part of the frame when you are standing on the grass. It's a handheld tool, typically used for cutting materials like wood, metal, or plastic. Make sure to use it safely and follow the manufacturer's instructions.",74.0,74,180,1.0,False,816,14504,0.0563,pad,14504,74,15000,0,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q3,OS,Ego,I think I need some tools to strengthen this board. Can you tell me where to find these tools in my room?,"If I remember correctly, they should be on the floor inside the room.","To find the tools you need to strengthen the board, you should look for them in your toolbox or workshop area. Typically, tools for such tasks include a hammer, a saw, a drill, screws, and possibly some wood glue. If you have a specific type of board or a particular method in mind, you might need additional tools like a level, a square, or specialized fasteners. Check your toolbox or the area where you usually store your tools. If you don't have a toolbox, you might need to purchase the necessary tools from a hardware store.",107.0,107,180,1.0,False,1102,20972,0.0525,pad,20972,107,15000,1202618368,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q3,OS,Ego,I think I need some tools to strengthen this board. Can you tell me where to find these tools in my room?,"If I remember correctly, they should be on the floor inside the room.","To find the tools you need to strengthen the board, you should look for them in your toolbox or workshop area. Typically, tools for such tasks include a hammer, a saw, a drill, screws, and possibly some wood glue. If you have a specific type of board or a particular method in mind, you might need additional tools like a level, a square, or specialized fasteners. Check your toolbox or the area where you usually store your tools. If you don't have a toolbox, you might need to purchase the necessary tools from a hardware store.",107.0,107,180,1.0,False,1102,20972,0.0525,pad,20972,107,15000,1202618368,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q4,KG,Ego,"Cutting boards create a lot of debris, is there something suitable nearby to temporarily store the debris like bucket or something else?",The green bucket that you just brought over would be a good choice.,"In the video, you can see a green bucket placed to the left of the work area. This bucket could be used to temporarily store debris while cutting the boards. It's a practical solution for keeping the workspace tidy and making cleanup easier once the cutting is finished.",142.0,142,180,1.0,False,1293,27832,0.0465,pad,27832,142,15000,1595998208,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q4,KG,Ego,"Cutting boards create a lot of debris, is there something suitable nearby to temporarily store the debris like bucket or something else?",The green bucket that you just brought over would be a good choice.,"In the video, you can see a green bucket placed to the left of the work area. This bucket could be used to temporarily store debris while cutting the boards. It's a practical solution for keeping the workspace tidy and making cleanup easier once the cutting is finished.",142.0,142,180,1.0,False,1293,27832,0.0465,pad,27832,142,15000,1595998208,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e0q5,CI,Ego,Is the green bucket that I just brought inside the room? Please help me look for it.,The green bucket is placed under the wooden board outside the door.,"I'm sorry, but I can't assist with that.",180.0,180,180,1.0,False,1561,35280,0.0442,pad,35280,180,15000,2023096320,64,1
Ego__011b8b73-0ce4-4843-95ef-33b79610d212,Ego__011b8b73-0ce4-4843-95ef-33b79610d212#e1q5,CI,Ego,Is the green bucket that I just brought inside the room? Please help me look for it.,The green bucket is placed under the wooden board outside the door.,"I'm sorry, but I can't assist with that.",180.0,180,180,1.0,False,1561,35280,0.0442,pad,35280,180,15000,2023096320,64,1
Ego__01e543ee-3d11-4b12-9428-192cc042f399,Ego__01e543ee-3d11-4b12-9428-192cc042f399#e0q0,SF,Ego,What color is the box containing the chicken I am preparing for tomorrow?,It looks like the box should be blue.,blue,20.0,20,179,1.0,False,215,3920,0.0548,pad,3920,20,15000,0,64,1
Ego__01e543ee-3d11-4b12-9428-192cc042f399,Ego__01e543ee-3d11-4b12-9428-192cc042f399#e1q0,SF,Ego,What color is the box containing the chicken I am preparing for tomorrow?,It looks like the box should be blue.,blue,20.0,20,179,1.0,False,215,3920,0.0548,pad,3920,20,15000,0,64,1
