video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q0,Step Localization,How long has the person in the scene been performing the 'make the  detergent'?,"['8-9s', '50-51s', '6-7s', '19-20s']",6-7s,C,C) 6-7s,C,100.0,85.0,86,137,1.0,False,3167,16856,0.1879,3332,17,15000,0,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q1,Step Verification,Is the person in the current frame still performing the 'wet the mop'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,112.0,113,137,1.0,False,4301,22148,0.1942,4508,23,15000,0,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q2,Procedure Recall,What goal was achieved in this video?,"['clean wooden floor', 'remove crayon from walls', 'wash dish', 'iron clothes']",clean wooden floor,A,A) clean wooden floor,A,100.0,136.0,137,137,1.0,False,5487,26852,0.2043,5880,30,15000,0,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'take out the label'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,15.0,16,49,1.0,False,1690,3136,0.5389,1764,9,15000,0,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q1,Procedure Recall,Did the person follow the correct procedure to achieve the 'refill cartridge'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,48.0,49,49,1.0,False,5581,9604,0.5811,5684,29,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'cut off and remove the old string'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,45.0,46,149,1.0,False,4354,9016,0.4829,4508,23,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q1,Step Localization,How long has the person in the scene been performing the 'fix the new string on the lower part of the guitar'?,"['54-55s', '15-16s', '20-21s', '13-14s']",13-14s,D,D) 13-14s,D,100.0,80.0,81,149,1.0,False,7116,15876,0.4482,7448,38,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q2,Procedure Recall,Did the person follow the correct procedure to achieve the 'change guitar strings'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,148.0,149,149,1.0,False,10967,29204,0.3755,11368,58,15000,0,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q0,Procedure Recall,What actions did the person perform in sequence in the last 30 seconds?,"['heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea', 'prepare and add the tea -> prepare and boil water -> heat the teapot and wash the cup', 'prepare and add the tea -> heat the teapot and wash the cup -> prepare and boil water', 'heat the teapot and wash the cup -> add some ingredients to the tea -> prepare and boil water']",heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea,A,A) heat the teapot and wash the cup -> prepare and boil water ->,A,100.0,101.0,102,108,1.0,False,7358,19992,0.368,7448,38,15000,0,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q1,Step Verification,Is the person in the current frame still performing the 'prepare and add the tea'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,107.0,108,108,1.0,False,7607,21168,0.3594,7840,40,15000,0,64,1
