video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,retrieve_size,chunk_size
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q0,Trajectory Retrieval,"Where is the location of the person [0.358, 0.524, 0.417, 0.875] in the screen 1.0 second(s) before?","['[0.489, 0.829, 0.717, 0.969]', '[0.602, 0.49, 0.656, 0.693]', '[0.0, 0.78, 0.044, 0.9]', '[0.348, 0.546, 0.407, 0.904]']","[0.348, 0.546, 0.407, 0.904]",D,"D) [0.348, 0.546,",D,100.0,1.0,2,4,1.0,False,64,1
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q1,Movement Prediction,"What direction do you think the person [0.564, 0.569, 0.619, 0.912] may move towards in the next second?","['left-bottom', 'left', 'right-bottom', 'right']",left-bottom,A,D) right,D,0.0,2.0,3,4,1.0,False,64,1
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q2,Object Presence,"Is the person [0.516, 0.553, 0.577, 0.871] still in the screen 1.0 seconds before?","['No, it does not exist.', 'Yes, it exists.']","Yes, it exists.",B,B).,B,100.0,2.0,3,4,1.0,False,64,1
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q3,Object Trajectory,"Compared with 2 seconds ago, are the person [0.147, 0.532, 0.231, 0.896] and the person [0.464, 0.579, 0.523, 0.879] closer or farther apart?","['They are getting farther apart.', 'Their distance almost remains unchanged.', 'They are getting closer.']",They are getting closer.,C,C) They are getting closer.,C,100.0,2.0,3,4,1.0,False,64,1
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q4,Object Existence State,"What is the time period the person [0.661, 0.642, 0.71, 0.931] in the current screen appears in the video? And what is the time period that it disappears?","['It appears at 0.0 - 2.0s.', 'It appears at 0.0 - 1.0s. And it disappears at 2.0s.', 'It appears at 0.0s, 2.0s. And it disappears at 1.0s.', 'It appears at 1.0s. And it disappears at 2.0s.']",It appears at 0.0 - 2.0s.,A,"C) It appears at 0.0s, 2.0s",C,0.0,2.0,3,4,1.0,False,64,1
HACS__Hurling_v_C5DkqCKgM5M,HACS__Hurling_v_C5DkqCKgM5M#q5,Object Position,"Based on visible information, which option most accurately describes the location of the persons on the screen? (Note: Positions with counts, e.g., 'left-middle (2)', indicate multiple objects in the same area.)","['center, center (3), right-top', 'left-bottom, left-bottom (3)', 'left-middle, left-middle, right-middle (3), left-top', 'center, center (2), left-bottom']","left-bottom, left-bottom (3)",B,"C) left-middle, left-middle, right-middle (3), left-top",C,0.0,3.0,4,4,1.0,False,64,1
ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922,ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922#q0,Movement Prediction,"What direction do you think the car [0.478, 0.501, 0.488, 0.53] may move towards in the next second?","['left-bottom', 'right-top', 'right-bottom', 'uncertain']",left-bottom,A,C) right-bottom,C,0.0,2.0,3,8,1.0,False,64,1
ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922,ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922#q1,Trajectory Retrieval,"When does the truck [0.465, 0.472, 0.493, 0.523] in the current screen first appear in the video? Give the corresponding position when it first appears.","['It first appears 23 seconds before, at [0.462, 0.0, 0.649, 0.767].', 'It first appears 2 seconds before, at [0.475, 0.482, 0.497, 0.518].', 'It first appears 14 seconds before, at [0.252, 0.167, 0.395, 0.883].', 'It first appears 7 seconds before, at [0.412, 0.6, 0.473, 0.712].']","It first appears 2 seconds before, at [0.475, 0.482, 0.497, 0.518].",B,"A) It first appears 23 seconds before, at [0.4",A,0.0,2.0,3,8,1.0,False,64,1
ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922,ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922#q2,Object Position,"Based on visible information, which option most accurately describes the location of the car_ on the screen? (Note: Positions with counts, e.g., 'left-middle (2)', indicate multiple objects in the same area.)","['center, center (3)', 'top, left-bottom (2)', 'center, bottom, center (2), right-middle', 'left-bottom, left-middle, center (2), left-bottom']","center, center (3)",A,"C) center, bottom, center (2), right-middle",C,0.0,2.0,3,8,1.0,False,64,1
ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922,ArgoVerse__de777454-df62-3d5a-a1ce-2edb5e5d4922#q3,Object Trajectory,"Compared with 2 seconds ago, are the truck [0.436, 0.458, 0.48, 0.538] and the car [0.421, 0.5, 0.467, 0.557] closer or farther apart?","['Their distance almost remains unchanged.', 'They are getting farther apart.', 'They are getting closer.']",They are getting farther apart.,B,A) Their distance almost remains unchanged.,A,0.0,4.0,5,8,1.0,False,64,1
