video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
AutoEvalMetaData__1,761,STU,Which container is located closer to the top left corner of the table?,"['The blue container.', 'The white container.', 'The red container.', 'The green container.']",The white container.,B,B) The white container.,B,100.0,106.84,107,737,1.0,False,226,20972,0.0108,392,2,15000,0,64,1
AutoEvalMetaData__1,760,STU,What's right above the pot?,"['A shelf with spices is situated just above the pot.', 'A ladle is hanging right above the pot.', 'The kitchen lamp is positioned directly above the pot.', ""The cook's hands are directly above the pot.""]",The cook's hands are directly above the pot.,D,A) A shelf with spices is situated just above the pot.,A,0.0,107.84,108,737,1.0,False,228,21168,0.0108,588,3,15000,0,64,1
AutoEvalMetaData__1,762,STU,What is she putting the seasoning into?,"['She is putting the seasoning into a small bowl.', 'She is putting the seasoning into a White bottle.', 'She is putting the seasoning into a glass container.', 'She is putting the seasoning into a the pot.']",She is putting the seasoning into a glass container.,C,D) She is putting the seasoning into a the pot.,D,0.0,159.84,160,737,1.0,False,264,31360,0.0084,784,4,15000,0,64,1
AutoEvalMetaData__1,763,STU,What is located directly behind the woman wearing the apron with red ties?,"['the chalkboard cabinets with writing.', 'A gas stove with pots and bowls on it.', 'a display case with antique dishes.', 'a Double door refrigerator']",the chalkboard cabinets with writing.,A,B) A gas stove with pots and bowls on it.,B,0.0,649.72,650,737,1.0,False,596,127400,0.0047,1176,6,15000,0,64,1
AutoEvalMetaData__1,764,STU,What is the position of the wooden spoon in the sauce?,"['The wooden spoon is partially submerged in the sauce.', ""The wooden spoon is balanced on the pot's handle, not touching the sauce."", 'The wooden spoon is leaning against the side of the pot, submerged halfway into the sauce.', 'The wooden spoon is floating on the surface of the sauce.']",The wooden spoon is partially submerged in the sauce.,A,A) The wooden spoon is partially submerged in the sauce.,A,100.0,736.72,737,737,1.0,False,621,144452,0.0043,1372,7,15000,0,64,1
AutoEvalMetaData__10,1051,ATR,What is the character's expression as seen with the headset?,"[""The character's expression appears to be a smile."", 'The character seems to have a puzzled look.', ""The character's expression appears to be neutral."", 'The character looks angry.']",The character's expression appears to be a smile.,A,A) The character's expression appears to be a smile.,A,100.0,144.34,145,145,1.0,False,1077,28420,0.0379,1176,6,15000,0,64,1
AutoEvalMetaData__10,1052,ATR,What is the color of the character's outfit on the platform?,"['Red.', 'Gray', 'Brown.', 'Green']",Brown.,C,C) Brown.,C,100.0,144.34,145,145,1.0,False,1077,28420,0.0379,1176,6,15000,0,64,1
AutoEvalMetaData__10,1053,ATR,What shape are the windows in the background?,"['Square', 'Rectangular.', 'Oval', 'Circular']",Rectangular.,B,B) Rectangular.,B,100.0,144.34,145,145,1.0,False,1077,28420,0.0379,1176,6,15000,0,64,1
AutoEvalMetaData__100,934,OJR,What can be seen on the wall behind the person?,"['A wall clock', 'A mirror', 'A painting', 'A series of bookshelves']",A painting,C,C) A painting,C,100.0,57.76,58,971,1.0,False,289,11368,0.0254,392,2,15000,0,64,1
AutoEvalMetaData__100,936,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Cake knife,C,C) Cake knife,C,100.0,625.88,626,971,1.0,False,1299,122696,0.0106,1568,8,15000,0,64,1
AutoEvalMetaData__100,1394,OCR,What is written on the cake?,"['Cheers to You', 'Best Wishes', 'Congratulations', 'Happy Birthday']",Congratulations,C,C) Congratulations,C,100.0,656.12,657,971,1.0,False,1384,128772,0.0107,1764,9,15000,0,64,1
AutoEvalMetaData__100,937,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Black Camera,D,C) Cake knife,C,0.0,715.88,716,971,1.0,False,1540,140336,0.011,1960,10,15000,0,64,1
AutoEvalMetaData__100,938,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",phone,B,C) Cake knife,C,0.0,918.88,919,971,1.0,False,1894,180124,0.0105,2352,12,15000,0,64,1
AutoEvalMetaData__100,935,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Black gift bag,A,C) Cake knife,C,0.0,926.88,927,971,1.0,False,1907,181692,0.0105,2548,13,15000,0,64,1
AutoEvalMetaData__100,1395,OCR,What is written on the gift bag?,"['PRADA', 'VERSACE', 'LOUIS VUITTON', 'GUCCI']",GUCCI,D,D) GUCCI,D,100.0,927.12,928,971,1.0,False,1907,181888,0.0105,2548,13,15000,0,64,1
AutoEvalMetaData__100,939,OJR,What is she holding in her hand?,"['A red box and a green box.', 'Black gift bag', 'A green box.', 'Black Camera']",A red box and a green box.,A,A) A red box and a green box.,A,100.0,942.88,943,971,1.0,False,1914,184828,0.0104,2744,14,15000,0,64,1
AutoEvalMetaData__100,940,OJR,What is she holding in her hand?,"['A red box and a green box.', 'Black gift bag', 'A green box.', 'Black Camera']",A green box.,C,C) A green box.,C,100.0,952.88,953,971,1.0,False,1918,186788,0.0103,2940,15,15000,0,64,1
