video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000000,repetitive_motion,How many dribbles does the player make?,3,A,7.0,1.0,query,153.817,154,600,False,100.0,A,A,A,"['3', '4', '5', '6', 'None of the above']",2,0.453,True,fpsbench_000000,early,0.2522,149.817,155.823,153.817,25.0,order_29.mp4,150,153,4,-2.006,0,0,True,28,54,3,1.0,3.0,10403,30184,0.3447,10584,54,15000,0,64,1
fpsstream_000001,repetitive_motion,How many times does the person in white and blue shirt move his fist?,more than 8 but less than 10 times,B,20.0,1.0,query,247.816,248,600,False,0.0,A,A,B,"['6 to 8 times', 'more than 8 but less than 10 times', 'more than 10 but less than 13 times', 'exactly 13 times', 'None of the above']",2,0.7691,True,fpsbench_000001,middle,0.4117,240.816,255.816,247.816,30.0,order_242.mp4,241,247,7,-8.0,0,0,True,28,64,3,1.0,2.5,15451,48608,0.3179,15484,79,15000,887914496,64,1
fpsstream_000002,instance_count,How many times does the person clap in total?,more than 11 times,D,10.0,1.0,query,480.81,481,600,False,0.0,A,A,D,"['6 to 8 times', '8 to 10 times', '11 times', 'more than 11 times', 'None of the above']",2,0.6817,True,fpsbench_000002,late,0.8048,470.81,485.81,480.81,25.0,subPlot_new_all_198.mp4,471,480,10,-5.0,0,0,True,28,64,3,0.9643,2.3214,32730,94276,0.3472,32732,167,15000,1876983808,64,1
fpsstream_000003,speed_recognition,How does the speed of the car change in this video,Speed up,A,7.0,1.0,query,109.753,110,600,False,0.0,B,B,A,"['Speed up', 'Slow down', 'Stays the same', 'Speeds up and slows down', 'None of the above']",2,0.3329,True,fpsbench_000003,early,0.1774,105.753,109.753,109.753,25.0,subPlot_new_all_92.mp4,106,109,4,0.0,0,0,True,28,41,2,1.0,2.0,7852,21560,0.3642,8036,41,15000,0,64,1
fpsstream_000004,fine_grained_motion,"What foot does the player shoot with, and does he score","Left foot, no he does not score",B,7.0,1.0,query,243.368,244,600,False,0.0,A,A,B,"['Right foot, no he does not score', 'Left foot, no he does not score', 'Right foot, yes he does score', 'Left foot, yes he does score', 'None of the above']",2,0.382,True,fpsbench_000004,middle,0.4033,240.368,244.368,243.368,30.0,order_74.mp4,241,243,3,-1.0,0,0,True,28,64,2,1.0,1.6429,12649,47824,0.2645,12740,65,15000,0,64,1
fpsstream_000005,repetitive_motion,How many times does the dog jump on the floor in this video after getting off the couch?,5,B,7.0,1.0,query,458.671,459,600,False,0.0,E,E,B,"['4', '5', '6', '7', 'None of the above']",2,0.8578,True,fpsbench_000005,late,0.7629,454.671,458.675,458.671,25.0,movie101_89.mp4,455,458,4,-0.004,0,0,True,28,64,2,0.8571,1.4286,18175,89964,0.202,18228,93,15000,1045266432,64,1
fpsstream_000006,instance_count,How many times does player #45 touch the ball with his right foot?,4,C,16.0,1.0,query,123.902,124,600,False,0.0,A,A,C,"['2', '3', '4', '5', 'None of the above']",2,0.3432,True,fpsbench_000006,early,0.1998,118.902,123.902,123.902,24.0,subPlot_new_all_59.mp4,119,123,5,0.0,0,0,True,28,37,3,1.0,3.0,7176,24304,0.2953,7252,37,15000,0,64,1
fpsstream_000007,action_order,What is the order of the actions by the player holding the ball in the video?,"Dribble, Between the legs crossover, Pass",B,8.0,1.0,query,301.119,302,600,False,0.0,D,D,B,"['Behind the back, dribble, pass', 'Dribble, Between the legs crossover, Pass', 'Crossover, Dribble, Pass', 'Dribble, behind the back, pass', 'None of the above']",2,0.6346,True,fpsbench_000007,middle,0.4994,298.119,301.122,301.119,24.0,subPlot_new_all_165.mp4,299,301,3,-0.003,0,0,True,28,64,2,1.0,1.6786,17863,59192,0.3018,18032,92,15000,1034027008,64,1
fpsstream_000008,state_at_event,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,It is lowered to his chest,C,4.0,1.0,query,431.492,432,600,False,0.0,B,B,C,"['It is raised to cover his head', 'It is lowered to his hips', 'It is lowered to his chest', 'It is drawn back', 'None of the above']",2,0.6342,True,fpsbench_000008,late,0.7226,428.492,435.499,431.492,25.0,subPlot_new_all_56.mp4,429,431,3,-4.007,0,0,True,28,64,2,0.9286,1.3929,26703,84672,0.3154,26852,137,15000,1539801088,64,1
fpsstream_000009,repetitive_motion,How many rotations does the gymnast do?,4,C,7.0,1.0,query,158.623,159,600,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.3675,True,fpsbench_000009,early,0.2561,151.623,159.623,158.623,24.0,order_13.mp4,152,158,7,-1.0,0,0,True,28,57,4,1.0,4.0,11047,31164,0.3545,11172,57,15000,0,64,1
fpsstream_000010,action_order,What is the order of the actions by the player holding the ball in the video?,"Cross over, cross over, between the legs cross over, drive, layup",B,5.0,1.0,query,250.973,251,600,False,0.0,C,C,B,"['Cross over, between the legs, cross over, drive, layup', 'Cross over, cross over, between the legs cross over, drive, layup', 'between the legs cross over, cross over, cross over, drive, layup', 'cross over, drive, between the legs cross over, cross over, layup', 'None of the above']",2,0.6566,True,fpsbench_000010,middle,0.4124,244.973,250.973,250.973,30.0,order_113.mp4,245,250,6,0.0,0,0,True,28,64,3,1.0,3.0,15430,49196,0.3136,15484,79,15000,887914496,64,1
fpsstream_000011,instance_count,How many times does the audience member hit the blue thundersticks against each other?,6,D,25.0,1.0,query,428.358,429,600,False,0.0,A,A,D,"['3', '4', '5', '6', 'None of the above']",2,0.9422,True,fpsbench_000011,late,0.7134,417.358,432.358,428.358,25.0,subPlot_new_all_187.mp4,418,428,11,-4.0,0,0,True,28,64,3,1.0,2.0357,20997,84084,0.2497,21168,108,15000,1213857792,64,1
fpsstream_000012,blink_and_miss,What direction was the jetski traveling before being occluded by the big wave?,Left,A,7.0,1.0,query,97.928,98,600,False,0.0,B,B,A,"['Left', 'Right', 'Straight', 'Backward', 'None of the above']",2,0.2564,True,fpsbench_000012,early,0.1551,91.928,99.054,97.928,25.0,subPlot_new_all_88.mp4,92,97,6,-1.126,0,0,True,28,32,2,1.0,2.0,6219,19208,0.3238,6272,32,15000,0,64,1
fpsstream_000013,state_at_event,What is the motion of the fighter's left hand when he kicks for the first time?,He swings his hand downward,C,5.0,1.0,query,284.637,285,600,False,0.0,B,B,C,"['He swings his hand upward', 'He swings his hand out to the side', 'He swings his hand downward', 'He swings his hand inward', 'None of the above']",2,0.6328,True,fpsbench_000013,middle,0.4757,281.637,289.645,284.637,25.0,subPlot_new_all_52.mp4,282,284,3,-5.008,0,0,True,28,64,2,1.0,1.5,17085,55860,0.3059,17248,88,15000,989069312,64,1
fpsstream_000014,fine_grained_motion,Which foot did the player use to pass the ball to their teammate?,Right,B,15.0,1.0,query,506.859,507,600,False,100.0,B,B,B,"['Left', 'Right', 'They did not pass', 'Head', 'None of the above']",2,0.5518,True,fpsbench_000014,late,0.8432,500.859,506.859,506.859,25.0,subPlot_new_all_7.mp4,501,506,6,0.0,0,0,True,28,64,2,0.7857,1.2857,29746,99372,0.2993,29792,152,15000,1708392448,64,1
fpsstream_000015,repetitive_motion,How many times does the person clap?,14,D,7.0,1.0,query,129.415,130,600,False,0.0,C,C,D,"['10', '12', '8', '14', 'None of the above']",2,0.3306,True,fpsbench_000015,early,0.2091,124.415,129.415,129.415,30.0,order_105.mp4,125,129,5,0.0,0,0,True,28,40,3,1.0,3.0,7646,25480,0.3001,7840,40,15000,0,64,1
fpsstream_000016,fine_grained_motion,How did the player in white near the goal strike the ball?,With their head,D,5.0,1.0,query,243.741,244,600,False,0.0,B,B,D,"['With their left foot', 'With their right foot', 'With their chest', 'With their head', 'None of the above']",2,1.1506,True,fpsbench_000016,middle,0.4016,237.741,245.741,243.741,25.0,order_69.mp4,238,243,6,-2.0,0,0,True,28,64,4,1.0,3.3571,14918,47824,0.3119,15092,77,15000,865435648,64,1
fpsstream_000017,repetitive_motion,How many times does the woman spin?,5,C,5.0,1.0,query,464.761,465,600,False,0.0,A,A,C,"['3', '4', '5', '6', 'None of the above']",2,0.7645,True,fpsbench_000017,late,0.7757,460.761,466.761,464.761,25.0,movie101_26.mp4,461,464,4,-2.0,0,0,True,28,64,3,0.9643,1.75,34588,91140,0.3795,34692,177,15000,1989378048,64,1
fpsstream_000018,state_at_event,What is the motion of the fighter's left hand when he kicks the first time?,He swings his hand out to the side,B,5.0,1.0,query,159.351,160,600,False,100.0,B,B,B,"['He swings his hand upward', 'He swings his hand out to the side', 'He swings his hand downward', 'He swings his hand inward', 'None of the above']",2,0.4665,True,fpsbench_000018,early,0.2637,156.351,163.358,159.351,30.0,order_18.mp4,157,159,3,-4.007,0,0,True,28,45,3,1.0,3.0,8667,31360,0.2764,8820,45,15000,0,64,1
fpsstream_000019,fine_grained_motion,Which action is not done by the man on stage?,Blink with one eye,D,7.0,1.0,query,276.852,277,600,False,0.0,B,B,D,"['Blink with both eyes', 'Shake his head', 'Point at himself', 'Blink with one eye', 'None of the above']",2,0.7432,True,fpsbench_000019,middle,0.4495,263.852,276.865,276.852,30.0,count_68.mp4,264,276,13,-0.013,0,0,True,28,64,4,1.0,2.8214,16340,54292,0.301,16464,84,15000,944111616,64,1
fpsstream_000020,state_at_event,What is the motion of the fighter's left hand when he kicks the first time?,He swings his hand downward,C,6.0,1.0,query,516.366,517,600,False,100.0,C,C,C,"['He swings his hand upward', 'He swings his hand out to the side', 'He swings his hand downward', 'He swings his hand inward', 'None of the above']",2,0.6153,True,fpsbench_000020,late,0.8636,510.366,519.375,516.366,30.0,order_346.mp4,511,516,6,-3.009,0,0,True,28,64,3,1.0,2.4286,21893,101332,0.2161,21952,112,15000,1258815488,64,1
fpsstream_000021,state_at_event,"When the boxer dodges to his right, how does his left hand move?",He swings his hand downward,C,5.0,1.0,query,147.292,148,600,False,0.0,B,B,C,"['He swings his hand upward', 'He swings his hand out to the side', 'He swings his hand downward', 'He swings his hand inward', 'None of the above']",2,0.3358,True,fpsbench_000021,early,0.2421,144.292,148.296,147.292,25.0,subPlot_new_all_142.mp4,145,147,3,-1.004,0,0,True,28,53,2,1.0,2.0,10374,29008,0.3576,10388,53,15000,0,64,1
fpsstream_000022,instance_count,How many dribbles are made in this possession?,1,B,7.0,1.0,query,301.821,302,600,False,0.0,A,A,B,"['0', '1', '2', '3', 'None of the above']",2,0.6265,True,fpsbench_000022,middle,0.5056,299.821,306.821,301.821,25.0,subPlot_new_all_112.mp4,300,301,2,-5.0,0,0,True,28,64,2,1.0,1.9286,20220,59192,0.3416,20384,104,15000,1168900096,64,1
fpsstream_000023,action_order,What is the order of actions in this video?,"Dribble, Dribble, Crossover, Dribble, Dribble, Shoot",A,9.0,1.0,query,496.475,497,600,False,0.0,C,C,A,"['Dribble, Dribble, Crossover, Dribble, Dribble, Shoot', 'Cross over, Dribble, Dribble, Dribble, Dribble, Shoot', 'Dribble, Cross over, Dribble, Dribble, Dribble, Shoot', 'Dribble, Dribble, Dribble, Crossover, Shoot', 'None of the above']",2,0.6549,True,fpsbench_000023,late,0.8254,489.475,496.475,496.475,25.0,subPlot_new_all_175.mp4,490,496,7,0.0,0,0,True,28,64,3,0.5357,0.9286,25246,97412,0.2592,25284,129,15000,1449885696,64,1
fpsstream_000024,repetitive_motion,How many passes are made?,4,C,12.0,1.0,query,121.114,122,600,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.3168,True,fpsbench_000024,early,0.1941,115.114,122.114,121.114,25.0,order_51.mp4,116,121,6,-1.0,0,0,True,28,48,3,1.0,3.0,9314,23912,0.3895,9408,48,15000,0,64,1
fpsstream_000025,blink_and_miss,Does the drummer hit the crash cymbal on his left?,"Yes, just once",A,7.0,1.0,query,258.385,259,600,False,0.0,B,B,A,"['Yes, just once', 'No', 'Yes, multiple times', 'There is no crash cymbal', 'None of the above']",2,0.2656,True,fpsbench_000025,middle,0.4316,256.385,262.391,258.385,30.0,surveil_28.mp4,257,258,2,-4.006,0,0,True,28,11,2,1.0,2.0,2076,50764,0.0409,2156,11,15000,0,64,1
fpsstream_000026,state_at_event,"How does the drummer move his head, if at all, when he hits the crash cymbal?","He moves his head backwards, then forwards",C,6.0,1.0,query,486.658,487,600,False,0.0,D,D,C,"['He nods', 'He shakes his head', 'He moves his head backwards, then forwards', 'He does not move his head', 'None of the above']",2,0.261,True,fpsbench_000026,late,0.8164,481.658,491.658,486.658,30.0,surveil_0.mp4,482,486,5,-5.0,0,0,True,28,34,2,1.0,2.0,6521,95452,0.0683,6664,34,15000,0,64,1
fpsstream_000027,repetitive_motion,How many hops does the gummy bear make?,6,C,7.0,1.0,query,116.388,117,600,False,0.0,A,A,C,"['4', '5', '6', '7', 'None of the above']",2,0.2725,True,fpsbench_000027,early,0.1889,112.388,117.388,116.388,25.0,subPlot_new_all_167.mp4,113,116,4,-1.0,0,0,True,28,32,3,1.0,3.0,6093,22932,0.2657,6272,32,15000,0,64,1
