video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_1,Object Perception,What logos are visible in the background as players and referees walk towards the center of the football field?,"['FIFA and La Liga.', 'UEFA and La Liga.', 'Bundesliga and La Liga.', 'Aeromexico and La Liga.']",Aeromexico and La Liga.,D,B) UEFA and La Liga.,B,0.0,4.0,5,129,1.0,False,466,980,0.4755,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_2,Causal Reasoning,Why does the player wearing the number nine red and blue jersey celebrate?,"['He saved a goal.', 'He received a pass.', 'He scored a goal.', 'He won a free kick.']",He scored a goal.,C,C) He scored a goal.,C,100.0,53.0,54,129,1.0,False,3313,10584,0.313,3528,18,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_4,Attribute Perception,What color is the goalie's uniform?,"['Blue.', 'Red.', 'White.', 'Yellow.']",Yellow.,D,D) Yellow.,D,100.0,80.0,81,129,1.0,False,4858,15876,0.306,5096,26,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_3,Text-Rich Understanding,What logo is seen on the jersey of the player covering his mouth?,"['Apple.', 'Google.', 'Adidas.', 'Spotify.']",Spotify.,D,D) Spotify.,D,100.0,82.0,83,129,1.0,False,5022,16268,0.3087,5292,27,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_5,Attribute Perception,"What is the color of the cooler labeled ""PRIME"" near the team bench?","['Blue.', 'Yellow.', 'Green.', 'Red.']",Red.,D,D) Red.,D,100.0,128.0,129,129,1.0,False,7029,25284,0.278,7448,38,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_1,Object Perception,What is the number on the back of MAJER's jersey?,"['7.', '10.', '13.', '16.']",7.,A,D) 16.,D,0.0,10.0,11,316,1.0,False,710,2156,0.3293,784,4,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_2,Event Understanding,What event occurred just now?,"['A penalty kick.', 'A free kick.', 'A goal celebration.', 'A corner kick.']",A penalty kick.,A,A) A penalty kick.,A,100.0,19.0,20,316,1.0,False,1179,3920,0.3008,1372,7,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_3,Action Perception,What is the goalkeeper doing as the player takes the penalty shot?,"['Standing still.', 'Diving to his right.', 'Running towards the ball.', 'Waving his hands.']",Diving to his right.,B,B) Diving to his right.,B,100.0,112.0,113,316,1.0,False,6422,22148,0.29,6664,34,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_4,Causal Reasoning,Why did the player celebrate by clenching his fists and bending his head forward?,"['He just scored a penalty kick.', 'He blocked a shot.', 'He made a successful pass.', 'He received a yellow card.']",He just scored a penalty kick.,A,A) He just scored a penalty kick.,A,100.0,211.0,212,316,1.0,False,12278,41552,0.2955,12544,64,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_5,Text-Rich Understanding,What is the current score shown on the scoreboard?,"['Croatia 3 - 2 Brazil.', 'Croatia 4 - 2 Brazil.', 'Croatia 4 - 3 Brazil.', 'Croatia 5 - 2 Brazil.']",Croatia 4 - 2 Brazil.,B,A) Croatia 3 - 2 Brazil.,A,0.0,315.0,316,316,1.0,False,18320,61936,0.2958,18620,95,15000,228802560,64,1
