video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000749,speed_recognition,How does the speed of the car change throughout the video?,The car stays at a constant speed and then slows down,C,6.0,1.0,query,95.317,96,600,False,0.0,D,D,C,"['The car stays at a constant speed', 'The car slows down', 'The car stays at a constant speed and then slows down', 'The car speeds up', 'None of the above']",2,0.4017,True,fpsbench_000753,early,0.1461,86.317,95.317,95.317,25.0,subPlot_new_all_191.mp4,87,95,9,0.0,0,0,True,28,33,4,1.0,4.0,6435,18816,0.342,6468,33,15000,0,64,1
fpsstream_000750,speed_recognition,How does the speed of the Drums hitting the drums/cymbals change throughout the video?,The Drums stays at a constant speed and then paces up,C,8.0,1.0,query,357.09,358,600,False,0.0,A,A,C,"[""The Drums's stays at a constant speed of hitting the cymbals and drums"", 'The Drums slows down', 'The Drums stays at a constant speed and then paces up', 'The Drums speeds up', 'None of the above']",2,0.7974,True,fpsbench_000754,middle,0.589,348.09,357.125,357.09,25.0,subPlot_new_all_77.mp4,349,357,9,-0.035,0,0,True,28,64,2,0.9643,1.75,16196,70168,0.2308,16268,83,15000,932872192,64,1
fpsstream_000751,instance_count,How many punches did the boy with the green hat throw?,5,D,7.0,1.0,query,496.466,497,600,False,0.0,C,C,D,"['2', '3', '4', '5', 'None of the above']",2,0.6827,True,fpsbench_000755,late,0.8263,492.466,496.466,496.466,24.0,subPlot_new_all_59.mp4,493,496,4,0.0,0,0,True,28,64,3,1.0,2.5714,28066,97412,0.2881,28224,144,15000,1618477056,64,1
fpsstream_000752,instance_count,How many attacks did the boy with the green hat execute?,4,C,6.0,1.0,query,90.179,91,600,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.2236,True,fpsbench_000756,early,0.1446,86.179,90.179,90.179,30.0,surveil_191.mp4,87,90,4,0.0,0,0,True,28,6,3,1.0,3.0,1074,17836,0.0602,1176,6,15000,0,64,1
fpsstream_000753,instance_count,How many hits did the boy with the green hat land?,4,C,6.0,1.0,query,280.933,281,600,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.6593,True,fpsbench_000757,middle,0.4638,275.933,280.933,280.933,25.0,subPlot_new_all_95.mp4,276,280,5,0.0,0,0,True,28,64,2,1.0,2.0,17573,55076,0.3191,17640,90,15000,1011548160,64,1
fpsstream_000754,instance_count,How many hits did the boy with the green hat land?,5,D,6.0,1.0,query,489.255,490,600,False,0.0,A,A,D,"['2', '3', '4', '5', 'None of the above']",2,0.599,True,fpsbench_000758,late,0.8142,485.255,489.255,489.255,25.0,subPlot_new_all_167.mp4,486,489,4,0.0,0,0,True,28,64,2,1.0,1.9643,25864,96040,0.2693,25872,132,15000,1483603968,64,1
fpsstream_000755,instance_count,How many times did the team in white pass?,3,B,8.0,1.0,query,119.526,120,600,False,100.0,B,B,B,"['2', '3', '4', '5', 'None of the above']",2,0.3532,True,fpsbench_000759,early,0.1911,113.526,119.526,119.526,24.0,subPlot_new_all_54.mp4,114,119,6,0.0,0,0,True,28,34,3,1.0,3.0,6653,23520,0.2829,6664,34,15000,0,64,1
fpsstream_000756,instance_count,How many passes occured in this clip?,4,C,8.0,1.0,query,274.49,275,600,False,0.0,A,A,C,"['2', '3', '4', '5', 'None of the above']",2,0.4468,True,fpsbench_000760,middle,0.4483,264.49,274.49,274.49,25.0,subPlot_new_all_144.mp4,265,274,10,0.0,0,0,True,28,64,3,0.9286,1.8214,14591,53900,0.2707,14700,75,15000,0,64,1
fpsstream_000757,instance_count,How many times did the ball hit the floor?,3,B,7.0,1.0,query,500.629,501,600,False,0.0,A,A,B,"['2', '3', '4', '5', 'None of the above']",2,0.6444,True,fpsbench_000761,late,0.8316,490.629,500.629,500.629,25.0,subPlot_new_all_113.mp4,491,500,10,0.0,0,0,True,28,64,3,1.0,2.1071,30899,98196,0.3147,30968,158,15000,1775828992,64,1
fpsstream_000758,instance_count,How many times was the ball dribbled?,5,D,5.0,1.0,query,180.973,181,600,False,0.0,E,E,D,"['2', '3', '4', '5', 'None of the above']",2,0.3348,True,fpsbench_000762,early,0.2946,174.973,180.979,180.973,30.0,order_101.mp4,175,180,6,-0.006,0,0,True,28,55,4,1.0,4.0,10684,35476,0.3012,10780,55,15000,0,64,1
fpsstream_000759,instance_count,How many cars pass by the group?,3,C,4.0,1.0,query,320.267,321,600,False,0.0,E,E,C,"['1', '2', '3', '4', 'None of the above']",2,0.6579,True,fpsbench_000763,middle,0.5291,314.267,320.273,320.267,25.0,subPlot_new_all_89.mp4,315,320,6,-0.006,0,0,True,28,64,3,1.0,2.0,23307,62916,0.3704,23324,119,15000,1337491456,64,1
fpsstream_000760,instance_count,How many times did the dog on the right shake its paw?,8,D,5.0,1.0,query,510.474,511,600,False,0.0,A,A,D,"['3', '4', '6', '8', 'None of the above']",2,0.6853,True,fpsbench_000764,late,0.8493,504.474,510.48,510.474,30.0,order_319.mp4,505,510,6,-0.006,0,0,True,28,64,2,0.9286,1.5,27513,100156,0.2747,27636,141,15000,1584758784,64,1
fpsstream_000761,instance_count,How many times did this dog on the left shake its paw?,5,D,7.0,1.0,query,76.822,77,600,False,0.0,B,B,D,"['2', '3', '4', '5', 'None of the above']",2,0.2617,True,fpsbench_000765,early,0.1192,70.822,76.828,76.822,25.0,movie101_5.mp4,71,76,6,-0.006,0,0,True,28,20,3,1.0,3.0,3834,15092,0.254,3920,20,15000,0,64,1
