video_id,question,answer,pred_answer,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The person is chopping vegetables on a wooden cutting board.,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The flatbread is being filled with the chopped vegetables.,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,stove,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video begins with a view of a kitchen, focusing on a person preparing food. The kitchen is equipped with modern appliances, including a stainless steel oven and a dishwasher. The person is chopping onions on a wooden cutting board, with various vegetables and ingredients around them, such as a bowl of mixed vegetables, a bottle of oil, and a container of baby carrots. The person uses a large knife to chop the onions and then transfers the chopped onions into a bowl.The scene transitions to the person continuing to chop vegetables on the same wooden cutting board. The kitchen counter is cluttered with various items, including a bowl of mixed vegetables, a bottle of oil, and a container of baby carrots. The person uses a large knife to chop the vegetables, including red bell peppers and tomatoes. The person then transfers the chopped vegetables into a bowl.The video continues with the person transferring the chopped vegetables into a bowl. The kitchen counter remains cluttered with various items, including a bowl of mixed vegetables, a bottle of oil, and a container of baby carrots. The person uses a large knife to chop the vegetables, including red bell peppers and tomatoes. The person then transfers the chopped vegetables into a bowl.The video progresses with the person transferring the chopped vegetables into a bowl. The kitchen",39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes.,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet.",39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,"Yes, there is an occurrence of food being wrapped.",39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,39065,58800,0.6644,39200,200,15000,2247884800,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location in the video clip is a kitchen.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The clip shows the preparation of a meal, including chopping vegetables, cooking meat, and assembling tacos.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person in the video uses a large knife to chop garlic and a fork to handle the food.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a dishwasher.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,"The person interacts with the dishwasher, opening it to place dishes inside.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is adjusting the stove's temperature by using the control knobs.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,The person is likely organizing or retrieving kitchen utensils or ingredients from the drawers.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the clip show any cooking taking place?,"No direct cooking, only preparation.","Yes, the clip shows cooking taking place as the person is seen placing tortillas on a grill pan with a mixture of beans and meat, and later placing a pan with a red sauce on the stove.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person successfully cut the vegetables?,Yes.,"Yes, the person successfully cuts the vegetables into smaller pieces.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Was the heat regulator adjusted to a specific level?,"Yes, it was operated.","Yes, the heat regulator was adjusted to a specific level, as indicated by the digital display on the stove showing ""2:50"" and ""2.5"".",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the person use any other kitchen tools besides knives?,Heat regulator only mentioned.,"Yes, the person used a grater and a spatula in addition to knives.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before wrapping the sauce in flat bread?,No,No.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I cut vegetables before operating the heat regulator on the cooker?,Yes,"Yes, you cut vegetables before operating the heat regulator on the cooker.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the drawer opened before the vegetables are chopped?,No,Yes.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does wrapping sauce in flat bread happen after cutting vegetables?,Yes,"Yes, wrapping sauce in flat bread happens after cutting vegetables.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I open the cabinet before chopping the vegetables?,No,"No, you should open the cabinet after chopping the vegetables.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before wrapping the sauce in flat bread?,Chopping vegetables,The sauce is scooped into tortillas.,71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What takes place right before operating the heat regulator of the cooker?,Cutting vegetables with knives,"Right before operating the heat regulator of the cooker, the person is seen holding a spatula and a pot of chili, preparing to cook the chili.",71492,111720,0.6399,71736,366,15000,4113629184,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What setting is shown in this video clip?,A kitchen.,The video clip shows a kitchen setting.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with tomatoes?,Cutting tomatoes.,The tomatoes are being sliced into smaller pieces.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an electronic device being used in this scene?,"Yes, a mobile phone.",Yes.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the sauce being utilized in the cooking process?,By spreading it on flatbreads.,"The sauce is being used to fill the tortillas, which are then placed on a baking tray to be cooked.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity is occurring aside from food preparation?,Operating a mobile phone.,"Aside from food preparation, the person is seen interacting with a smartphone, possibly taking a photo or video of the food.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What manual task is depicted involving food items?,"Cutting vegetables, specifically tomatoes.",The video shows the manual task of slicing a tomato on a wooden cutting board.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is someone chopping vegetables in the video?,Yes.,Yes.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the sauce being poured into a bowl?,"No, it's being rolled in flatbreads.","No, the sauce is being poured into a pan.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is a cooking activity happening in a bedroom?,"No, it's happening in a kitchen.",no,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the frame capture the act of grilling or frying?,No.,"The frame captures the act of grilling or frying, as the person is seen placing the tortillas on the grill pan and using a spatula to handle them.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,"In the video, are vegetables cut before the heat regulator is operated?",Yes,"Yes, vegetables are cut before the heat regulator is operated.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does rolling sauce in flatbreads occur after cutting tomatoes?,Yes,"Yes, rolling sauce in flatbreads occurs after cutting tomatoes.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the opening of the drawers happen before using the mobile phone?,No,"No, the opening of the drawers happens after using the mobile phone.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the heat regulator operated before rolling sauce in flatbreads?,No,Yes.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs just before rolling sauce in flatbreads?,Cutting tomatoes with a knife.,"Just before rolling sauce in flatbreads, the person scoops the sauce with a slotted spoon and places it into a stack of flatbreads.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before operating the heat regulator?,Cutting vegetables with knives.,"Just before operating the heat regulator, the person is seen holding a spatula and a pot of food, preparing to cook.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is done just before opening drawers in the kitchen?,Operating the heat regulator of the cooker.,"Just before opening drawers in the kitchen, a hand is seen holding a blue container and a white spatula, and a red container is placed on the counter.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What activity occurs just before operating a mobile phone?,Rolling sauce in flatbreads.,"Just before operating a mobile phone, the person is seen placing a red lid on a container and then picking up a blue container from a shelf.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the cabinet opened before the vegetables are chopped?,No,No.,107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does operating the heat regulator happen after chopping vegetables?,Yes,"Yes, operating the heat regulator happens after chopping vegetables.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is wrapping sauce in flat bread before cutting vegetables?,No,"No, wrapping sauce in flat bread is not mentioned before cutting vegetables. The video shows the preparation of a dish involving cutting vegetables and wrapping them in flat bread.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Do I use the mobile phone before opening drawers?,Yes,"No, you use the mobile phone after opening drawers.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What happens just before the cabinet is opened in the video?,Chopping vegetables,"The person is seen holding a red container and a blue spatula, preparing to open a cabinet.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What occurs immediately before operating the heat regulator?,Cutting vegetables with knives,"Immediately before operating the heat regulator, the person is seen holding a spatula and a pot of food, indicating they are about to cook or adjust the heat.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What do I do right before rolling sauce in flat breads?,Cutting tomatoes,"Before rolling sauce in flat breads, you typically prepare the flatbreads by laying them out flat and ensuring they are evenly spaced. You may also have a filling ready, which in this case appears to be a mixture of diced tomatoes, onions, and possibly other vegetables or meats. You would place a portion of the filling onto the center of each flatbread, fold the sides over the filling, and then roll them tightly to form burritos or wraps. The video shows the person preparing to roll the sauce in flatbreads, with the flatbreads laid out and the filling ready to be added.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What action takes place just before using the mobile phone?,Rolling sauce in flat breads,"Just before using the mobile phone, the person is seen placing a red lid on a container and then picking up a blue container from a shelf.",107624,164640,0.6537,107996,551,15000,6192922624,64,1
