file	duration_sec	duration_hms	width	height	fps
surveil_176.mp4	32550.1	09:02:30	320	240	30.00
needle_128.mp4	8332.9	02:18:52	720	540	25.00
order_160.mp4	8198.6	02:16:38	720	540	29.97
order_171.mp4	8177.4	02:16:17	720	540	25.00
needle_136.mp4	7979.5	02:12:59	720	540	29.97
count_205.mp4	7788.1	02:09:48	720	540	30.00
order_151.mp4	7590.7	02:06:30	720	540	29.97
count_216.mp4	7486.6	02:04:46	720	540	30.00
needle_133.mp4	7421.9	02:03:41	720	540	25.00
count_235.mp4	7379.0	02:02:59	720	540	29.97
needle_125.mp4	7369.9	02:02:49	720	540	25.00
order_228.mp4	7200.1	02:00:00	720	540	30.00
order_276.mp4	7200.0	02:00:00	720	540	30.00
count_201.mp4	7125.5	01:58:45	720	540	30.00
needle_141.mp4	7054.3	01:57:34	720	540	25.00
count_226.mp4	7044.1	01:57:24	720	540	29.97
subPlot_new_all_166.mp4	7023.3	01:57:03	1906	666	24.00
count_229.mp4	6980.3	01:56:20	720	540	30.00
needle_123.mp4	6960.9	01:56:00	720	540	29.97
order_289.mp4	6936.4	01:55:36	720	540	30.00
subPlot_new_all_158.mp4	6586.4	01:49:46	1920	790	25.00
needle_115.mp4	6559.8	01:49:19	720	540	29.97
needle_148.mp4	6547.0	01:49:06	720	540	29.97
order_172.mp4	6510.9	01:48:30	720	540	29.97
order_315.mp4	6429.0	01:47:09	720	540	30.00
count_232.mp4	6407.4	01:46:47	720	540	29.97
needle_144.mp4	6380.9	01:46:20	720	540	25.00
order_260.mp4	6236.1	01:43:56	720	540	30.00
subPlot_new_all_124.mp4	6231.7	01:43:51	1920	1030	24.00
order_140.mp4	6191.5	01:43:11	720	540	29.97
subPlot_new_all_8.mp4	6177.9	01:42:57	1920	846	25.00
order_322.mp4	6126.8	01:42:06	720	540	30.00
subPlot_new_all_30.mp4	6117.2	01:41:57	1906	810	25.00
order_209.mp4	6071.7	01:41:11	720	540	29.97
subPlot_new_all_21.mp4	6055.3	01:40:55	1920	798	25.00
subPlot_new_all_45.mp4	6030.6	01:40:30	1920	792	25.00
needle_102.mp4	6028.7	01:40:28	720	540	29.97
needle_126.mp4	6008.1	01:40:08	720	540	29.97
needle_109.mp4	6005.2	01:40:05	720	540	30.00
subPlot_new_all_25.mp4	5978.4	01:39:38	1906	864	25.00
order_164.mp4	5936.2	01:38:56	720	540	29.97
order_346.mp4	5786.9	01:36:26	720	540	29.97
subPlot_new_all_84.mp4	5713.2	01:35:13	1920	808	25.00
subPlot_new_all_126.mp4	5632.9	01:33:52	1920	750	25.00
needle_113.mp4	5604.4	01:33:24	720	540	29.97
needle_111.mp4	5487.7	01:31:27	720	540	25.00
subPlot_new_all_191.mp4	5348.2	01:29:08	1898	788	25.00
subPlot_new_all_37.mp4	5259.1	01:27:39	1920	810	24.00
subPlot_new_all_60.mp4	5113.7	01:25:13	1912	850	25.00
subPlot_new_all_95.mp4	4975.9	01:22:55	1894	780	25.00
surveil_100.mp4	4730.0	01:18:50	320	240	30.00
subPlot_new_all_98.mp4	4562.9	01:16:02	1906	810	25.00
