id,stream_id,question_text,answer,task_category,min_fps,source_url,clip_start_sec,clip_end_sec,haystack_file,haystack_subset,haystack_window_start_sec,haystack_window_duration_sec,insertion_offset_sec,position_bin,stream_needle_start_sec,stream_needle_end_sec,stream_cert_start_sec,stream_cert_end_sec,stream_query_time_sec
fpsbench_000000,fpsstream_000000,How many dribbles does the player make?,A,repetitive_motion,7,https://www.youtube.com/watch?v=PhR5Dnuu_pg,100.0,106.0,order_29.mp4,order,75.224,593.994,149.817,early,149.817,155.823,149.817,153.817,153.817
fpsbench_000001,fpsstream_000001,How many times does the person in white and blue shirt move his fist?,B,repetitive_motion,20,https://www.youtube.com/watch?v=I6DqZclDMnM,60.0,75.0,order_242.mp4,order,18.406,585.0,240.816,middle,240.816,255.816,243.816,247.816,247.816
fpsbench_000002,fpsstream_000002,How many times does the person clap in total?,D,instance_count,10,https://www.youtube.com/watch?v=8PjmOwHN6q0,202.0,217.0,subPlot_new_all_198.mp4,subPlot,204.373,585.0,470.81,late,470.81,485.81,473.81,480.81,480.81
fpsbench_000003,fpsstream_000003,How does the speed of the car change in this video,A,speed_recognition,7,https://www.youtube.com/watch?v=AuqtE7hDPBk,8.0,12.0,subPlot_new_all_92.mp4,subPlot,119.572,596.0,105.753,early,105.753,109.753,105.753,109.753,109.753
fpsbench_000004,fpsstream_000004,"What foot does the player shoot with, and does he score",B,fine_grained_motion,7,https://www.youtube.com/watch?v=HujsdX1HYA8,37.0,41.0,order_74.mp4,order,87.4,596.0,240.368,middle,240.368,244.368,241.368,243.368,243.368
fpsbench_000005,fpsstream_000005,How many times does the dog jump on the floor in this video after getting off the couch?,B,repetitive_motion,7,https://www.youtube.com/watch?v=r4nY1NKY0eg,32.0,36.0,movie101_89.mp4,movie101,35.974,595.996,454.671,late,454.671,458.675,454.671,458.671,458.671
fpsbench_000006,fpsstream_000006,How many times does player #45 touch the ball with his right foot?,C,instance_count,16,https://www.youtube.com/watch?v=HujsdX1HYA8,35.0,40.0,subPlot_new_all_59.mp4,subPlot,19.995,595.0,118.902,early,118.902,123.902,118.902,123.902,123.902
fpsbench_000007,fpsstream_000007,What is the order of the actions by the player holding the ball in the video?,B,action_order,8,https://www.youtube.com/watch?v=sfOxnatphcM,65.0,68.0,subPlot_new_all_165.mp4,subPlot,108.337,596.997,298.119,middle,298.119,301.122,298.119,301.119,301.119
fpsbench_000008,fpsstream_000008,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,C,state_at_event,4,https://www.youtube.com/watch?v=Icq7igCMXQY,33.0,40.0,subPlot_new_all_56.mp4,subPlot,10.66,592.993,428.492,late,428.492,435.499,429.492,431.492,431.492
fpsbench_000009,fpsstream_000009,How many rotations does the gymnast do?,C,repetitive_motion,7,https://www.youtube.com/watch?v=WZKzqfGJZfQ,18.0,26.0,order_13.mp4,order,18.905,592.0,151.623,early,151.623,159.623,155.623,158.623,158.623
