video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_1,Object Perception,What logos are visible in the background as players and referees walk towards the center of the football field?,"['FIFA and La Liga.', 'UEFA and La Liga.', 'Bundesliga and La Liga.', 'Aeromexico and La Liga.']",Aeromexico and La Liga.,D,D) Aeromexico and La Liga.,D,100.0,4.0,5,129,1.0,False,612,980,0.6245,784,4,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_2,Causal Reasoning,Why does the player wearing the number nine red and blue jersey celebrate?,"['He saved a goal.', 'He received a pass.', 'He scored a goal.', 'He won a free kick.']",He scored a goal.,C,C) He scored a goal.,C,100.0,53.0,54,129,1.0,False,4559,10584,0.4307,4900,25,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_4,Attribute Perception,What color is the goalie's uniform?,"['Blue.', 'Red.', 'White.', 'Yellow.']",Yellow.,D,D) Yellow.,D,100.0,80.0,81,129,1.0,False,6771,15876,0.4265,7252,37,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_3,Text-Rich Understanding,What logo is seen on the jersey of the player covering his mouth?,"['Apple.', 'Google.', 'Adidas.', 'Spotify.']",Spotify.,D,D) Spotify.,D,100.0,82.0,83,129,1.0,False,6985,16268,0.4294,7644,39,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_5,Attribute Perception,"What is the color of the cooler labeled ""PRIME"" near the team bench?","['Blue.', 'Yellow.', 'Green.', 'Red.']",Red.,D,D).,D,100.0,128.0,129,129,1.0,False,9975,25284,0.3945,10780,55,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_1,Object Perception,What is the number on the back of MAJER's jersey?,"['7.', '10.', '13.', '16.']",7.,A,D).,D,0.0,10.0,11,316,1.0,False,814,2156,0.3776,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_2,Event Understanding,What event occurred just now?,"['A penalty kick.', 'A free kick.', 'A goal celebration.', 'A corner kick.']",A penalty kick.,A,A) A penalty kick.,A,100.0,19.0,20,316,1.0,False,1486,3920,0.3791,1764,9,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_3,Action Perception,What is the goalkeeper doing as the player takes the penalty shot?,"['Standing still.', 'Diving to his right.', 'Running towards the ball.', 'Waving his hands.']",Diving to his right.,B,B) Diving to his right.,B,100.0,112.0,113,316,1.0,False,8627,22148,0.3895,9016,46,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_4,Causal Reasoning,Why did the player celebrate by clenching his fists and bending his head forward?,"['He just scored a penalty kick.', 'He blocked a shot.', 'He made a successful pass.', 'He received a yellow card.']",He just scored a penalty kick.,A,A) He just scored a penalty kick.,A,100.0,211.0,212,316,1.0,False,16387,41552,0.3944,16856,86,15000,966590464,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_5,Text-Rich Understanding,What is the current score shown on the scoreboard?,"['Croatia 3 - 2 Brazil.', 'Croatia 4 - 2 Brazil.', 'Croatia 4 - 3 Brazil.', 'Croatia 5 - 2 Brazil.']",Croatia 4 - 2 Brazil.,B,A) Croatia 3 - 2 Brazil.,A,0.0,315.0,316,316,1.0,False,24565,61936,0.3966,25088,128,15000,1438646272,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_1,Object Perception,What appears at the very beginning of the video?,"['A football match.', 'A logo of FC Barcelona.', 'A silver trophy.', 'A live concert.']",A logo of FC Barcelona.,B,B) A logo of FC Barcelona.,B,100.0,8.0,9,172,1.0,False,895,1764,0.5074,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_2,Spatial Understanding,What is the position relationship between the woman in a black dress and the woman in a white outfit?,"['They are standing side by side.', 'They are standing back to back.', 'The woman in black is in front of the woman in white.', 'The woman in white is holding the trophy.']",They are standing side by side.,A,D) The woman in white is holding the trophy.,D,0.0,20.0,21,172,1.0,False,1906,4116,0.4631,2156,11,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_3,Attribute Perception,What color is the goalkeeper's kit when standing in front of the goalposts?,"['Red.', 'Green.', 'Yellow.', 'Blue.']",Yellow.,C,C).,C,100.0,69.0,70,172,1.0,False,5634,13720,0.4106,6076,31,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_4,Object Perception,What advertisement is displayed on the red boards behind the goal?,"['AMBILIGHT TV.', 'NIKE.', 'ESTRELLA DAMM.', 'ADIDAS.']",ESTRELLA DAMM.,C,C) ESTRELLA DAMM.,C,100.0,123.0,124,172,1.0,False,9429,24304,0.388,9996,51,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_5,Action Perception,What are the two people in the video frame doing now?,"['handshaking.', 'Hugging.', 'High-fiving.', 'Fist bumping.']",handshaking.,A,A) handshaking.,A,100.0,171.0,172,172,1.0,False,13148,33712,0.39,13720,70,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_2,Causal Reasoning,Why are the players in green and white striving to intercept the ball?,"['They are warming up for the game.', 'They are practicing their defensive moves.', 'They are reacting to an offensive move toward the goal.', 'They are performing a choreographed play.']",They are reacting to an offensive move toward the goal.,C,C) They are reacting to an offensive move toward the goal.,C,100.0,19.0,20,221,1.0,False,1701,3920,0.4339,1764,9,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_1,Object Perception,What emblem appears at the beginning of the video?,"['An animal symbol.', 'A football club shield.', 'A national flag.', 'A corporate logo.']",A football club shield.,B,B) A football club shield.,B,100.0,20.0,21,221,1.0,False,1803,4116,0.438,1960,10,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_3,Text-Rich Understanding,What was the score and the position of the teams right now?,"['1-0, the team in blue and red is leading.', '2-0, the team in white is leading.', '2-0, the team in blue and red is leading.', '1-1, the teams are tied.']","2-0, the team in blue and red is leading.",C,"C) 2-0, the team in blue and red is leading.",C,100.0,64.0,65,221,1.0,False,5211,12740,0.409,5488,28,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_4,Event Understanding,What is the updated score after the player in number 11 scored a goal?,"['2-0.', '3-0.', '5-0.', '4-0.']",4-0.,D,A).,A,0.0,131.0,132,221,1.0,False,10010,25872,0.3869,10388,53,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_5,Attribute Perception,"What uniform does the player named ""JOAO CANCELO"" wear?","['Purple and white.', 'Red and blue striped.', 'Blue and yellow.', 'Green and black.']",Red and blue striped.,B,B) Red and blue striped.,B,100.0,220.0,221,221,1.0,False,17384,43316,0.4013,17836,91,15000,1022787584,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_1,Text-Rich Understanding,What name is written on the goalkeeper's bright green jersey?,"['NEUER.', 'PICKFORD.', 'DE GEA.', 'COURTOIS.']",PICKFORD.,B,B) PICKFORD.,B,100.0,14.0,15,444,1.0,False,1291,2940,0.4391,1372,7,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_2,Object Perception,What brand is visible on the player's white cleats?,"['Nike.', 'Puma.', 'Adidas.', 'Under Armour.']",Adidas.,C,C) Adidas.,C,100.0,18.0,19,444,1.0,False,1636,3724,0.4393,1764,9,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_3,Event Understanding,What is the outcome of the penalty kick just now?,"['The goalkeeper saves the ball.', 'The ball hits the post.', 'The ball goes over the crossbar.', 'The ball goes into the net.']",The ball goes over the crossbar.,C,D) The ball goes into the net.,D,0.0,147.0,148,444,1.0,False,10671,29008,0.3679,10976,56,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_4,Action Perception,What did the goalkeeper do during the penalty kick?,"['Stood still.', 'Dived to his left.', 'Dived to his right.', 'Ran towards the ball.']",Dived to his left.,B,C) Dived to his right.,C,0.0,273.0,274,444,1.0,False,19629,53704,0.3655,19992,102,15000,1146421248,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_5,Text-Rich Understanding,What number is on the back of the goalkeeper's kit who is preparing to dive for the penalty kick?,"['10.', '7.', '5.', '1.']",1.,D,D).,D,100.0,443.0,444,444,1.0,False,31214,87024,0.3587,31752,162,15000,1820786688,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_1,Action Perception,What action is the player in the white shirt with number 20 doing?,"['Walking on the field.', 'Preparing for a penalty kick.', 'Waving to the crowd.', 'Kneeling on the ground.']",Kneeling on the ground.,D,D) Kneeling on the ground.,D,100.0,14.0,15,426,1.0,False,882,2940,0.3,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_2,Object Perception,What brand is advertised on the boards behind the goal?,"['Adidas.', 'Nike.', 'Pepsi.', 'Kia Motors.']",Kia Motors.,D,D) Kia Motors.,D,100.0,145.0,146,426,1.0,False,9233,28616,0.3227,9408,48,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_3,Event Understanding,What is the crowd's reaction during the player's preparation for the penalty kick?,"['Celebrating wildly.', 'Leaving the stadium.', 'Booing the player.', 'Seemingly in prayer or anticipation.']",Seemingly in prayer or anticipation.,D,D) Seemingly in prayer or anticipation.,D,100.0,151.0,152,426,1.0,False,9792,29792,0.3287,9996,51,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_4,Action Perception,What is the player in the black jersey doing just now?,"['Raising both arms.', 'Moving away from the ball.', 'Running toward the crowd.', 'Bending down to adjust the football.']",Bending down to adjust the football.,D,D) Bending down to adjust the football.,D,100.0,293.0,294,426,1.0,False,19530,57624,0.3389,19796,101,15000,1135181824,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_5,Text-Rich Understanding,What is written on the back of the goalkeeper's jersey?,"['SMITH 10.', 'JONES 15.', 'SCHEMEICHEL 1.', 'MARTIN 8.']",SCHEMEICHEL 1.,C,C) SCHEMEICHEL 1.,C,100.0,425.0,426,426,1.0,False,28983,83496,0.3471,29400,150,15000,1685913600,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_1,Event Understanding,What is happening in the penalty area of the football field?,"['A player is preparing to take a penalty kick.', 'A player is scoring a goal.', 'A fight is breaking out.', 'The referee is ending the game.']",A player is preparing to take a penalty kick.,A,A) A player is preparing to take a penalty kick.,A,100.0,16.0,17,397,1.0,False,1119,3332,0.3358,1176,6,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_2,Event Understanding,What happens after the penalty kick is taken?,"['The penalty kick was saved by the goalkeeper.', 'The goalkeeper catches the ball.', 'The ball goes into the bottom left of the net.', 'The ball is deflected by a defender.']",The penalty kick was saved by the goalkeeper.,A,C) The ball goes into the bottom left of the net.,C,0.0,135.0,136,397,1.0,False,9683,26656,0.3633,9800,50,15000,0,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_4,Event Understanding,What happens after the goalkeeper dives to his right?,"['The ball goes past the goalkeeper.', 'The goalkeeper catches the ball.', 'The player misses the goal.', 'The ball hits the post.']",The ball goes past the goalkeeper.,A,A) The ball goes past the goalkeeper.,A,100.0,258.0,259,397,1.0,False,18850,50764,0.3713,19012,97,15000,1090224128,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_3,Action Perception,What does the player in the white and light blue striped jersey do after running forward?,"['Passes the ball.', 'Stops running.', 'Celebrates.', 'Kicks the ball towards the goal.']",Kicks the ball towards the goal.,D,D) Kicks the ball towards the goal.,D,100.0,260.0,261,397,1.0,False,19028,51156,0.372,19208,98,15000,1101463552,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_5,Event Understanding,What event is taking place right now?,"['A soccer match celebration.', 'A concert.', 'A protest.', 'A graduation ceremony.']",A soccer match celebration.,A,A) A soccer match celebration.,A,100.0,396.0,397,397,1.0,False,29451,77812,0.3785,29792,152,15000,1708392448,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_1,Attribute Perception,What is the color and number of the football player's jersey who is preparing for a penalty kick?,"['Red, 10.', 'Blue, 14.', 'Black, 22.', 'White, 26.']","White, 26.",D,"D) White, 26.",D,100.0,5.0,6,257,1.0,False,526,1176,0.4473,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_2,Attribute Perception,What name and number are on the goalkeeper's jersey righ now?,"['COSTA, 26.', 'RONALDO, 7.', 'MESSI, 10.', 'DIOGO COSTA, 22.']","DIOGO COSTA, 22.",D,"D) DIOGO COSTA, 22.",D,100.0,14.0,15,257,1.0,False,1193,2940,0.4058,1372,7,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_3,Text-Rich Understanding,What advertisement is visible around the perimeter of the field right now?,"['""Airbnb"".', '""Expedia"".', '""Booking.com"".', '""TripAdvisor"".']","""Booking.com"".",C,"C) ""Booking.com"".",C,100.0,85.0,86,257,1.0,False,6629,16856,0.3933,6860,35,15000,0,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_4,Attribute Perception,What colors are present on the shirt of the fan holding the scarf?,"['Red with white trimming.', 'Green with red trimming.', 'Yellow with red trimming.', 'Red with green trimming.']",Red with green trimming.,D,D) Red with green trimming.,D,100.0,163.0,164,257,1.0,False,12013,32144,0.3737,12348,63,15000,0,64,1
