video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
COIN__1-arcrelDCQ,486,ASI,What does the person do before prepare meat,"['mix and pickle', 'string together', 'prepare seasonings and side dishes', 'roast ingredients']",prepare seasonings and side dishes,C,C) prepare seasonings and side dishes,C,100.0,46.0,47,47,1.0,False,288,9212,0.0313,392,2,15000,0,64,1
COIN__3AlMZFGwegE,490,ASI,What does the person do after install the SSD onto the hard disk tray,"['screw off the screws and sheetmetals and baffles on the both sides of the CD drive', 'install the screws and sheetmetals and baffles onto the hard disk tray', 'take out the laptop CD drive']",install the screws and sheetmetals and baffles onto the hard disk tray,B,B) install the screws and sheetmetals and baffles onto the hard disk,B,100.0,87.0,88,88,1.0,False,390,17248,0.0226,392,2,15000,0,64,1
COIN__8jRoZSWibM0,491,ASI,What does the person do after wipe screen again,"['remove the label', 'wipe screen', 'place label', 'paste protector on the screen']",remove the label,A,D) paste protector on the screen,D,0.0,105.0,106,106,1.0,False,419,20776,0.0202,588,3,15000,0,64,1
COIN__C4P8VCekA3Y,488,ASI,What does the person do before use sandpaper/metal to polish rubber near leak,"['look for leaks', 'put inner tube back', 'apply glue', 'paste patch']",look for leaks,A,A) look for leaks,A,100.0,31.0,32,32,1.0,False,347,6272,0.0553,392,2,15000,0,64,1
COIN__Hf2AisK1wHY,483,ASI,What does the person do after load the wheel,"['pump up the tire', 'unload the wheel', 'load the tire', 'load the inner tube']",pump up the tire,A,A) pump up the tire,A,100.0,136.0,137,137,1.0,False,477,26852,0.0178,588,3,15000,0,64,1
COIN__OyLTCe_FWrQ,494,ASI,What does the person do after load a new battery,"['remove the components of the fixed battery', 'restore the fixed battery components and the back cover', 'pick up the back cover of the phone with the cymbal', 'take down the old battery']",restore the fixed battery components and the back cover,B,B) restore the fixed battery components and the back cover,B,100.0,54.0,55,55,1.0,False,399,10780,0.037,588,3,15000,0,64,1
COIN__Q-uCII9Rtz0,495,ASI,What does the person do before unscrew the screws used to fix the screen,"['take out the battery', 'install the new screen', 'pull out the screen connector and remove the screen', 'reset and screw on the screws']",take out the battery,A,C) pull out the screen connector and remove the screen,C,0.0,45.0,46,46,1.0,False,438,9016,0.0486,588,3,15000,0,64,1
COIN__TGB9fz9acp0,484,ASI,What does the person do after install the SSD onto the hard disk tray,"['install the screws and sheetmetals and baffles onto the hard disk tray', 'take out the laptop CD drive', 'screw off the screws and sheetmetals and baffles on the both sides of the CD drive']",install the screws and sheetmetals and baffles onto the hard disk tray,A,A) install the screws and sheetmetals and baffles onto the hard disk,A,100.0,98.0,99,99,1.0,False,653,19404,0.0337,784,4,15000,0,64,1
COIN__Wd3ihpZqOck,489,ASI,What does the person do after ink the marked area,"['scrape tarpaulin without ink', 'draw black patterns', 'transfer pattern to board or tarpaulin', 'transfer print']",transfer print,D,C) transfer pattern to board or tarpaulin,C,0.0,111.0,112,112,1.0,False,404,21952,0.0184,588,3,15000,0,64,1
COIN___ymPcF51eHg,496,ASI,What does the person do before install the air nozzle,"['pump up to the tire', 'tighten the valve and screw on the valve cap', 'remove the air nozzle', 'screw off the valve cap and open the valve']",screw off the valve cap and open the valve,D,D) screw off the valve cap and open the valve,D,100.0,30.0,31,31,1.0,False,386,6076,0.0635,392,2,15000,0,64,1
COIN__fHv947jR_6U,497,ASI,What does the person do before put nicely and align the quilt and the cover,"['take out the quilt cover from another side', 'put and arrange nicely', 'turn over the quilt cover', 'roll the quilt cover and the quilt together']",turn over the quilt cover,C,B) put and arrange nicely,B,0.0,12.0,13,13,1.0,False,268,2548,0.1052,392,2,15000,0,64,1
COIN__qV3Yd1hJKZU,493,ASI,What does the person do before use sandpaper/metal to polish rubber near leak,"['put inner tube back', 'look for leaks', 'apply glue', 'paste patch']",look for leaks,B,B) look for leaks,B,100.0,53.0,54,54,1.0,False,518,10584,0.0489,588,3,15000,0,64,1
