video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_376,Real-Time Visual Understanding_sample_376_1,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual took vegetables out of the refrigerator, cleaned them, and arranged them on a plate.', 'The individual retrieved a container with liquid, uncovered it, and began stirring its contents.', 'The individual operated a deep fryer, cooked food, and placed it into a serving dish.', 'The individual brewed coffee, poured it into cups, and served them.']","The individual retrieved a container with liquid, uncovered it, and began stirring its contents.",B,"B) The individual retrieved a container with liquid, uncovered it, and began stirring",B,100.0,10.0,11,163,1.0,False,64,1
Real-Time_Visual_Understanding__sample_376,Real-Time Visual Understanding_sample_376_2,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual placed food on a grill, removed gloves, and discarded them in the trash.', 'The individual cleaned the grill, prepared a sandwich, and discarded waste.', 'The individual assembled a cooking station, put on gloves, and set up kitchen tools.', 'The individual operated a fryer, removed food, and placed it into a serving dish.']","The individual placed food on a grill, removed gloves, and discarded them in the trash.",A,"A) The individual placed food on a grill, removed gloves, and discarded them",A,100.0,46.0,47,163,1.0,False,64,1
Real-Time_Visual_Understanding__sample_376,Real-Time Visual Understanding_sample_376_3,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual placed raw meat on a grill and monitored the cooking process.', 'The individual retrieved cooked meat from a tray and placed it into a serving container.', 'The individual prepared a sandwich by slicing bread and adding condiments.', 'The individual operated a coffee machine and served fresh coffee to customers.']",The individual retrieved cooked meat from a tray and placed it into a serving container.,B,A) The individual placed raw meat on a grill and monitored the cooking process.,A,0.0,99.0,100,163,1.0,False,64,1
Real-Time_Visual_Understanding__sample_376,Real-Time Visual Understanding_sample_376_4,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual deep-fried some meat, drained the excess oil, then garnished it with seasoning.', 'The individual prepared a pot of stew, added various ingredients, and simmered it.', 'The individual placed meat in a container, put cooked chicken in the oven, and then prepared buns.', 'The individual made a salad by adding lettuce, tomatoes, and dressing into a bowl.']","The individual placed meat in a container, put cooked chicken in the oven, and then prepared buns.",C,"C) The individual placed meat in a container, put cooked chicken in the oven",C,100.0,126.0,127,163,1.0,False,64,1
Real-Time_Visual_Understanding__sample_376,Real-Time Visual Understanding_sample_376_5,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual grilled a burger patty, added cheese, and placed it on a bun with pickles and onions.', 'The individual breaded chicken, fried it, and served it with a side of vegetables.', 'The individual prepared a chicken sandwich by adding BBQ sauce and placing it on a bun with pickled cucumber and onions.', 'The individual made a dessert by assembling ingredients and placing them into a dessert cup.']",The individual prepared a chicken sandwich by adding BBQ sauce and placing it on a bun with pickled cucumber and onions.,C,C) The individual prepared a chicken sandwich by adding BBQ sauce and placing it on,C,100.0,162.0,163,163,1.0,False,64,1
Real-Time_Visual_Understanding__sample_377,Real-Time Visual Understanding_sample_377_1,Clips Summarize,Which of the following options best summarizes the content of the video just shown?,"['The vendor set up a beverage station with cups and straws, preparing for customers.', 'The vendor organized a set of condiments and napkins at the counter to facilitate customer use.', 'The vendor puts on glove, arranged hot dog buns, getting ready to serve customers.', 'The vendor cleaned and restocked a salad bar, ensuring it is ready for use.']","The vendor puts on glove, arranged hot dog buns, getting ready to serve customers.",C,"C) The vendor puts on glove, arranged hot dog buns, getting ready",C,100.0,14.0,15,175,1.0,False,64,1
Real-Time_Visual_Understanding__sample_377,Real-Time Visual Understanding_sample_377_2,Clips Summarize,Which of the following options best summarizes the actions observed just now?,"['The individual prepared an omelet by whisking eggs and pouring them into a heated pan.', 'The individual assembled a sandwich by layering ingredients onto a slice of bread, cut it, and then served it.', 'The individual took a tortilla with a filling on it, placed it on a tray, and then moved away.', 'The individual arranged cookies on a tray and put them in the oven for baking.']","The individual took a tortilla with a filling on it, placed it on a tray, and then moved away.",C,B) The individual assembled a sandwich by layering ingredients onto a slice of bread,B,0.0,51.0,52,175,1.0,False,64,1
Real-Time_Visual_Understanding__sample_377,Real-Time Visual Understanding_sample_377_3,Clips Summarize,Which of the following options best summarizes the content of the video just shown?,"['The individual is preparing a sandwich by placing slices of meat onto a bun.', 'The individual is making a pizza by spreading cheese and meat on dough.', 'The individual is chopping vegetables for a salad close to a selection of various ingredients.', 'The individual is serving prepared hot dogs along with various condiments.']",The individual is preparing a sandwich by placing slices of meat onto a bun.,A,A) The individual is preparing a sandwich by placing slices of meat onto a bun,A,100.0,92.0,93,175,1.0,False,64,1
Real-Time_Visual_Understanding__sample_377,Real-Time Visual Understanding_sample_377_4,Clips Summarize,Which of the following options best summarizes the food preparation process just now?,"['The preparer slices bread, adds mayonnaise, and tosses in fried fish.', 'The preparer grills a hot dog, adds ketchup, and places it into a bun.', 'The preparer slices bread, adds lettuce, and a variety of vegetables, and tops it with chicken pieces.', 'The preparer makes a pizza, adding pepperoni and cheese before placing it into an oven.']","The preparer slices bread, adds lettuce, and a variety of vegetables, and tops it with chicken pieces.",C,"C) The preparer slices bread, adds lettuce, and a variety of vegetables",C,100.0,133.0,134,175,1.0,False,64,1
Real-Time_Visual_Understanding__sample_377,Real-Time Visual Understanding_sample_377_5,Clips Summarize,What action best summarizes the individual's task just now?,"['The individual prepared a salad using fresh vegetables and topped it with dressing.', 'The individual assembled a sandwich by adding various ingredients and condiments.', 'The individual grilled a hamburger patty and added cheese before serving it.', 'The individual deep-fried snacks and served them with dipping sauces.']",The individual assembled a sandwich by adding various ingredients and condiments.,B,B) The individual assembled a sandwich by adding various ingredients and condiments.,B,100.0,174.0,175,175,1.0,False,64,1
