video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,retrieve_size,chunk_size
fpsstream_000749,speed_recognition,How does the speed of the car change throughout the video?,The car stays at a constant speed and then slows down,C,6.0,4.0,query,95.317,382,2400,False,0.0,B,B,C,"['The car stays at a constant speed', 'The car slows down', 'The car stays at a constant speed and then slows down', 'The car speeds up', 'None of the above']",2,0.8781,True,fpsbench_000753,early,0.1461,86.317,95.317,95.317,25.0,subPlot_new_all_191.mp4,346,381,36,0.0,0,0,True,28,64,36,1.0,14.6429,64,1
fpsstream_000750,speed_recognition,How does the speed of the Drums hitting the drums/cymbals change throughout the video?,The Drums stays at a constant speed and then paces up,C,8.0,4.0,query,357.09,1429,2400,False,0.0,A,A,C,"[""The Drums's stays at a constant speed of hitting the cymbals and drums"", 'The Drums slows down', 'The Drums stays at a constant speed and then paces up', 'The Drums speeds up', 'None of the above']",2,0.3923,True,fpsbench_000754,middle,0.589,348.09,357.125,357.09,25.0,subPlot_new_all_77.mp4,1393,1428,36,-0.035,0,0,True,28,64,36,0.6429,3.0357,64,1
fpsstream_000751,instance_count,How many punches did the boy with the green hat throw?,5,D,7.0,4.0,query,496.466,1986,2400,False,0.0,C,C,D,"['2', '3', '4', '5', 'None of the above']",2,0.4098,True,fpsbench_000755,late,0.8263,492.466,496.466,496.466,24.0,subPlot_new_all_59.mp4,1970,1985,16,0.0,0,0,True,28,64,16,0.9643,13.7857,64,1
fpsstream_000752,instance_count,How many attacks did the boy with the green hat execute?,4,C,6.0,4.0,query,90.179,361,2400,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.3103,True,fpsbench_000756,early,0.1446,86.179,90.179,90.179,30.0,surveil_191.mp4,345,360,16,0.0,0,0,True,28,64,16,1.0,16.0,64,1
fpsstream_000753,instance_count,How many hits did the boy with the green hat land?,4,C,6.0,4.0,query,280.933,1124,2400,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.3257,True,fpsbench_000757,middle,0.4638,275.933,280.933,280.933,25.0,subPlot_new_all_95.mp4,1104,1123,20,0.0,0,0,True,28,64,20,1.0,15.3929,64,1
fpsstream_000754,instance_count,How many hits did the boy with the green hat land?,5,D,6.0,4.0,query,489.255,1958,2400,False,0.0,C,C,D,"['2', '3', '4', '5', 'None of the above']",2,0.5298,True,fpsbench_000758,late,0.8142,485.255,489.255,489.255,25.0,subPlot_new_all_167.mp4,1942,1957,16,0.0,0,0,True,28,64,16,1.0,13.3929,64,1
fpsstream_000755,instance_count,How many times did the team in white pass?,3,B,8.0,4.0,query,119.526,479,2400,False,100.0,B,B,B,"['2', '3', '4', '5', 'None of the above']",2,0.5327,True,fpsbench_000759,early,0.1911,113.526,119.526,119.526,24.0,subPlot_new_all_54.mp4,455,478,24,0.0,0,0,True,28,64,24,0.9643,11.8929,64,1
fpsstream_000756,instance_count,How many passes occured in this clip?,4,C,8.0,4.0,query,274.49,1098,2400,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.5031,True,fpsbench_000760,middle,0.4483,264.49,274.49,274.49,25.0,subPlot_new_all_144.mp4,1058,1097,40,0.0,0,0,True,28,64,40,0.6429,1.9643,64,1
fpsstream_000757,instance_count,How many times did the ball hit the floor?,3,B,7.0,4.0,query,500.629,2003,2400,False,0.0,A,A,B,"['2', '3', '4', '5', 'None of the above']",2,0.5028,True,fpsbench_000761,late,0.8316,490.629,500.629,500.629,25.0,subPlot_new_all_113.mp4,1963,2002,40,0.0,0,0,True,28,64,40,0.6071,0.7857,64,1
fpsstream_000758,instance_count,How many times was the ball dribbled?,5,D,5.0,4.0,query,180.973,724,2400,False,0.0,E,E,D,"['2', '3', '4', '5', 'None of the above']",2,0.4355,True,fpsbench_000762,early,0.2946,174.973,180.979,180.973,30.0,order_101.mp4,700,723,24,-0.006,0,0,True,28,64,24,1.0,16.1786,64,1
fpsstream_000759,instance_count,How many cars pass by the group?,3,C,4.0,4.0,query,320.267,1282,2400,False,0.0,B,B,C,"['1', '2', '3', '4', 'None of the above']",2,0.5802,True,fpsbench_000763,middle,0.5291,314.267,320.273,320.267,25.0,subPlot_new_all_89.mp4,1258,1281,24,-0.006,0,0,True,28,64,24,0.6786,1.9286,64,1
fpsstream_000760,instance_count,How many times did the dog on the right shake its paw?,8,D,5.0,4.0,query,510.474,2042,2400,False,0.0,C,C,D,"['3', '4', '6', '8', 'None of the above']",2,0.5335,True,fpsbench_000764,late,0.8493,504.474,510.48,510.474,30.0,order_319.mp4,2018,2041,24,-0.006,0,0,True,28,64,24,0.8214,4.9643,64,1
fpsstream_000761,instance_count,How many times did this dog on the left shake its paw?,5,D,7.0,4.0,query,76.822,308,2400,False,0.0,B,B,D,"['2', '3', '4', '5', 'None of the above']",2,0.627,True,fpsbench_000765,early,0.1192,70.822,76.828,76.822,25.0,movie101_5.mp4,284,307,24,-0.006,0,0,True,28,64,24,0.9643,11.1786,64,1
fpsstream_000762,speed_recognition,How does the speed of the dog change throughout the video?,"The dog speeds up, then slows down, and then speeds up again",B,5.0,4.0,query,287.692,1151,2400,False,100.0,B,B,B,"['The dog runs at a constant speed', 'The dog speeds up, then slows down, and then speeds up again', 'The dog stays at a constant speed and then slows down', 'The dog speeds up', 'None of the above']",2,0.4667,True,fpsbench_000766,middle,0.4733,280.692,287.692,287.692,25.0,order_38.mp4,1123,1150,28,0.0,0,0,True,28,64,28,0.7857,2.5714,64,1
fpsstream_000763,speed_recognition,How does the speed of the dog change throughout the video?,The dog stays at a constant speed and then slows down,C,6.0,4.0,query,473.409,1894,2400,False,0.0,D,D,C,"['The dog runs at a constant speed', 'The dog speeds up, then slows down', 'The dog stays at a constant speed and then slows down', 'The dog speeds up', 'None of the above']",2,0.4859,True,fpsbench_000767,late,0.7872,468.409,473.409,473.409,24.0,subPlot_new_all_177.mp4,1874,1893,20,0.0,0,0,True,28,64,20,0.6071,1.75,64,1
fpsstream_000764,speed_recognition,How does the rotational speed of the fan blades change?,The blades are slow at first and then increases speed,D,5.0,4.0,query,76.339,306,2400,False,0.0,A,A,D,"['The blades spin at a high, constant speed throughout', 'The blades start fast and gradually slow to a stop', 'The blades are stationary at first, then gradually accelerate their spin', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.4843,True,fpsbench_000768,early,0.1124,66.339,76.339,76.339,30.0,count_235.mp4,266,305,40,0.0,0,0,True,28,64,40,0.75,7.6071,64,1
fpsstream_000765,speed_recognition,How does the rotational speed of the fan blades change?,"The blades spin at a high, constant speed throughout",A,10.0,4.0,query,337.065,1349,2400,False,100.0,A,A,A,"['The blades spin at a high, constant speed throughout', 'The blades start fast and gradually slow to a stop', 'The blades spin at low constant speed', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.5444,True,fpsbench_000769,middle,0.5543,327.065,337.065,337.065,25.0,order_90.mp4,1309,1348,40,0.0,0,0,True,28,64,40,0.5357,1.75,64,1
fpsstream_000766,speed_recognition,How does the rotational speed of the fan blades change?,"The blades spin at a very high, constant speed throughout",A,10.0,4.0,query,487.048,1949,2400,False,100.0,A,A,A,"['The blades spin at a very high, constant speed throughout', 'The blades start fast and gradually slow down', 'The blades spin at low constant speed', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.5893,True,fpsbench_000770,late,0.8086,477.048,487.048,487.048,30.0,order_253.mp4,1909,1948,40,0.0,0,0,True,28,64,40,0.5357,1.1071,64,1
fpsstream_000767,speed_recognition,How does the rotational speed of the fan blades change?,The blades are slow at first and then increases speed,D,7.0,4.0,query,140.429,562,2400,False,0.0,A,A,D,"['The blades spin at a high, constant speed throughout', 'The blades start fast and gradually slow down', 'The blades are stationary at first, then gradually accelerate their spin', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.4342,True,fpsbench_000771,early,0.2237,132.429,140.437,140.429,30.0,order_113.mp4,530,561,32,-0.008,0,0,True,28,64,32,0.7857,4.8214,64,1
fpsstream_000768,speed_recognition,How does the rotational speed of the fan blades change?,"The blades spin at a high, constant speed throughout",A,10.0,4.0,query,274.158,1097,2400,False,100.0,A,A,A,"['The blades spin at a high, constant speed throughout', 'The blades start fast and gradually slow down', 'The blades are stationary at first, then gradually accelerate their spin', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.5459,True,fpsbench_000772,middle,0.4487,265.158,274.167,274.158,25.0,order_27.mp4,1061,1096,36,-0.009,0,0,True,28,64,36,0.5357,2.3571,64,1
fpsstream_000769,speed_recognition,How does the rotational speed of the fan blades change?,"The blades are stationary at first, then gradually accelerate their spin",C,5.0,4.0,query,471.878,1888,2401,False,0.0,A,A,C,"['The blades spin at a high, constant speed throughout', 'The blades start fast and gradually slow down', 'The blades are stationary at first, then gradually accelerate their spin', 'The blades are slow at first and then increases speed', 'None of the above']",2,0.4901,True,fpsbench_000773,late,0.7843,465.878,471.899,471.878,30.0,ego_36.mp4,1864,1887,24,-0.021,0,0,True,28,64,24,0.75,14.3929,64,1
fpsstream_000770,speed_recognition,How does the rotational speed of the dancer's first set of spins compare to the second set?,The first set of spins is slower than the second set,B,7.0,4.0,query,181.106,725,2400,False,0.0,A,A,B,"['The first set of spins is faster than the second set', 'The first set of spins is slower than the second set', 'Both sets of spins are performed at the same rotational speed', 'The first set of spins maintains a constant speed, while the second set progressively accelerates', 'None of the above']",2,0.5145,True,fpsbench_000774,early,0.2948,175.106,181.106,181.106,30.0,count_4.mp4,701,724,24,0.0,0,0,True,28,64,24,0.7857,2.25,64,1
fpsstream_000771,speed_recognition,Which statement best describes how the dancer's skating pace changes throughout the performance?,The dancer's pace starts slow and gradually increases,C,7.0,4.0,query,312.034,1249,2400,False,0.0,A. The dancer starts fast and gradually slows down toward the end  Explanation: The video shows the dancer starting with a fast pace and gradually slowing down as the performance progresses.,A,C,"['The dancer starts fast and gradually slows down toward the end', 'The dancer maintains a consistent pace from start to finish', ""The dancer's pace starts slow and gradually increases"", 'The dancer alternates between periods of fast and slow skating.', 'None of the above']",36,2.296,True,fpsbench_000775,middle,0.5119,302.034,312.034,312.034,24.0,subPlot_new_all_47.mp4,1209,1248,40,0.0,0,0,True,28,64,40,0.6786,1.5357,64,1
fpsstream_000772,speed_recognition,How does the rotational speed of the dancer's first set of spins compare to the second set?,The first set of spins is slower than the second set,B,8.0,4.0,query,500.69,2003,2400,False,0.0,A,A,B,"['The first set of spins is faster than the second set', 'The first set of spins is slower than the second set', 'Both sets of spins are performed at the same rotational speed', 'The first set of spins maintains a constant speed, while the second set progressively accelerates', 'None of the above']",2,0.4487,True,fpsbench_000776,late,0.8342,494.69,501.69,500.69,30.0,order_112.mp4,1979,2002,24,-1.0,0,0,True,28,64,24,0.6786,2.6786,64,1
fpsstream_000773,speed_recognition,How does the speed of the dancer's spin on one leg varies throughout the video?,Her spin is constant,C,6.0,4.0,query,99.383,398,2400,False,0.0,A,A,C,"['Her spin increases', 'Her spin decreases', 'Her spin is constant', 'Her spins increases first and then decreases', 'None of the above']",2,0.5285,True,fpsbench_000777,early,0.1544,91.383,99.383,99.383,25.0,subPlot_new_all_200.mp4,366,397,32,0.0,0,0,True,28,64,32,0.8929,10.5,64,1
fpsstream_000774,speed_recognition,How does the speed of the dancer skating varies throughout the video?,Her pace increases,A,7.0,4.0,query,313.632,1255,2400,False,100.0,A,A,A,"['Her pace increases', 'Her pace decreases', 'Her pace is constant', 'Her pace increases first and then decreases', 'None of the above']",2,0.4589,True,fpsbench_000778,middle,0.5163,305.632,313.632,313.632,30.0,order_72.mp4,1223,1254,32,0.0,0,0,True,28,64,32,0.6786,1.8929,64,1
fpsstream_000775,speed_recognition,How does the rotational speed of the dancer's first set of spins compare to the second set?,The first set of spins is faster than the second set,A,7.0,4.0,query,497.111,1989,2400,False,100.0,A,A,A,"['The first set of spins is faster than the second set', 'The first set of spins is slower than the second set', 'Both sets of spins are performed at the same rotational speed', 'The first set of spins maintains a constant speed, while the second set progressively accelerates', 'None of the above']",2,0.4945,True,fpsbench_000779,late,0.825,485.111,497.111,497.111,25.0,subPlot_new_all_127.mp4,1941,1988,48,0.0,0,0,True,28,64,48,0.6786,2.2143,64,1
fpsstream_000776,speed_recognition,How does the speed of the dancer's spin varies throughout the video?,"Her spins are at a constant speed first, and then increases",D,6.0,4.0,query,182.757,732,2400,False,100.0,D,D,D,"['Her spin increases', 'Her spin decreases', 'Her spin is constant', 'Her spins are at a constant speed first, and then increases', 'None of the above']",2,0.5003,True,fpsbench_000780,early,0.2928,172.757,182.757,182.757,25.0,movie101_17.mp4,692,731,40,0.0,0,0,True,28,64,40,0.75,7.5714,64,1
fpsstream_000777,speed_recognition,How does the rotational speed of the woman's first set of spins compare to the second set?,The first set of spins is slower than the second set,B,7.0,4.0,query,294.129,1177,2400,False,0.0,A,A,B,"['The first set of spins is faster than the second set', 'The first set of spins is slower than the second set', 'Both sets of spins are performed at the same rotational speed', 'The first set of spins maintains a constant speed, while the second set progressively accelerates', 'None of the above']",2,0.5065,True,fpsbench_000781,middle,0.4816,284.129,294.129,294.129,30.0,order_132.mp4,1137,1176,40,0.0,0,0,True,28,64,40,0.8214,6.1786,64,1
fpsstream_000778,speed_recognition,How does the pace of skier change throughout the video?,The skier's pace increases,A,5.0,4.0,query,528.723,2115,2400,False,0.0,"D. The skier's pace is very slow at first, and then it gradually increases Explanation: The skier's pace starts slow and gradually increases as the video progresses.",D,A,"[""The skier's pace increases"", ""The skier's pace is constant"", ""The skier's pace decreases"", ""The skier's pace is very slow at first, and then it gradually increases"", 'None of the above']",37,2.0587,True,fpsbench_000782,late,0.8798,521.723,528.723,528.723,30.0,order_6.mp4,2087,2114,28,0.0,0,0,True,28,64,28,0.5714,2.5,64,1
fpsstream_000779,speed_recognition,How does the speed of skateboard changes in the video?,"The skateboard speed is zero initally, then increases, then becomes zero, then increases again, and becomes zero at the end",C,4.0,4.0,query,106.966,428,2400,False,100.0,C,C,C,"['The speed of the skateboard increases, then decreases, then increases again', 'The speed of the skateboard is zero initially, then increases, then decreases, then increases', 'The skateboard speed is zero initally, then increases, then becomes zero, then increases again, and becomes zero at the end', ""The skateboard's pace is very slow at first, and then it gradually increases"", 'None of the above']",2,0.5671,True,fpsbench_000783,early,0.17,100.966,106.966,106.966,30.0,order_61.mp4,404,427,24,0.0,0,0,True,28,64,24,0.9643,16.4643,64,1
fpsstream_000780,repetitive_motion,How many complete 360 degree rotations does the airplane do?,7,B,5.0,4.0,query,269.33,1078,2400,False,100.0,B,B,B,"['5', '7', '9', '14', 'None of the above']",2,0.5393,True,fpsbench_000784,middle,0.4367,256.33,269.33,269.33,25.0,subPlot_new_all_147.mp4,1026,1077,52,0.0,0,0,True,28,64,52,0.7857,5.8571,64,1
fpsstream_000781,causality_detection,What caused the person to fall from the skateboard?,"The other person's back of the skateboard collided with his skateboard, causing him to fall off",C,4.0,4.0,query,488.592,1955,2400,False,100.0,C,C,C,"['He lost balance as other player came really close to him, making him fall off the skateboard', ""The other person's front of the skateboard collided with his skateboard, causing him to fall off"", ""The other person's back of the skateboard collided with his skateboard, causing him to fall off"", 'The other person kicked him, causing him to launch ahead and fall off the skateboard', 'None of the above']",2,0.5797,True,fpsbench_000785,late,0.818,482.592,492.592,488.592,24.0,movie101_62.mp4,1931,1954,24,-4.0,0,0,True,28,64,24,0.6429,1.8214,64,1
fpsstream_000782,causality_detection,What was the direct result of the pass from the player in the white jersey (#13)?,It led to his teammate (#14) taking a shot and scoring a point,A,4.0,4.0,query,179.297,718,2400,False,0.0,D,D,A,"['It led to his teammate (#14) taking a shot and scoring a point', 'His teammate (#14) pump-faked to get a defender off-balance and then drove to the basket', 'His teammate (#14) was immediately fouled by a defender while attempting to shoot', 'His teammate (#14) caught the ball and quickly passed it to another player open under the basket', 'None of the above']",2,0.5923,True,fpsbench_000786,early,0.292,172.297,182.307,179.297,25.0,subPlot_new_all_40.mp4,690,717,28,-3.01,0,0,True,28,64,28,0.8571,7.5357,64,1
fpsstream_000783,instance_count,How many times did he hit the drums with his right hand?,7,C,6.0,4.0,query,330.84,1324,2400,False,100.0,C,C,C,"['6', '8', '7', '9', 'None of the above']",2,0.4906,True,fpsbench_000787,middle,0.5453,322.84,330.84,330.84,25.0,subPlot_new_all_88.mp4,1292,1323,32,0.0,0,0,True,28,64,32,0.7143,1.6786,64,1
fpsstream_000784,instance_count,How many times do the dancers perform body wave?,8,C,5.0,4.0,query,451.973,1808,2400,False,0.0,B,B,C,"['6', '7', '8', '9', 'None of the above']",2,0.4818,True,fpsbench_000788,late,0.7491,441.973,451.983,451.973,30.0,order_124.mp4,1768,1807,40,-0.01,0,0,True,28,64,40,0.7143,0.8571,64,1
