video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,blind,retrieve_size,chunk_size
COIN__1-arcrelDCQ,486,ASI,What does the person do before prepare meat,"['mix and pickle', 'string together', 'prepare seasonings and side dishes', 'roast ingredients']",prepare seasonings and side dishes,C,C) prepare seasonings and side dishes,C,100.0,46.0,0,0,1.0,False,True,64,1
COIN__3AlMZFGwegE,490,ASI,What does the person do after install the SSD onto the hard disk tray,"['screw off the screws and sheetmetals and baffles on the both sides of the CD drive', 'install the screws and sheetmetals and baffles onto the hard disk tray', 'take out the laptop CD drive']",install the screws and sheetmetals and baffles onto the hard disk tray,B,C) take out the laptop CD drive,C,0.0,87.0,0,0,1.0,False,True,64,1
COIN__8jRoZSWibM0,491,ASI,What does the person do after wipe screen again,"['remove the label', 'wipe screen', 'place label', 'paste protector on the screen']",remove the label,A,C) place label,C,0.0,105.0,0,0,1.0,False,True,64,1
COIN__C4P8VCekA3Y,488,ASI,What does the person do before use sandpaper/metal to polish rubber near leak,"['look for leaks', 'put inner tube back', 'apply glue', 'paste patch']",look for leaks,A,A) look for leaks,A,100.0,31.0,0,0,1.0,False,True,64,1
COIN__Hf2AisK1wHY,483,ASI,What does the person do after load the wheel,"['pump up the tire', 'unload the wheel', 'load the tire', 'load the inner tube']",pump up the tire,A,C) load the tire,C,0.0,136.0,0,0,1.0,False,True,64,1
COIN__OyLTCe_FWrQ,494,ASI,What does the person do after load a new battery,"['remove the components of the fixed battery', 'restore the fixed battery components and the back cover', 'pick up the back cover of the phone with the cymbal', 'take down the old battery']",restore the fixed battery components and the back cover,B,B) restore the fixed battery components and the back cover,B,100.0,54.0,0,0,1.0,False,True,64,1
COIN__Q-uCII9Rtz0,495,ASI,What does the person do before unscrew the screws used to fix the screen,"['take out the battery', 'install the new screen', 'pull out the screen connector and remove the screen', 'reset and screw on the screws']",take out the battery,A,C) pull out the screen connector and remove the screen,C,0.0,45.0,0,0,1.0,False,True,64,1
COIN__TGB9fz9acp0,484,ASI,What does the person do after install the SSD onto the hard disk tray,"['install the screws and sheetmetals and baffles onto the hard disk tray', 'take out the laptop CD drive', 'screw off the screws and sheetmetals and baffles on the both sides of the CD drive']",install the screws and sheetmetals and baffles onto the hard disk tray,A,A) install the screws and sheetmetals and baffles onto the hard disk,A,100.0,98.0,0,0,1.0,False,True,64,1
COIN__Wd3ihpZqOck,489,ASI,What does the person do after ink the marked area,"['scrape tarpaulin without ink', 'draw black patterns', 'transfer pattern to board or tarpaulin', 'transfer print']",transfer print,D,C) transfer pattern to board or tarpaulin,C,0.0,111.0,0,0,1.0,False,True,64,1
COIN___ymPcF51eHg,496,ASI,What does the person do before install the air nozzle,"['pump up to the tire', 'tighten the valve and screw on the valve cap', 'remove the air nozzle', 'screw off the valve cap and open the valve']",screw off the valve cap and open the valve,D,D) screw off the valve cap and open the valve,D,100.0,30.0,0,0,1.0,False,True,64,1
COIN__fHv947jR_6U,497,ASI,What does the person do before put nicely and align the quilt and the cover,"['take out the quilt cover from another side', 'put and arrange nicely', 'turn over the quilt cover', 'roll the quilt cover and the quilt together']",turn over the quilt cover,C,D) roll the quilt cover and the quilt together,D,0.0,12.0,0,0,1.0,False,True,64,1
COIN__qV3Yd1hJKZU,493,ASI,What does the person do before use sandpaper/metal to polish rubber near leak,"['put inner tube back', 'look for leaks', 'apply glue', 'paste patch']",look for leaks,B,B) look for leaks,B,100.0,53.0,0,0,1.0,False,True,64,1
COIN__vZitG-lUUiY,487,ASI,What does the person do before prepare seasonings and side dishes,"['string together', 'roast ingredients', 'prepare meat']",prepare meat,C,C) prepare meat,C,100.0,41.0,0,0,1.0,False,True,64,1
COIN__xCJmXGMl54I,485,ASI,What does the person do before arrange the seperated wire,"['cut a certain length', 'fixe it with a crimping pliers', 'strip the insulation', 'insert it into the crystal head']",strip the insulation,C,C) strip the insulation,C,100.0,71.0,0,0,1.0,False,True,64,1
COIN__xcpffGBVi8Y,492,ASI,What does the person do after mix and pickle,"['string together', 'prepare seasonings and side dishes', 'prepare meat']",string together,A,B) prepare seasonings and side dishes,B,0.0,39.0,0,0,1.0,False,True,64,1
Ego4D__clips__00d9a297-d967-4d28-8e5a-6b891814ec65,312,HLD,what did l put in the sink,"['A plastic bag', 'Unable to answer', 'A spoon', 'A bowl']",Unable to answer,B,A) A plastic bag,A,0.0,414.0,0,0,1.0,False,True,64,1
Ego4D__clips__00d9a297-d967-4d28-8e5a-6b891814ec65,311,HLD,What color was the napkin I used last,"['Green', 'Blue', 'Black', 'Unable to answer']",Unable to answer,D,D) Unable to answer,D,100.0,420.0,0,0,1.0,False,True,64,1
Ego4D__clips__07cc6e65-df8c-46fb-b4be-b808d777454f,370,HLD,Who did I talk to at the garage?,"['Unable to answer', 'a woman wearing a red shirt', 'a man wearing a hat', 'a woman with a black shirt']",Unable to answer,A,C) a man wearing a hat,C,0.0,412.0,0,0,1.0,False,True,64,1
Ego4D__clips__07cc6e65-df8c-46fb-b4be-b808d777454f,371,HLD,In what location did I see the wooden frame?,"['Unable to answer', 'in top of cupboard', 'on the floor', 'on the shelf']",Unable to answer,A,B) in top of cupboard,B,0.0,420.0,0,0,1.0,False,True,64,1
Ego4D__clips__0aca0078-b6ab-41fb-9dc5-a70b8ad137b2,192,EPM,What did I put on the table?,"['saw', 'screwdriver', 'nothing', 'hammer']",nothing,C,C) nothing,C,100.0,83.0,0,0,1.0,False,True,64,1
Ego4D__clips__0aca0078-b6ab-41fb-9dc5-a70b8ad137b2,193,EPM,Where did I pick the piece of timber?,"['in the wood', 'on the floor', 'in the tool rack', 'on the table']",in the wood,A,A) in the wood,A,100.0,158.0,0,0,1.0,False,True,64,1
