video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
OpenEQA__033-hm3d-vd3HHTEpmyA,430,HLD,what does the art in the hallway show?,"['an abstract art', 'a landscape', 'a still life', 'Unable to answer']",Unable to answer,D,A) an abstract art,A,0.0,8.0,9,116,1.0,False,196,1764,0.1111,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,259,EPM,where can I keep a new ironed shirt?,"['on the table in the bedroom', 'on the dresser in the bedroom', 'on the dresser in the bathroom', 'in the closet with other shirts.']",in the closet with other shirts.,D,B) on the dresser in the bedroom,B,0.0,28.0,29,116,1.0,False,196,5684,0.0345,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,237,EPM,where is artwork?,"['on the wall on the ground floor', 'on the wall on the second floor', 'above the white table on the top floor', 'next to the door on the top floor']",above the white table on the top floor,C,C) above the white table on the top floor,C,100.0,71.0,72,116,1.0,False,196,14112,0.0139,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,290,EPM,what color are the electric switches in the above floor,"['Black', 'White', 'Red', 'Brown']",White,B,B) White,B,100.0,112.0,113,116,1.0,False,196,22148,0.0088,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,282,EPM,what is the green thing seen from the window as we walk down the staircase?,"['A piece of art', 'An empty vase', 'A flower pot', 'Leaves of a tree']",Leaves of a tree,D,C) A flower pot,C,0.0,114.0,115,116,1.0,False,196,22540,0.0087,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,198,EPM,are the electric lamps near the staircase on or off?,"['The lamps are off.', 'The lamps are on.']",The lamps are on.,B,A) The lamps are off.,A,0.0,115.0,116,116,1.0,False,196,22736,0.0086,196,1,15000,0,64,1
OpenEQA__033-hm3d-vd3HHTEpmyA,206,EPM,what is on the wall infront of the staircase,"['Nothing', 'Lamps', 'Paintings', 'Windows']",Lamps,B,A) Nothing,A,0.0,115.0,116,116,1.0,False,196,22736,0.0086,196,1,15000,0,64,1
OpenEQA__035-hm3d-BAbdmeyTvMZ,481,HLD,where is the standing lamp?,"['In the bedroom, next to the window', 'Unable to answer', 'In the corner of the living room, next to the stone wall', 'In the bathroom, next to the toilet']",Unable to answer,B,"C) In the corner of the living room, next to the stone wall",C,0.0,21.0,22,118,1.0,False,198,4312,0.0459,392,2,15000,0,64,1
OpenEQA__035-hm3d-BAbdmeyTvMZ,416,HLD,what is special about the wall in the living room?,"['Unable to answer', 'There are two doors on the wall.', 'There is a window on the wall.', 'There is a picture hanging on the wall.']",Unable to answer,A,C) There is a window on the wall.,C,0.0,36.0,37,118,1.0,False,198,7252,0.0273,392,2,15000,0,64,1
OpenEQA__035-hm3d-BAbdmeyTvMZ,422,HLD,where can I sit in the living room?,"['On the chair', 'Unable to answer', 'On the floor', 'In the armchair']",Unable to answer,B,A) On the chair,A,0.0,36.0,37,118,1.0,False,198,7252,0.0273,392,2,15000,0,64,1
OpenEQA__035-hm3d-BAbdmeyTvMZ,257,EPM,what is right next to the chair?,"['a floor lamp', 'a small side table', 'a big mirror', 'a couch']",a small side table,B,A) a floor lamp,A,0.0,83.0,84,118,1.0,False,198,16464,0.012,392,2,15000,0,64,1
OpenEQA__035-hm3d-BAbdmeyTvMZ,231,EPM,is the outside door open or closed?,"['The outside door is closed.', 'The outside door is open.']",The outside door is open.,B,A) The outside door is closed.,A,0.0,117.0,118,118,1.0,False,199,23128,0.0086,588,3,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,423,HLD,what does the outside weather look like?,"['Overcast and snowy', 'Cloudy and rainy', 'Misty and foggy', 'Unable to answer']",Unable to answer,D,D) Unable to answer,D,100.0,13.0,14,103,1.0,False,198,2744,0.0722,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,426,HLD,where can I keep the keyboard,"['Unable to answer', 'on the floor next to the door', 'on the wall', 'on the shelf in the bedroom']",Unable to answer,A,C) on the wall,C,0.0,13.0,14,103,1.0,False,198,2744,0.0722,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,429,HLD,is the lamp in the bedroom on or off?,"['Unable to answer', 'The lamp is off.']",Unable to answer,A,B) The lamp is off.,B,0.0,14.0,15,103,1.0,False,198,2940,0.0673,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,436,HLD,is the brown dresser in the bedroom empty?,"['Unable to answer', 'The brown dresser is empty.']",Unable to answer,A,B) The brown dresser is empty.,B,0.0,14.0,15,103,1.0,False,198,2940,0.0673,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,448,HLD,what room is the white table lamp in?,"['Office', 'Hallway', 'Bathroom', 'Unable to answer']",Unable to answer,D,A) Office,A,0.0,14.0,15,103,1.0,False,198,2940,0.0673,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,466,HLD,where can I keep a flower vase in the bedroom?,"['on the windowsill', 'on the floor', 'Unable to answer', 'on the top of the dresser']",Unable to answer,C,A) on the windowsill,A,0.0,14.0,15,103,1.0,False,198,2940,0.0673,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,217,EPM,are the blinds in the workroom shut or not?,"['The blinds are not shut.', 'The blinds are shut.']",The blinds are not shut.,A,B) The blinds are shut.,B,0.0,91.0,92,103,1.0,False,198,18032,0.011,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,232,EPM,where is the black chair?,"['In front of the monitor in the work room', 'In the hallway', 'In the bedroom', 'In the living room']",In front of the monitor in the work room,A,A) In front of the monitor in the work room,A,100.0,92.0,93,103,1.0,False,198,18228,0.0109,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,207,EPM,what color is the tripod?,"['White', 'Black', 'Silver', 'Blue']",Black,B,C) Silver,C,0.0,95.0,96,103,1.0,False,198,18816,0.0105,392,2,15000,0,64,1
OpenEQA__036-hm3d-rJhMRvNn4DS,250,EPM,what is behind the monitor screen?,"['Door', 'Closet', 'Window', 'Mirror']",Window,C,C) Window,C,100.0,102.0,103,103,1.0,False,198,20188,0.0098,392,2,15000,0,64,1
OpenEQA__037-hm3d-FnSn2KSrALj,460,HLD,what is between the lamp and the side table in the bedroom?,"['plant', 'Unable to answer', 'nothing', 'picture frame']",Unable to answer,B,C) nothing,C,0.0,20.0,21,83,1.0,False,196,4116,0.0476,196,1,15000,0,64,1
OpenEQA__037-hm3d-FnSn2KSrALj,294,EPM,what is infront of the blackboard on the wall?,"['a basket', 'a painting', 'a white cabinet', 'a small kids table and chair set']",a small kids table and chair set,D,D) a small kids table and chair set,D,100.0,38.0,39,83,1.0,False,197,7644,0.0258,392,2,15000,0,64,1
OpenEQA__037-hm3d-FnSn2KSrALj,212,EPM,what shape are the decorations above the bed?,"['Square', 'Triangle', 'Circle', 'Rectangle']",Triangle,B,D) Rectangle,D,0.0,83.0,83,83,1.0,True,197,16268,0.0121,392,2,15000,0,64,1
cross_task__0mnuAqJCg5c,506,ASI,What does the person do before add ham,"['add kimchi', 'add onion', 'add rice', 'stir mixture']",add onion,B,A) add kimchi.,A,0.0,190.98,191,191,1.0,False,205,37436,0.0055,392,2,15000,0,64,1
cross_task__3kIs5YyLd_M,514,ASI,What does the person do after dip bread in mixture,"['put bread in pan', 'whisk mixture', 'add vanilla extract', 'pour egg']",put bread in pan,A,A) put bread in pan,A,100.0,129.44,130,130,1.0,False,223,25480,0.0088,392,2,15000,0,64,1
cross_task__3zv8EjVGTPs,507,ASI,What does the person do after remove bread from pan,"['put bread in pan', 'top toast', 'dip bread in mixture', 'pour milk']",top toast,B,A) put bread in pan,A,0.0,238.0,239,239,1.0,False,269,46844,0.0057,392,2,15000,0,64,1
cross_task__70jQPy4UQ9M,508,ASI,What does the person do before flip steak,"['taste steak', 'put steak on grill', 'take steak from grill', 'cut steak']",put steak on grill,B,B) put steak on grill,B,100.0,182.99,183,183,1.0,False,226,35868,0.0063,392,2,15000,0,64,1
cross_task__88QX6nH21fw,512,ASI,What does the person do before cut lemon,"['pour water', 'stir mixture', 'squeeze lemon', 'add sugar']",pour water,A,C) squeeze lemon,C,0.0,55.85,56,56,1.0,False,250,10976,0.0228,392,2,15000,0,64,1
cross_task__DLrZYkn8zBU,513,ASI,What does the person do before add ham,"['add onion', 'pour sesame oil', 'add rice', 'add kimchi']",pour sesame oil,B,A) add onion,A,0.0,60.22,61,61,1.0,False,216,11956,0.0181,392,2,15000,0,64,1
cross_task__EUt-0DS2GGU,505,ASI,What does the person do after add spices,"['cut cucumber', 'pack cucumbers in jar', 'add sugar', 'pour vinegar']",pack cucumbers in jar,B,A) cut cucumber,A,0.0,208.48,209,209,1.0,False,302,40964,0.0074,392,2,15000,0,64,1
cross_task__J6ZYt9Jv84s,499,ASI,What does the person do before add taco,"['add lettuce', 'stir', 'add tomato', 'add cheese']",stir,B,B) Stir,B,100.0,307.38,308,308,1.0,False,244,60368,0.004,392,2,15000,0,64,1
cross_task__LReec2a4XeQ,511,ASI,What does the person do after tight wheel,"['jack up', 'brake on', 'screw wheel', 'put things back']",put things back,D,A) jack up,A,0.0,195.79,196,196,1.0,False,309,38416,0.008,392,2,15000,0,64,1
cross_task__O6UjkyccfVM,515,ASI,What does the person do before put wheel,"['screw wheel', 'tight wheel', 'withdraw wheel', 'jack down']",withdraw wheel,C,D) jack down,D,0.0,158.37,159,159,1.0,False,244,31164,0.0078,392,2,15000,0,64,1
cross_task__U8WsB25zQR0,516,ASI,What does the person do after flip bread,"['put bread in pan', 'whisk mixture', 'dip bread in mixture', 'top toast']",top toast,D,C) dip bread in mixture,C,0.0,107.84,108,108,1.0,False,254,21168,0.012,392,2,15000,0,64,1
cross_task__VS4zWF9hQpQ,510,ASI,What does the person do before add meat,"['add cheese', 'add tortilla', 'stir', 'add onion']",add tortilla,B,B) add tortilla,B,100.0,201.67,202,202,1.0,False,268,39592,0.0068,392,2,15000,0,64,1
cross_task__WtBh0I9Lmmk,498,ASI,What does the person do after add spices,"['pack cucumbers in jar', 'add sugar', 'pour water', 'add salt']",pack cucumbers in jar,A,A) pack cucumbers in jar.,A,100.0,268.73,269,269,1.0,False,268,52724,0.0051,392,2,15000,0,64,1
cross_task__a8JKu4Pqe4E,517,ASI,What does the person do after flip bread,"['put bread in pan', 'whisk mixture', 'top toast', 'add vanilla extract']",top toast,C,C) top toast,C,100.0,132.14,133,133,1.0,False,219,26068,0.0084,392,2,15000,0,64,1
cross_task__bBDF0QpJmjU,502,ASI,What does the person do before pour jello powder,"['pour mixture into cup', 'pour alcohol', 'pour juice', 'stir mixture']",pour juice,C,A) pour mixture into cup,A,0.0,168.06,169,169,1.0,False,201,33124,0.0061,392,2,15000,0,64,1
cross_task__bQBNnsExUlg,509,ASI,What does the person do after flip steak,"['put steak on grill', 'take steak from grill', 'season steak']",take steak from grill,B,B) take steak from grill,B,100.0,125.89,126,126,1.0,False,221,24696,0.0089,392,2,15000,0,64,1
cross_task__h68TQJz8PqY,500,ASI,What does the person do before add sugar,"['pack cucumbers in jar', 'pour vinegar', 'seal jar', 'put jar in water']",pour vinegar,B,A) pack cucumbers in jar,A,0.0,77.62,78,78,1.0,False,217,15288,0.0142,392,2,15000,0,64,1
cross_task__k5_89KhvpK4,501,ASI,What does the person do after put bread in pan,"['pour milk', 'flip bread', 'dip bread in mixture', 'pour egg']",flip bread,B,C) dip bread in mixture,C,0.0,192.21,193,193,1.0,False,325,37828,0.0086,392,2,15000,0,64,1
cross_task__qiHp18HzLsU,503,ASI,What does the person do after wipe off dipstick,"['put funnel', 'pull out dipstick', 'insert dipstick', 'remove cap']",insert dipstick,C,C) insert dipstick,C,100.0,323.53,324,324,1.0,False,234,63504,0.0037,392,2,15000,0,64,1
cross_task__ysHXDXqi4mc,504,ASI,What does the person do after put wheel,"['unscrew wheel', 'screw wheel', 'withdraw wheel', 'start loose']",screw wheel,B,B) screw wheel.,B,100.0,240.88,241,241,1.0,False,216,47236,0.0046,392,2,15000,0,64,1
hirest__2YZHJOLuA8o_63_216,529,ASI,What does the person do before cover empty places on leaf,"['add little bit salt on salt', 'add pepper on leaf', 'add spray on top', 'spread leafs on pan']",spread leafs on pan,D,D) spread leafs on pan,D,100.0,60.0,61,61,1.0,False,198,11956,0.0166,392,2,15000,0,64,1
hirest__2nkCdciXDa8_55_423,518,ASI,What does the person do after attach pebble piece,"['attach background piece', 'merge them', 'sew the edges', 'cut the fabric']",sew the edges,C,A) attach background piece,A,0.0,255.0,256,256,1.0,False,210,50176,0.0042,392,2,15000,0,64,1
hirest__38H8OKlNA9g_55_178,531,ASI,What does the person do before add more wood chips if required,"['check the filling status of charcoal', 'check the temperature between the correct degree', 'close the box after filling', 'ensure air can get around the wood']",check the filling status of charcoal,A,A) check the filling status of charcoal,A,100.0,31.0,32,32,1.0,False,198,6272,0.0316,392,2,15000,0,64,1
hirest__5JpT5RcuFUk_115_251,530,ASI,What does the person do before put light underneath,"['get plastic glass table', 'use double mirror', 'continue to draw lines', 'lay it on inside']",get plastic glass table,A,A) get plastic glass table,A,100.0,2.0,3,3,1.0,False,196,588,0.3333,196,1,15000,0,64,1
hirest__6C0mL9n9Nko_11_116,536,ASI,What does the person do before another clay,"['using a clay design', 'using chain measure the band size', 'start pour gycerlin', 'remove outer layer of clay']",using a clay design,A,A) using a clay design.,A,100.0,48.0,49,49,1.0,False,225,9604,0.0234,392,2,15000,0,64,1
hirest__8KWG-HxHcbE_126_412,521,ASI,What does the person do before add chopped cease,"['mix all well', 'add herbs on pot', 'add doll and mix well', 'add chicken drop and banana pieces']",add chicken drop and banana pieces,D,D) add chicken drop and banana pieces,D,100.0,208.0,209,209,1.0,False,225,40964,0.0055,392,2,15000,0,64,1
hirest__9pybtCnEqEQ_28_125,537,ASI,What does the person do after put together flowers and grass,"['draw leaves', 'using pencil draw grass', 'paint the flowers with different colors', 'make grass using bottom of the']",draw leaves,A,B) using pencil draw grass.,B,0.0,82.0,83,83,1.0,False,198,16268,0.0122,392,2,15000,0,64,1
hirest__FcRrnEpE4x8_165_439,522,ASI,What does the person do before flash the garment,"['do over print', 'cure it', 'do quick flash', 'pull on ink']",pull on ink,D,C) do quick flash.,C,0.0,136.0,137,137,1.0,False,217,26852,0.0081,392,2,15000,0,64,1
hirest__HjEf_JHzqe8_40_157,534,ASI,What does the person do after remove air out of system,"['tighten it up', 'put ac oil', 'fill in the refrigerant', 'check condenser']",fill in the refrigerant,C,D) check condenser,D,0.0,94.0,95,95,1.0,False,225,18620,0.0121,392,2,15000,0,64,1
hirest__LFufa6Nfc6Y_68_189,532,ASI,What does the person do before fourteen desert are there,"['snow look so good', 'arrange all jelly into show', 'all can be yummy', 'put a jelly here']",snow look so good,A,D) put a jelly here,D,0.0,4.0,5,5,1.0,False,196,980,0.2,196,1,15000,0,64,1
hirest__NULTB33w3Bw_56_282,524,ASI,What does the person do before add corn starch into mixture,"['add borax solution into bowl', 'mix and get right consistency', 'mix everything together', 'add food coloring into bowl']",mix everything together,C,A) add borax solution into bowl,A,0.0,107.0,108,108,1.0,False,199,21168,0.0094,392,2,15000,0,64,1
hirest__e76KWpbPdfY_107_465,519,ASI,What does the person do after put wire under,"['do both same time', 'turn the large key', 'turn key over and push', 'use blade']",turn key over and push,C,C) turn key over and push,C,100.0,337.0,338,338,1.0,False,206,66248,0.0031,392,2,15000,0,64,1
