video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q0,Step Localization,How long has the person in the scene been performing the 'make the  detergent'?,"['8-9s', '50-51s', '6-7s', '19-20s']",6-7s,C,C) 6-7s,C,100.0,85.0,86,137,1.0,False,4572,16856,0.2712,4704,24,15000,0,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q1,Step Verification,Is the person in the current frame still performing the 'wet the mop'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,112.0,113,137,1.0,False,5800,22148,0.2619,6076,31,15000,0,64,1
COIN__AIAqkAAXnjg.mp4,COIN__AIAqkAAXnjg.mp4#q2,Procedure Recall,What goal was achieved in this video?,"['clean wooden floor', 'remove crayon from walls', 'wash dish', 'iron clothes']",clean wooden floor,A,A) clean wooden floor,A,100.0,136.0,137,137,1.0,False,7133,26852,0.2656,7448,38,15000,0,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'take out the label'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,15.0,16,49,1.0,False,1950,3136,0.6218,1960,10,15000,0,64,1
COIN__1vdvYGooMnc.mp4,COIN__1vdvYGooMnc.mp4#q1,Procedure Recall,Did the person follow the correct procedure to achieve the 'refill cartridge'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,48.0,49,49,1.0,False,6398,9604,0.6662,6468,33,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q0,Step Verification,Is the person in the current frame still performing the 'cut off and remove the old string'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,45.0,46,149,1.0,False,4765,9016,0.5285,4900,25,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q1,Step Localization,How long has the person in the scene been performing the 'fix the new string on the lower part of the guitar'?,"['54-55s', '15-16s', '20-21s', '13-14s']",13-14s,D,B) 15-16s,B,0.0,80.0,81,149,1.0,False,7702,15876,0.4851,7840,40,15000,0,64,1
COIN__PWjloFW4Lfc.mp4,COIN__PWjloFW4Lfc.mp4#q2,Procedure Recall,Did the person follow the correct procedure to achieve the 'change guitar strings'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,148.0,149,149,1.0,False,11860,29204,0.4061,12152,62,15000,0,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q0,Procedure Recall,What actions did the person perform in sequence in the last 30 seconds?,"['heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea', 'prepare and add the tea -> prepare and boil water -> heat the teapot and wash the cup', 'prepare and add the tea -> heat the teapot and wash the cup -> prepare and boil water', 'heat the teapot and wash the cup -> add some ingredients to the tea -> prepare and boil water']",heat the teapot and wash the cup -> prepare and boil water -> prepare and add the tea,A,A) heat the teapot and wash the cup -> prepare and boil water ->,A,100.0,101.0,102,108,1.0,False,8552,19992,0.4278,8624,44,15000,0,64,1
COIN__MeZvU3ffU7I.mp4,COIN__MeZvU3ffU7I.mp4#q1,Step Verification,Is the person in the current frame still performing the 'prepare and add the tea'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,107.0,108,108,1.0,False,8858,21168,0.4185,9016,46,15000,0,64,1
COIN__KyloEdIDxAw.mp4,COIN__KyloEdIDxAw.mp4#q0,Step Verification,Is the person in the current frame still performing the 'install fan bracket'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,17.5,18,130,1.0,False,1906,3528,0.5402,1960,10,15000,0,64,1
COIN__KyloEdIDxAw.mp4,COIN__KyloEdIDxAw.mp4#q1,Procedure Recall,What actions did the person perform in sequence in the last 60 seconds?,"['install fan bracket -> install fans and lights -> install fan tray', 'remove old lamp fixed support -> install fan bracket -> install fans and lights', 'install fan tray -> remove old lamp fixed support -> install fan bracket', 'install fan bracket -> install fan tray -> install fans and lights']",install fan bracket -> install fan tray -> install fans and lights,D,D) install fan bracket -> install fan tray -> install fans and lights,D,100.0,72.0,73,130,1.0,False,5990,14308,0.4186,6076,31,15000,0,64,1
COIN__KyloEdIDxAw.mp4,COIN__KyloEdIDxAw.mp4#q2,Step Localization,How long has the person in the scene been performing the 'install fans and lights'?,"['80-81s', '13-14s', '11-12s', '8-9s']",80-81s,A,B) 13-14s,B,0.0,129.0,130,130,1.0,False,10269,25480,0.403,10388,53,15000,0,64,1
COIN__CyQONZLFJdM.mp4,COIN__CyQONZLFJdM.mp4#q0,Procedure Recall,Did the person follow the correct procedure to achieve the 'make matcha tea'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,71.0,72,74,1.0,False,4590,14112,0.3253,4704,24,15000,0,64,1
COIN__CyQONZLFJdM.mp4,COIN__CyQONZLFJdM.mp4#q1,Step Localization,How long has the person in the scene been performing the 'brew tea and stir'?,"['39-40s', '5-6s', '19-20s', '31-32s']",19-20s,C,B) 5-6s,B,0.0,71.0,72,74,1.0,False,4590,14112,0.3253,4704,24,15000,0,64,1
COIN__CyQONZLFJdM.mp4,COIN__CyQONZLFJdM.mp4#q2,Step Verification,Is the person in the current frame still performing the 'brew tea and stir'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,73.0,74,74,1.0,False,4788,14504,0.3301,5096,26,15000,0,64,1
COIN__9KHaiyoGn3c.mp4,COIN__9KHaiyoGn3c.mp4#q0,Step Localization,How long has the person in the scene been performing the 'cut branches'?,"['20-21s', '17-18s', '35-36s', '8-9s']",35-36s,C,A) 20-21s,A,0.0,51.0,52,108,1.0,False,4328,10192,0.4246,4508,23,15000,0,64,1
COIN__9KHaiyoGn3c.mp4,COIN__9KHaiyoGn3c.mp4#q1,Procedure Recall,Did the person follow the correct procedure to achieve the 'cut cantaloupe'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,105.0,106,108,1.0,False,8558,20776,0.4119,8820,45,15000,0,64,1
COIN__9KHaiyoGn3c.mp4,COIN__9KHaiyoGn3c.mp4#q2,Step Verification,Is the person in the current frame still performing the 'connect branches'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,107.0,108,108,1.0,False,8745,21168,0.4131,9016,46,15000,0,64,1
COIN__zVz6o08g5Po.mp4,COIN__zVz6o08g5Po.mp4#q0,Step Verification,Is the person in the current frame still performing the 'put the melted soap block into the vessel'?,"['Yes', 'No']",No,B,B) No,B,100.0,147.0,148,162,1.0,False,11648,29008,0.4015,11760,60,15000,0,64,1
COIN__zVz6o08g5Po.mp4,COIN__zVz6o08g5Po.mp4#q1,Procedure Recall,Did the person follow the correct procedure to achieve the 'make flower press'?,"['Yes', 'No']",No,B,A) Yes,A,0.0,161.0,162,162,1.0,False,13221,31752,0.4164,13524,69,15000,0,64,1
COIN__oAhRt-867vA.mp4,COIN__oAhRt-867vA.mp4#q0,Step Verification,Is the person in the current frame still performing the 'take off the shell'?,"['Yes', 'No']",No,B,B) No,B,100.0,43.0,44,110,1.0,False,3742,8624,0.4339,3920,20,15000,0,64,1
COIN__oAhRt-867vA.mp4,COIN__oAhRt-867vA.mp4#q1,Step Localization,How long has the person in the scene been performing the 'absorb some ink slowly'?,"['35-36s', '9-10s', '11-12s', '24-25s']",24-25s,D,B) 9-10s,B,0.0,90.0,91,110,1.0,False,5885,17836,0.33,6076,31,15000,0,64,1
COIN__oAhRt-867vA.mp4,COIN__oAhRt-867vA.mp4#q2,Procedure Recall,Did the person follow the correct procedure to achieve the 'refill fountain pen'?,"['Yes', 'No']",Yes,A,A) Yes,A,100.0,109.0,110,110,1.0,False,6616,21560,0.3069,6860,35,15000,0,64,1
