video_id,question,answer,pred_answer,retrieve_size,chunk_size
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What task is being performed with vegetables?,Chopping vegetables.,The person is chopping vegetables on a wooden cutting board.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What step is being taken with flatbread?,Wrapping sauce in flatbread.,The flatbread is being placed on a cutting board.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen fixture is being utilized?,Opening a cabinet.,stove,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What's the overview of the action in the clip?,Preparing ingredients for a meal.,"The video begins with a view of a kitchen, focusing on a person's hands as they prepare food. The kitchen is equipped with modern appliances, including a stainless steel oven and a dishwasher. The person is chopping vegetables on a wooden cutting board, with various kitchen items such as a bowl of mixed vegetables, a bottle of oil, and a container of eggs visible in the background. The scene transitions to a close-up of the person's hands as they continue to chop the vegetables, with a focus on the knife and the cutting board. The person then gathers the chopped vegetables and places them into a bowl.The video develops through a close-up of the person's hands as they chop vegetables on a wooden cutting board. The kitchen counter is cluttered with various items, including a bowl of mixed vegetables, a bottle of oil, and a container of eggs. The person then gathers the chopped vegetables and places them into a bowl. The scene transitions to a wider shot of the kitchen, showing the person standing at the counter with the chopped vegetables in hand. The person then moves towards the stove, where a pot of food is simmering. The person adds the chopped vegetables to the pot and stirs the contents with a spoon. The video wraps up with a close-up of the person",64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Does the video show someone chopping vegetables?,Yes.,Yes.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Did the individual successfully open a kitchen cabinet?,Yes.,"Yes, the individual successfully opened a kitchen cabinet.",64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the flatbread being seasoned with sauce?,Yes.,Yes.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is there an occurrence of food being wrapped?,Yes.,"No, there is no occurrence of food being wrapped in the video.",64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,Is the person using a knife for cooking tasks?,Yes.,Yes.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What is the location in the video clip?,A kitchen.,The location in the video clip is a kitchen.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What kitchen activity is underway in the clip?,Cutting vegetables.,"The clip shows the preparation of a meal, including chopping vegetables, cooking meat, and assembling tacos.",64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What tool does the person in the video use?,Knives.,The person in the video uses a large knife to chop vegetables.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What appliance does the person in the video handle?,The heat regulator of the cooker.,The person in the video handles a large knife and a spatula.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What part of the kitchen furniture does the person interact with?,Drawers.,"The person interacts with the dishwasher, opening it to place a bowl inside.",64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,How is the person controlling the cooking temperature?,Operating the heat regulator.,The person is adjusting the stove's temperature by using the control knobs.,64,1
9198b9a4-8d8f-4ba6-9924-4c86982d890a,What can be inferred from the person's actions with the drawers?,Searching or organizing.,The person is likely organizing or retrieving kitchen tools or utensils from the drawers.,64,1
