video_id,question_id,task,source,question,answer,pred_answer,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,prune_cache,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The image you've provided shows the inside of a refrigerator with various beverages. It appears that there are several bottles, which could be mineral water, but it's not possible to determine with certainty from this image alone. To confirm if you have the specific mineral water you need, you would need to open the refrigerator and check the contents more closely.",20.0,20,179,1.0,False,399,3920,0.1018,adaptive,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q0,SF,Ego,Is there the mineral water I need inside the refrigerator in front of me?,"Yes, I see that there are various kinds of mineral water in the refrigerator for you to choose from.","The image you've provided shows the inside of a refrigerator with various beverages. It appears that there are several bottles, which could be mineral water, but it's not possible to determine with certainty from this image alone. To confirm if you have the specific mineral water you need, you would need to open the refrigerator and check the contents more closely.",20.0,20,179,1.0,False,399,3920,0.1018,adaptive,588,3,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,735,9800,0.075,adaptive,980,5,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q1,SM,Ego,What color is the shopping basket I use to hold items?,It is red.,red,50.0,50,179,1.0,False,735,9800,0.075,adaptive,980,5,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are in a convenience store or a small grocery store, as indicated by the presence of a refrigerated display case filled with bottled beverages and a person who seems to be a store employee or cashier. The setting suggests a place where customers can purchase drinks and possibly other quick items.",74.0,74,179,1.0,False,924,14504,0.0637,adaptive,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q2,KG,Ego,"Based on what you see, where do you think I am right now?",I think you should be in a place similar to a shopping mall right now.,"It appears that you are in a convenience store or a small grocery store, as indicated by the presence of a refrigerated display case filled with bottled beverages and a person who seems to be a store employee or cashier. The setting suggests a place where customers can purchase drinks and possibly other quick items.",74.0,74,179,1.0,False,924,14504,0.0637,adaptive,1176,6,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,1090,21168,0.0515,adaptive,1372,7,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q3,OS,Ego,I want to find a place to sit and rest. Are there any chairs nearby?,"Yes, there are chairs near you where you can sit and rest.","yes, there are chairs nearby",108.0,108,179,1.0,False,1090,21168,0.0515,adaptive,1372,7,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby.",142.0,142,179,1.0,False,1300,27832,0.0467,adaptive,1764,9,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q4,LM,Ego,Is there a shelf with fruit nearby? I want to buy some apples.,"Yes, there are some shelves to your left where you can go and look for apples.","Yes, there is a shelf with fruit nearby.",142.0,142,179,1.0,False,1300,27832,0.0467,adaptive,1764,9,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e0q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,1429,35084,0.0407,adaptive,1960,10,15000,0,64,1
Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a,Ego__001d2d1b-d2f9-4c39-810e-6e2087ff9d5a#e1q5,CI,Ego,I want to buy some beer and mineral water. Is there a refrigerator nearby that can provide these items?,"Yes, there is a refrigerator in the place where you just bought the mineral water.","Yes, there is a refrigerator nearby that contains beer and mineral water.",179.0,179,179,1.0,False,1429,35084,0.0407,adaptive,1960,10,15000,0,64,1
Ego__004a7f7e-9e83-431f-bc98-859cf9024e93,Ego__004a7f7e-9e83-431f-bc98-859cf9024e93#e0q0,SF,Ego,Is there a yellow towel on the handle of the oven I just operated?,"Yes, I see a yellow towel, but based on your operation process, it is not possible to confirm that the machine is an oven.","No, there is no yellow towel on the handle of the oven.",20.0,20,179,1.0,False,313,3920,0.0798,adaptive,392,2,15000,0,64,1
