video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000000,repetitive_motion,How many dribbles does the player make?,3,A,7.0,2.0,query,153.817,308,1200,False,100.0,A,A,A,"['3', '4', '5', '6', 'None of the above']",2,0.2699,True,fpsbench_000000,early,0.2522,149.817,155.823,153.817,25.0,order_29.mp4,300,307,8,-2.006,0,0,True,28,6,1,1.0,1.0,1142,60368,0.0189,1176,6,15000,0,64,1
fpsstream_000001,repetitive_motion,How many times does the person in white and blue shirt move his fist?,more than 8 but less than 10 times,B,20.0,2.0,query,247.816,496,1200,False,0.0,A,A,B,"['6 to 8 times', 'more than 8 but less than 10 times', 'more than 10 but less than 13 times', 'exactly 13 times', 'None of the above']",2,0.2464,True,fpsbench_000001,middle,0.4117,240.816,255.816,247.816,30.0,order_242.mp4,482,495,14,-8.0,0,0,True,28,9,1,1.0,1.0,1621,97216,0.0167,1764,9,15000,0,64,1
fpsstream_000002,instance_count,How many times does the person clap in total?,more than 11 times,D,10.0,2.0,query,480.81,962,1200,False,0.0,A,A,D,"['6 to 8 times', '8 to 10 times', '11 times', 'more than 11 times', 'None of the above']",2,0.204,True,fpsbench_000002,late,0.8048,470.81,485.81,480.81,25.0,subPlot_new_all_198.mp4,942,961,20,-5.0,0,0,True,28,15,1,1.0,1.0,2808,188552,0.0149,2940,15,15000,0,64,1
fpsstream_000003,speed_recognition,How does the speed of the car change in this video,Speed up,A,7.0,2.0,query,109.753,220,1200,False,100.0,A,A,A,"['Speed up', 'Slow down', 'Stays the same', 'Speeds up and slows down', 'None of the above']",2,0.2186,True,fpsbench_000003,early,0.1774,105.753,109.753,109.753,25.0,subPlot_new_all_92.mp4,212,219,8,0.0,0,0,True,28,6,1,1.0,1.0,1006,43120,0.0233,1176,6,15000,0,64,1
fpsstream_000004,fine_grained_motion,"What foot does the player shoot with, and does he score","Left foot, no he does not score",B,7.0,2.0,query,243.368,487,1200,False,0.0,A,A,B,"['Right foot, no he does not score', 'Left foot, no he does not score', 'Right foot, yes he does score', 'Left foot, yes he does score', 'None of the above']",2,0.1985,True,fpsbench_000004,middle,0.4033,240.368,244.368,243.368,30.0,order_74.mp4,481,486,6,-1.0,0,0,True,28,6,1,1.0,1.0,1055,95452,0.0111,1176,6,15000,0,64,1
fpsstream_000005,repetitive_motion,How many times does the dog jump on the floor in this video after getting off the couch?,5,B,7.0,2.0,query,458.671,918,1200,False,0.0,E,E,B,"['4', '5', '6', '7', 'None of the above']",2,0.1783,True,fpsbench_000005,late,0.7629,454.671,458.675,458.671,25.0,movie101_89.mp4,910,917,8,-0.004,0,0,True,28,15,1,1.0,1.0,2910,179928,0.0162,2940,15,15000,0,64,1
fpsstream_000006,instance_count,How many times does player #45 touch the ball with his right foot?,4,C,16.0,2.0,query,123.902,248,1200,False,0.0,A,A,C,"['2', '3', '4', '5', 'None of the above']",2,0.1897,True,fpsbench_000006,early,0.1998,118.902,123.902,123.902,24.0,subPlot_new_all_59.mp4,238,247,10,0.0,0,0,True,28,5,1,1.0,1.0,913,48608,0.0188,980,5,15000,0,64,1
fpsstream_000007,action_order,What is the order of the actions by the player holding the ball in the video?,"Dribble, Between the legs crossover, Pass",B,8.0,2.0,query,301.119,603,1200,False,100.0,B,B,B,"['Behind the back, dribble, pass', 'Dribble, Between the legs crossover, Pass', 'Crossover, Dribble, Pass', 'Dribble, behind the back, pass', 'None of the above']",2,0.2101,True,fpsbench_000007,middle,0.4994,298.119,301.122,301.119,24.0,subPlot_new_all_165.mp4,597,602,6,-0.003,0,0,True,28,9,1,1.0,1.0,1583,118188,0.0134,1764,9,15000,0,64,1
fpsstream_000008,state_at_event,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,It is lowered to his chest,C,4.0,2.0,query,431.492,863,1200,False,0.0,D,D,C,"['It is raised to cover his head', 'It is lowered to his hips', 'It is lowered to his chest', 'It is drawn back', 'None of the above']",2,0.1987,True,fpsbench_000008,late,0.7226,428.492,435.499,431.492,25.0,subPlot_new_all_56.mp4,857,862,6,-4.007,0,0,True,28,20,1,1.0,1.0,3915,169148,0.0231,3920,20,15000,0,64,1
fpsstream_000009,repetitive_motion,How many rotations does the gymnast do?,4,C,7.0,2.0,query,158.623,318,1200,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.6009,True,fpsbench_000009,early,0.2561,151.623,159.623,158.623,24.0,order_13.mp4,304,317,14,-1.0,0,0,True,28,6,1,1.0,1.0,1100,62328,0.0176,1176,6,15000,0,64,1
