video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
AutoEvalMetaData__1,761,STU,Which container is located closer to the top left corner of the table?,"['The blue container.', 'The white container.', 'The red container.', 'The green container.']",The white container.,B,B) The white container.,B,100.0,106.84,107,737,1.0,False,3240,20972,0.1545,3332,17,15000,0,64,1
AutoEvalMetaData__1,760,STU,What's right above the pot?,"['A shelf with spices is situated just above the pot.', 'A ladle is hanging right above the pot.', 'The kitchen lamp is positioned directly above the pot.', ""The cook's hands are directly above the pot.""]",The cook's hands are directly above the pot.,D,A) A shelf with spices is situated just above the pot.,A,0.0,107.84,108,737,1.0,False,3288,21168,0.1553,3528,18,15000,0,64,1
AutoEvalMetaData__1,762,STU,What is she putting the seasoning into?,"['She is putting the seasoning into a small bowl.', 'She is putting the seasoning into a White bottle.', 'She is putting the seasoning into a glass container.', 'She is putting the seasoning into a the pot.']",She is putting the seasoning into a glass container.,C,A) She is putting the seasoning into a small bowl.,A,0.0,159.84,160,737,1.0,False,4793,31360,0.1528,5096,26,15000,0,64,1
AutoEvalMetaData__1,763,STU,What is located directly behind the woman wearing the apron with red ties?,"['the chalkboard cabinets with writing.', 'A gas stove with pots and bowls on it.', 'a display case with antique dishes.', 'a Double door refrigerator']",the chalkboard cabinets with writing.,A,B) A gas stove with pots and bowls on it.,B,0.0,649.72,650,737,1.0,False,25147,127400,0.1974,25480,130,15000,313098240,64,1
AutoEvalMetaData__1,764,STU,What is the position of the wooden spoon in the sauce?,"['The wooden spoon is partially submerged in the sauce.', ""The wooden spoon is balanced on the pot's handle, not touching the sauce."", 'The wooden spoon is leaning against the side of the pot, submerged halfway into the sauce.', 'The wooden spoon is floating on the surface of the sauce.']",The wooden spoon is partially submerged in the sauce.,A,A) The wooden spoon is partially submerged in the sauce.,A,100.0,736.72,737,737,1.0,False,29087,144452,0.2014,29596,151,15000,363675648,64,1
AutoEvalMetaData__10,1051,ATR,What is the character's expression as seen with the headset?,"[""The character's expression appears to be a smile."", 'The character seems to have a puzzled look.', ""The character's expression appears to be neutral."", 'The character looks angry.']",The character's expression appears to be a smile.,A,A) The character's expression appears to be a smile.,A,100.0,144.34,145,145,1.0,False,11322,28420,0.3984,11368,58,15000,0,64,1
AutoEvalMetaData__10,1052,ATR,What is the color of the character's outfit on the platform?,"['Red.', 'Gray', 'Brown.', 'Green']",Brown.,C,C) Brown.,C,100.0,144.34,145,145,1.0,False,11322,28420,0.3984,11368,58,15000,0,64,1
AutoEvalMetaData__10,1053,ATR,What shape are the windows in the background?,"['Square', 'Rectangular.', 'Oval', 'Circular']",Rectangular.,B,B) Rectangular.,B,100.0,144.34,145,145,1.0,False,11322,28420,0.3984,11368,58,15000,0,64,1
AutoEvalMetaData__100,934,OJR,What can be seen on the wall behind the person?,"['A wall clock', 'A mirror', 'A painting', 'A series of bookshelves']",A painting,C,B) A mirror,B,0.0,57.76,58,971,1.0,False,6452,11368,0.5676,6468,33,15000,0,64,1
AutoEvalMetaData__100,936,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Cake knife,C,A) Black gift bag,A,0.0,625.88,626,971,1.0,False,75051,122696,0.6117,75068,383,15000,922435584,64,1
AutoEvalMetaData__100,1394,OCR,What is written on the cake?,"['Cheers to You', 'Best Wishes', 'Congratulations', 'Happy Birthday']",Congratulations,C,C) Congratulations,C,100.0,656.12,657,971,1.0,False,79698,128772,0.6189,79772,407,15000,980238336,64,1
AutoEvalMetaData__100,937,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Black Camera,D,A) Black gift bag,A,0.0,715.88,716,971,1.0,False,88856,140336,0.6332,88984,454,15000,1093435392,64,1
AutoEvalMetaData__100,938,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",phone,B,A) Black gift bag,A,0.0,918.88,919,971,1.0,False,105854,180124,0.5877,106036,541,15000,1302970368,64,1
AutoEvalMetaData__100,935,OJR,What is she holding in her hand?,"['Black gift bag', 'phone', 'Cake knife', 'Black Camera']",Black gift bag,A,A) Black gift bag,A,100.0,926.88,927,971,1.0,False,106507,181692,0.5862,106820,545,15000,1312604160,64,1
AutoEvalMetaData__100,1395,OCR,What is written on the gift bag?,"['PRADA', 'VERSACE', 'LOUIS VUITTON', 'GUCCI']",GUCCI,D,D) GUCCI,D,100.0,927.12,928,971,1.0,False,106592,181888,0.586,107016,546,15000,1315012608,64,1
AutoEvalMetaData__100,939,OJR,What is she holding in her hand?,"['A red box and a green box.', 'Black gift bag', 'A green box.', 'Black Camera']",A red box and a green box.,A,B) Black gift bag,B,0.0,942.88,943,971,1.0,False,107458,184828,0.5814,107996,551,15000,1327054848,64,1
