video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000000,repetitive_motion,How many dribbles does the player make?,3,A,7.0,1.0,query,153.817,154,600,False,100.0,A,A,A,"['3', '4', '5', '6', 'None of the above']",2,0.5007,True,fpsbench_000000,early,0.2522,149.817,155.823,153.817,25.0,order_29.mp4,150,153,4,-2.006,0,0,True,28,54,3,1.0,3.0,10391,30184,0.3443,10584,54,15000,0,64,1
fpsstream_000001,repetitive_motion,How many times does the person in white and blue shirt move his fist?,more than 8 but less than 10 times,B,20.0,1.0,query,247.816,248,600,False,0.0,A,A,B,"['6 to 8 times', 'more than 8 but less than 10 times', 'more than 10 but less than 13 times', 'exactly 13 times', 'None of the above']",2,0.5723,True,fpsbench_000001,middle,0.4117,240.816,255.816,247.816,30.0,order_242.mp4,241,247,7,-8.0,0,0,True,28,64,3,1.0,2.5714,15430,48608,0.3174,15484,79,15000,887914496,64,1
fpsstream_000002,instance_count,How many times does the person clap in total?,more than 11 times,D,10.0,1.0,query,480.81,481,600,False,0.0,A,A,D,"['6 to 8 times', '8 to 10 times', '11 times', 'more than 11 times', 'None of the above']",2,0.4253,True,fpsbench_000002,late,0.8048,470.81,485.81,480.81,25.0,subPlot_new_all_198.mp4,471,480,10,-5.0,0,0,True,28,64,3,1.0,2.4643,32715,94276,0.347,32732,167,15000,1876983808,64,1
fpsstream_000003,speed_recognition,How does the speed of the car change in this video,Speed up,A,7.0,1.0,query,109.753,110,600,False,0.0,B,B,A,"['Speed up', 'Slow down', 'Stays the same', 'Speeds up and slows down', 'None of the above']",2,0.2526,True,fpsbench_000003,early,0.1774,105.753,109.753,109.753,25.0,subPlot_new_all_92.mp4,106,109,4,0.0,0,0,True,28,41,3,1.0,3.0,7845,21560,0.3639,8036,41,15000,0,64,1
fpsstream_000004,fine_grained_motion,"What foot does the player shoot with, and does he score","Left foot, no he does not score",B,7.0,1.0,query,243.368,244,600,False,0.0,A,A,B,"['Right foot, no he does not score', 'Left foot, no he does not score', 'Right foot, yes he does score', 'Left foot, yes he does score', 'None of the above']",2,0.6896,True,fpsbench_000004,middle,0.4033,240.368,244.368,243.368,30.0,order_74.mp4,241,243,3,-1.0,0,0,True,28,64,2,1.0,1.9286,12643,47824,0.2644,12740,65,15000,0,64,1
fpsstream_000005,repetitive_motion,How many times does the dog jump on the floor in this video after getting off the couch?,5,B,7.0,1.0,query,458.671,459,600,False,100.0,B,B,B,"['4', '5', '6', '7', 'None of the above']",2,0.4687,True,fpsbench_000005,late,0.7629,454.671,458.675,458.671,25.0,movie101_89.mp4,455,458,4,-0.004,0,0,True,28,64,2,0.9286,1.5,18191,89964,0.2022,18228,93,15000,1045266432,64,1
fpsstream_000006,instance_count,How many times does player #45 touch the ball with his right foot?,4,C,16.0,1.0,query,123.902,124,600,False,0.0,A,A,C,"['2', '3', '4', '5', 'None of the above']",2,0.3796,True,fpsbench_000006,early,0.1998,118.902,123.902,123.902,24.0,subPlot_new_all_59.mp4,119,123,5,0.0,0,0,True,28,37,3,1.0,3.0,7168,24304,0.2949,7252,37,15000,0,64,1
fpsstream_000007,action_order,What is the order of the actions by the player holding the ball in the video?,"Dribble, Between the legs crossover, Pass",B,8.0,1.0,query,301.119,302,600,False,0.0,D,D,B,"['Behind the back, dribble, pass', 'Dribble, Between the legs crossover, Pass', 'Crossover, Dribble, Pass', 'Dribble, behind the back, pass', 'None of the above']",2,0.4958,True,fpsbench_000007,middle,0.4994,298.119,301.122,301.119,24.0,subPlot_new_all_165.mp4,299,301,3,-0.003,0,0,True,28,64,2,1.0,1.7143,17868,59192,0.3019,18032,92,15000,1034027008,64,1
fpsstream_000008,state_at_event,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,It is lowered to his chest,C,4.0,1.0,query,431.492,432,600,False,0.0,B,B,C,"['It is raised to cover his head', 'It is lowered to his hips', 'It is lowered to his chest', 'It is drawn back', 'None of the above']",2,0.4475,True,fpsbench_000008,late,0.7226,428.492,435.499,431.492,25.0,subPlot_new_all_56.mp4,429,431,3,-4.007,0,0,True,28,64,2,0.8929,1.3929,26715,84672,0.3155,26852,137,15000,1539801088,64,1
fpsstream_000009,repetitive_motion,How many rotations does the gymnast do?,4,C,7.0,1.0,query,158.623,159,600,False,0.0,B,B,C,"['2', '3', '4', '5', 'None of the above']",2,0.2374,True,fpsbench_000009,early,0.2561,151.623,159.623,158.623,24.0,order_13.mp4,152,158,7,-1.0,0,0,True,28,57,4,1.0,4.0,11037,31164,0.3542,11172,57,15000,0,64,1
