video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_1,Object Perception,What logos are visible in the background as players and referees walk towards the center of the football field?,"['FIFA and La Liga.', 'UEFA and La Liga.', 'Bundesliga and La Liga.', 'Aeromexico and La Liga.']",Aeromexico and La Liga.,D,B) UEFA and La Liga.,B,0.0,4.0,5,129,1.0,False,310,980,0.3163,392,2,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_2,Causal Reasoning,Why does the player wearing the number nine red and blue jersey celebrate?,"['He saved a goal.', 'He received a pass.', 'He scored a goal.', 'He won a free kick.']",He scored a goal.,C,C) He scored a goal.,C,100.0,53.0,54,129,1.0,False,1825,10584,0.1724,1960,10,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_4,Attribute Perception,What color is the goalie's uniform?,"['Blue.', 'Red.', 'White.', 'Yellow.']",Yellow.,D,D) Yellow.,D,100.0,80.0,81,129,1.0,False,2594,15876,0.1634,2744,14,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_3,Text-Rich Understanding,What logo is seen on the jersey of the player covering his mouth?,"['Apple.', 'Google.', 'Adidas.', 'Spotify.']",Spotify.,D,D) Spotify.,D,100.0,82.0,83,129,1.0,False,2695,16268,0.1657,2940,15,15000,0,64,1
Real-Time_Visual_Understanding__sample_1,Real-Time Visual Understanding_sample_1_5,Attribute Perception,"What is the color of the cooler labeled ""PRIME"" near the team bench?","['Blue.', 'Yellow.', 'Green.', 'Red.']",Red.,D,D) Red.,D,100.0,128.0,129,129,1.0,False,3756,25284,0.1486,4116,21,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_1,Object Perception,What is the number on the back of MAJER's jersey?,"['7.', '10.', '13.', '16.']",7.,A,D) 16.,D,0.0,10.0,11,316,1.0,False,457,2156,0.212,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_2,Event Understanding,What event occurred just now?,"['A penalty kick.', 'A free kick.', 'A goal celebration.', 'A corner kick.']",A penalty kick.,A,A) A penalty kick.,A,100.0,19.0,20,316,1.0,False,690,3920,0.176,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_3,Action Perception,What is the goalkeeper doing as the player takes the penalty shot?,"['Standing still.', 'Diving to his right.', 'Running towards the ball.', 'Waving his hands.']",Diving to his right.,B,B) Diving to his right.,B,100.0,112.0,113,316,1.0,False,3235,22148,0.1461,3528,18,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_4,Causal Reasoning,Why did the player celebrate by clenching his fists and bending his head forward?,"['He just scored a penalty kick.', 'He blocked a shot.', 'He made a successful pass.', 'He received a yellow card.']",He just scored a penalty kick.,A,A) He just scored a penalty kick.,A,100.0,211.0,212,316,1.0,False,6096,41552,0.1467,6468,33,15000,0,64,1
Real-Time_Visual_Understanding__sample_2,Real-Time Visual Understanding_sample_2_5,Text-Rich Understanding,What is the current score shown on the scoreboard?,"['Croatia 3 - 2 Brazil.', 'Croatia 4 - 2 Brazil.', 'Croatia 4 - 3 Brazil.', 'Croatia 5 - 2 Brazil.']",Croatia 4 - 2 Brazil.,B,A) Croatia 3 - 2 Brazil.,A,0.0,315.0,316,316,1.0,False,9213,61936,0.1488,9604,49,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_1,Object Perception,What appears at the very beginning of the video?,"['A football match.', 'A logo of FC Barcelona.', 'A silver trophy.', 'A live concert.']",A logo of FC Barcelona.,B,B) A logo of FC Barcelona.,B,100.0,8.0,9,172,1.0,False,434,1764,0.246,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_2,Spatial Understanding,What is the position relationship between the woman in a black dress and the woman in a white outfit?,"['They are standing side by side.', 'They are standing back to back.', 'The woman in black is in front of the woman in white.', 'The woman in white is holding the trophy.']",They are standing side by side.,A,C).,C,0.0,20.0,21,172,1.0,False,821,4116,0.1995,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_3,Attribute Perception,What color is the goalkeeper's kit when standing in front of the goalposts?,"['Red.', 'Green.', 'Yellow.', 'Blue.']",Yellow.,C,B) Green.,B,0.0,69.0,70,172,1.0,False,2132,13720,0.1554,2352,12,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_4,Object Perception,What advertisement is displayed on the red boards behind the goal?,"['AMBILIGHT TV.', 'NIKE.', 'ESTRELLA DAMM.', 'ADIDAS.']",ESTRELLA DAMM.,C,C) ESTRELLA DAMM.,C,100.0,123.0,124,172,1.0,False,3585,24304,0.1475,3920,20,15000,0,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_5,Action Perception,What are the two people in the video frame doing now?,"['handshaking.', 'Hugging.', 'High-fiving.', 'Fist bumping.']",handshaking.,A,C) High-fiving.,C,0.0,171.0,172,172,1.0,False,4939,33712,0.1465,5292,27,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_2,Causal Reasoning,Why are the players in green and white striving to intercept the ball?,"['They are warming up for the game.', 'They are practicing their defensive moves.', 'They are reacting to an offensive move toward the goal.', 'They are performing a choreographed play.']",They are reacting to an offensive move toward the goal.,C,C) They are reacting to an offensive move toward the goal.,C,100.0,19.0,20,221,1.0,False,704,3920,0.1796,784,4,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_1,Object Perception,What emblem appears at the beginning of the video?,"['An animal symbol.', 'A football club shield.', 'A national flag.', 'A corporate logo.']",A football club shield.,B,B) A football club shield.,B,100.0,20.0,21,221,1.0,False,732,4116,0.1778,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_3,Text-Rich Understanding,What was the score and the position of the teams right now?,"['1-0, the team in blue and red is leading.', '2-0, the team in white is leading.', '2-0, the team in blue and red is leading.', '1-1, the teams are tied.']","2-0, the team in blue and red is leading.",C,"C) 2-0, the team in blue and red is leading.",C,100.0,64.0,65,221,1.0,False,1951,12740,0.1531,2352,12,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_4,Event Understanding,What is the updated score after the player in number 11 scored a goal?,"['2-0.', '3-0.', '5-0.', '4-0.']",4-0.,D,A) 2-0.,A,0.0,131.0,132,221,1.0,False,3799,25872,0.1468,4312,22,15000,0,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_5,Attribute Perception,"What uniform does the player named ""JOAO CANCELO"" wear?","['Purple and white.', 'Red and blue striped.', 'Blue and yellow.', 'Green and black.']",Red and blue striped.,B,B) Red and blue striped.,B,100.0,220.0,221,221,1.0,False,6531,43316,0.1508,7056,36,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_1,Text-Rich Understanding,What name is written on the goalkeeper's bright green jersey?,"['NEUER.', 'PICKFORD.', 'DE GEA.', 'COURTOIS.']",PICKFORD.,B,B) PICKFORD.,B,100.0,14.0,15,444,1.0,False,619,2940,0.2105,784,4,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_2,Object Perception,What brand is visible on the player's white cleats?,"['Nike.', 'Puma.', 'Adidas.', 'Under Armour.']",Adidas.,C,C) Adidas.,C,100.0,18.0,19,444,1.0,False,746,3724,0.2003,980,5,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_3,Event Understanding,What is the outcome of the penalty kick just now?,"['The goalkeeper saves the ball.', 'The ball hits the post.', 'The ball goes over the crossbar.', 'The ball goes into the net.']",The ball goes over the crossbar.,C,D) The ball goes into the net.,D,0.0,147.0,148,444,1.0,False,4061,29008,0.14,4312,22,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_4,Action Perception,What did the goalkeeper do during the penalty kick?,"['Stood still.', 'Dived to his left.', 'Dived to his right.', 'Ran towards the ball.']",Dived to his left.,B,D) Ran towards the ball.,D,0.0,273.0,274,444,1.0,False,7494,53704,0.1395,7840,40,15000,0,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_5,Text-Rich Understanding,What number is on the back of the goalkeeper's kit who is preparing to dive for the penalty kick?,"['10.', '7.', '5.', '1.']",1.,D,D) 1.,D,100.0,443.0,444,444,1.0,False,11929,87024,0.1371,12348,63,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_1,Action Perception,What action is the player in the white shirt with number 20 doing?,"['Walking on the field.', 'Preparing for a penalty kick.', 'Waving to the crowd.', 'Kneeling on the ground.']",Kneeling on the ground.,D,D) Kneeling on the ground.,D,100.0,14.0,15,426,1.0,False,494,2940,0.168,588,3,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_2,Object Perception,What brand is advertised on the boards behind the goal?,"['Adidas.', 'Nike.', 'Pepsi.', 'Kia Motors.']",Kia Motors.,D,D) Kia Motors.,D,100.0,145.0,146,426,1.0,False,3582,28616,0.1252,3724,19,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_3,Event Understanding,What is the crowd's reaction during the player's preparation for the penalty kick?,"['Celebrating wildly.', 'Leaving the stadium.', 'Booing the player.', 'Seemingly in prayer or anticipation.']",Seemingly in prayer or anticipation.,D,D) Seemingly in prayer or anticipation.,D,100.0,151.0,152,426,1.0,False,3785,29792,0.127,4116,21,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_4,Action Perception,What is the player in the black jersey doing just now?,"['Raising both arms.', 'Moving away from the ball.', 'Running toward the crowd.', 'Bending down to adjust the football.']",Bending down to adjust the football.,D,D) Bending down to adjust the football.,D,100.0,293.0,294,426,1.0,False,7444,57624,0.1292,7840,40,15000,0,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_5,Text-Rich Understanding,What is written on the back of the goalkeeper's jersey?,"['SMITH 10.', 'JONES 15.', 'SCHEMEICHEL 1.', 'MARTIN 8.']",SCHEMEICHEL 1.,C,A) SMITH 10.,A,0.0,425.0,426,426,1.0,False,11125,83496,0.1332,11564,59,15000,0,64,1
