video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,blind,retrieve_size,chunk_size
TS_Retrieval_test_video_0T4zq8HcEyeu1t,2,Real-time Traffic Perception,"What is the meaning of the traffic sign at the [0.42,0.22,0.45,0.28] in the current picture?","['No Goods Vehicles.', 'No Right Turn.', 'End of Zone Speed Limit 40.', 'No Left or Right Turn.']",No Left or Right Turn.,D,A) No Goods Vehicles.,A,0.0,10.04,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,3,Past Traffic Memory,"What was the color of the traffic light at the [0.41,0.28,0.45,0.31] in the scene 1 seconds ago?","['Unable to say.', 'Red.', 'Yellow.', 'Green.']",Green.,D,B) Red.,B,0.0,17.2,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,0,Real-time Traffic Perception,"According to the road board at the [0.4,0.16,0.52,0.31] currently, if going in the left direction, where will we go?","['We will go to Xinnan Road and Binjiang Middle Road.', 'We will go to Tianfu Square and Xinguanghua Street .', 'We will go to Nandajie Street and Binjiang West Road.', 'We will go to Wenjiang and Zhongchun Road.']",We will go to Nandajie Street and Binjiang West Road.,C,C) We will go to Nandajie Street and Binjiang West Road,C,100.0,17.48,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,5,Driving Decision-Making,"According to the road board at the [0.4,0.16,0.52,0.31] currently, if we wants to go to Binjiang Middle Road, in which direction should we go? ","['We should drive in the right direction.', 'We should drive in the left direction.', 'We should drive in the straight direction.', 'We should drive in the front right direction.']",We should drive in the right direction.,A,B) We should drive in the left direction.,B,0.0,17.48,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,1,Real-time Traffic Perception,"What is the meaning of the traffic sign at the [0.61,0.31,0.64,0.38] in the current picture?","['No Left or Right Turn.', 'Drive on the Right Side of the Median Strip.', 'U-Turn Allowed.', 'No Parking.']",No Parking.,D,B) Drive on the Right Side of the Median Strip.,B,0.0,18.6,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,4,Past Traffic Memory,"What was the meaning of the traffic sign at the [0.57,0.31,0.59,0.37] in the scene 1 seconds ago?","['Zone Speed Limit 70.', 'Height Restriction 4.5.', 'No Left or Right Turn.', 'No Motor Vehicles.']",Zone Speed Limit 70.,A,B) Height Restriction 4.5.,B,0.0,19.08,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_0T4zq8HcEyeu1t,6,Driving Decision-Making,"According to the road board at the [0.28,0.06,0.44,0.22] currently, if we wants to turn left, which lane should we be in?","['The second lane.', 'The fifth lane.', 'The first lane.', 'The fourth lane.']",The first lane.,C,C) The first lane.,C,100.0,26.8,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_15HpNu3P6RGPzT,8,Real-time Traffic Perception,"What is the meaning of the traffic sign at the [0.66,0.32,0.73,0.44] in the current picture?","['End of Zone Speed Limit 30.', 'Non-Motorized Vehicle or Pedestrian Traffic.', 'No Left Turn.', 'Weight Restriction 55.']",No Left Turn.,C,B) Non-Motorized Vehicle or Pedestrian Traffic.,B,0.0,7.08,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_15HpNu3P6RGPzT,11,Hallucination detection,"What is the meaning of the traffic sign at the [0.57,0.82,0.62,0.91] in the current picture?","['Unable to say.', 'No Straight Through or Left Turn.', 'Zone Speed Limit 120.', 'Weight Restriction 49t.']",Unable to say.,A,B) No Straight Through or Left Turn.,B,0.0,12.35,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_15HpNu3P6RGPzT,10,Past Traffic Memory,"What was the color of the traffic light at the [0.41,0.13,0.43,0.23] in the scene 3 seconds ago?","['Green.', 'Unable to say.', 'Yellow.', 'Red.']",Green.,A,D) Red.,D,0.0,15.38,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_15HpNu3P6RGPzT,7,Real-time Traffic Perception,"What are the position coordinates of the traffic sign indicating ""Zone Speed Limit 30"" in the current picture?","['[0.41,0.09,0.47,0.18].', '[0.35,0.12,0.63,0.46].', '[0.02,0.06,0.64,0.96].', '[0.15,0.58,0.7,0.8].']","[0.41,0.09,0.47,0.18].",A,"B) [0.35,0.12,0.6",B,0.0,15.92,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_15HpNu3P6RGPzT,9,Past Traffic Memory,"What was the meaning of the traffic sign at the [0.47,0.12,0.52,0.21] in the scene 1 seconds ago?","['No Parking.', 'No Straight Through or Left Turn.', 'No Long-Term Parking.', 'Height Restriction 4.5.']",No Parking.,A,A) No Parking.,A,100.0,16.68,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_1WPEKKFlrkZt8S,12,Real-time Traffic Perception,"What is the meaning of the traffic sign at the [0.12,0.12,0.14,0.16] in the current picture?","['Height Restriction 2.5m.', 'Zone Speed Limit 120.', 'Height Restriction 4.5.', 'Slow Down and Yield.']",Slow Down and Yield.,D,A) Height Restriction 2.5m.,A,0.0,4.76,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_1WPEKKFlrkZt8S,15,Past Traffic Memory,"What was the color of the traffic light at the [0.38,0.03,0.4,0.11] in the scene 2 seconds ago?","['Yellow.', 'Red.', 'Unable to say.', 'Green.']",Green.,D,B) Red.,B,0.0,18.32,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_1WPEKKFlrkZt8S,16,Hallucination detection,"What is the meaning of the traffic sign at the [0.51,0.81,0.56,0.9] in the current picture?","['Sharp Left Bend.', 'Unable to say.', 'No Motorcycles.', 'Tunnel Lights On.']",Unable to say.,B,A) Sharp Left Bend.,A,0.0,20.37,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_1WPEKKFlrkZt8S,13,Real-time Traffic Perception,"What is the meaning of the traffic sign at the [0.65,0.02,0.69,0.1] in the current picture?","['Height Restriction 3.5m.', 'Zone Speed Limit 50.', 'Zone Speed Limit 80.', 'Zone Speed Limit 70.']",Zone Speed Limit 50.,B,A) Height Restriction 3.5m.,A,0.0,22.12,0,0,1.0,False,True,64,1
TS_Retrieval_test_video_1WPEKKFlrkZt8S,14,Past Traffic Memory,"What was the meaning of the traffic sign at the [0.77,0.0,0.82,0.11] in the scene 1 seconds ago?","['No Parking.', 'No Motorcycles.', 'End of Zone Speed Limit 40.', 'Intersection.']",No Parking.,A,D) Intersection.,D,0.0,23.92,0,0,1.0,False,True,64,1
